1	OK	_	UH	UH	_	7	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	I	_	PRP	PRP	_	7	nsubj	_	_
4	obviously	_	RB	RB	_	7	advmod	_	_
5	do	_	VBP	VBP	_	7	aux	_	_
6	n't	_	RB	RB	_	7	neg	_	_
7	have	_	VB	VB	_	0	root	_	_
8	to	_	TO	TO	_	9	aux	_	_
9	say	_	VB	VB	_	7	xcomp	_	_
10	much	_	RB	RB	_	13	advmod	_	_
11	since	_	IN	IN	_	13	mark	_	_
12	everyone	_	NN	NN	_	13	nsubj	_	_
13	loves	_	VBZ	VBZ	_	9	advcl	_	_
14	this	_	DT	DT	_	15	det	_	_
15	place	_	NN	NN	_	13	dobj	_	_
16	already	_	RB	RB	_	13	advmod	_	_
17	...	_	:	:	_	0	erased	_	_
18	but	_	CC	CC	_	35	cc	_	_
19	just	_	RB	RB	_	24	advmod	_	_
20	in	_	IN	IN	_	24	mark	_	_
21	case	_	NN	NN	_	24	dep	_	_
22	somebody	_	NN	NN	_	24	nsubj	_	_
23	is	_	VBZ	VBZ	_	24	cop	_	_
24	unsure	_	JJ	JJ	_	35	advcl	_	_
25	about	_	IN	IN	_	24	prep	_	_
26	spending	_	VBG	VBG	_	25	pcomp	_	_
27	the	_	DT	DT	_	28	det	_	_
28	money	_	NN	NN	_	26	dobj	_	_
29	to	_	TO	TO	_	30	aux	_	_
30	stay	_	VB	VB	_	28	vmod	_	_
31	here	_	RB	RB	_	30	advmod	_	_
32	,	_	,	,	_	0	erased	_	_
33	I	_	PRP	PRP	_	35	nsubj	_	_
34	would	_	MD	MD	_	35	aux	_	_
35	say	_	VB	VB	_	7	parataxis	_	_
36	go	_	VB	VB	_	35	ccomp	_	_
37	for	_	IN	IN	_	36	prep	_	_
38	it	_	PRP	PRP	_	37	pobj	_	_
39	...	_	:	:	_	0	erased	_	_
40	splurge	_	RB	RB	_	36	advmod	_	_
41	.	_	.	.	_	0	erased	_	_

1	Of	_	IN	IN	_	6	prep	_	_
2	course	_	NN	NN	_	1	pobj	_	_
3	,	_	,	,	_	0	erased	_	_
4	I	_	PRP	PRP	_	6	nsubj	_	_
5	am	_	VBP	VBP	_	6	cop	_	_
6	lucky	_	JJ	JJ	_	0	root	_	_
7	because	_	IN	IN	_	19	mark	_	_
8	my	_	PRP$	PRP$	_	9	poss	_	_
9	husband	_	NN	NN	_	19	nsubjpass	_	_
10	is	_	VBZ	VBZ	_	19	auxpass	_	_
11	here	_	RB	RB	_	19	advmod	_	_
12	on	_	IN	IN	_	11	prep	_	_
13	a	_	DT	DT	_	15	det	_	_
14	biz	_	NN	NN	_	15	nn	_	_
15	trip	_	NN	NN	_	12	pobj	_	_
16	and	_	CC	CC	_	15	cc	_	_
17	his	_	PRP$	PRP$	_	18	poss	_	_
18	company	_	NN	NN	_	15	conj	_	_
19	paid	_	VBN	VBN	_	6	ccomp	_	_
20	for	_	IN	IN	_	19	prep	_	_
21	it	_	PRP	PRP	_	20	pobj	_	_
22	,	_	,	,	_	0	erased	_	_
23	but	_	CC	CC	_	6	cc	_	_
24	it	_	PRP	PRP	_	26	nsubj	_	_
25	is	_	VBZ	VBZ	_	26	cop	_	_
26	worth	_	JJ	JJ	_	6	conj	_	_
27	it	_	PRP	PRP	_	26	dep	_	_
28	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	especially	_	RB	RB	_	3	advmod	_	_
3	loved	_	VBD	VBD	_	0	root	_	_
4	the	_	DT	DT	_	7	det	_	_
5	midnight	_	NN	NN	_	7	nn	_	_
6	ice	_	NN	NN	_	7	nn	_	_
7	cream	_	NN	NN	_	8	nsubj	_	_
8	sundaes	_	VBZ	VBZ	_	3	ccomp	_	_
9	that	_	IN	IN	_	12	mark	_	_
10	my	_	PRP$	PRP$	_	11	poss	_	_
11	husband	_	NN	NN	_	12	nsubj	_	_
12	let	_	VBD	VBD	_	8	ccomp	_	_
13	me	_	PRP	PRP	_	14	nsubj	_	_
14	splurge	_	VBP	VBP	_	12	ccomp	_	_
15	on	_	RP	RP	_	14	prt	_	_
16	since	_	IN	IN	_	19	mark	_	_
17	I	_	PRP	PRP	_	19	nsubj	_	_
18	am	_	VBP	VBP	_	19	cop	_	_
19	preggers	_	JJ	JJ	_	14	advcl	_	_
20	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	hotel	_	NN	NN	_	4	nsubj	_	_
3	is	_	VBZ	VBZ	_	4	cop	_	_
4	beautiful	_	JJ	JJ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	the	_	DT	DT	_	7	det	_	_
7	staff	_	NN	NN	_	9	nsubj	_	_
8	is	_	VBZ	VBZ	_	9	aux	_	_
9	accomodating	_	VBG	VBG	_	4	ccomp	_	_
10	,	_	,	,	_	0	erased	_	_
11	the	_	DT	DT	_	12	det	_	_
12	bed	_	NN	NN	_	14	nsubj	_	_
13	is	_	VBZ	VBZ	_	14	cop	_	_
14	luxurious	_	JJ	JJ	_	4	ccomp	_	_
15	,	_	,	,	_	0	erased	_	_
16	and	_	CC	CC	_	4	cc	_	_
17	the	_	DT	DT	_	20	det	_	_
18	ice	_	NN	NN	_	20	nn	_	_
19	cream	_	NN	NN	_	20	nn	_	_
20	sundaes	_	NNS	NNS	_	23	nsubj	_	_
21	are	_	VBP	VBP	_	23	cop	_	_
22	heaven	_	NN	NN	_	23	nn	_	_
23	!!!	_	NNS	NNS	_	4	conj	_	_

