1	12	_	CD	CD	_	2	num	_	_
2	Friends	_	NNS	NNS	_	4	nsubj	_	_
3	just	_	RB	RB	_	4	advmod	_	_
4	had	_	VBD	VBD	_	0	root	_	_
5	the	_	DT	DT	_	7	det	_	_
6	best	_	JJS	JJS	_	7	amod	_	_
7	time	_	NN	NN	_	4	dobj	_	_
8	in	_	IN	IN	_	7	prep	_	_
9	Chicago	_	NNP	NNP	_	8	pobj	_	_
10	yesterday	_	NN	NN	_	4	tmod	_	_
11	.	_	.	.	_	0	erased	_	_

1	Tour	_	JJ	JJ	_	2	amod	_	_
2	guide	_	NN	NN	_	0	root	_	_
3	-	_	:	:	_	0	erased	_	_
4	Jonathon	_	NNP	NNP	_	6	nsubj	_	_
5	was	_	VBD	VBD	_	6	cop	_	_
6	amazing	_	JJ	JJ	_	2	dep	_	_
7	.	_	.	.	_	0	erased	_	_

1	He	_	PRP	PRP	_	4	nsubj	_	_
2	is	_	VBZ	VBZ	_	4	cop	_	_
3	so	_	RB	RB	_	4	advmod	_	_
4	informative	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	witty	_	JJ	JJ	_	4	conj	_	_
7	in	_	IN	IN	_	4	prep	_	_
8	engaging	_	VBG	VBG	_	7	pcomp	_	_
9	our	_	PRP$	PRP$	_	10	poss	_	_
10	group	_	NN	NN	_	8	dobj	_	_
11	for	_	IN	IN	_	8	prep	_	_
12	the	_	DT	DT	_	14	det	_	_
13	entire	_	JJ	JJ	_	14	amod	_	_
14	tour	_	NN	NN	_	11	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	3	mark	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	love	_	VBP	VBP	_	0	root	_	_
4	history	_	NN	NN	_	3	dobj	_	_
5	and	_	CC	CC	_	3	cc	_	_
6	love	_	VBP	VBP	_	3	conj	_	_
7	a	_	DT	DT	_	9	det	_	_
8	good	_	JJ	JJ	_	9	amod	_	_
9	time	_	NN	NN	_	6	dobj	_	_
10	-	_	:	:	_	0	erased	_	_
11	then	_	RB	RB	_	12	dep	_	_
12	GO	_	NNP	NNP	_	9	dep	_	_
13	.	_	.	.	_	0	erased	_	_
14	Great	_	JJ	JJ	_	15	amod	_	_
15	day	_	NN	NN	_	9	dep	_	_
16	with	_	IN	IN	_	9	prep	_	_
17	friends	_	NNS	NNS	_	16	pobj	_	_
18	and	_	CC	CC	_	17	cc	_	_
19	family	_	NN	NN	_	17	conj	_	_
20	!	_	.	.	_	0	erased	_	_

