1	Stayed	_	VBN	VBN	_	9	vmod	_	_
2	here	_	RB	RB	_	1	advmod	_	_
3	for	_	IN	IN	_	1	prep	_	_
4	2	_	CD	CD	_	5	num	_	_
5	nights	_	NNS	NNS	_	3	pobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	rooms	_	NNS	NNS	_	9	nsubj	_	_
8	were	_	VBD	VBD	_	9	cop	_	_
9	clean	_	JJ	JJ	_	0	root	_	_
10	the	_	DT	DT	_	11	det	_	_
11	location	_	NN	NN	_	13	nsubj	_	_
12	is	_	VBZ	VBZ	_	13	cop	_	_
13	great	_	JJ	JJ	_	9	ccomp	_	_
14	especially	_	RB	RB	_	13	advmod	_	_
15	if	_	IN	IN	_	17	mark	_	_
16	you	_	PRP	PRP	_	17	nsubj	_	_
17	like	_	VBP	VBP	_	13	ccomp	_	_
18	shopping	_	NN	NN	_	17	dobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	bar	_	NN	NN	_	3	nsubj	_	_
3	has	_	VBZ	VBZ	_	12	dep	_	_
4	great	_	JJ	JJ	_	5	amod	_	_
5	drinks	_	NNS	NNS	_	3	dobj	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	the	_	DT	DT	_	8	det	_	_
8	food	_	NN	NN	_	5	conj	_	_
9	the	_	DT	DT	_	10	det	_	_
10	restaurant	_	NN	NN	_	12	nsubj	_	_
11	is	_	VBZ	VBZ	_	12	cop	_	_
12	fantastic	_	JJ	JJ	_	0	root	_	_
13	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	would	_	MD	MD	_	3	aux	_	_
3	def	_	VB	VB	_	0	root	_	_
4	.	_	.	.	_	0	erased	_	_

1	stay	_	VB	VB	_	0	root	_	_
2	here	_	RB	RB	_	3	advmod	_	_
3	again	_	RB	RB	_	1	advmod	_	_
4	.	_	.	.	_	0	erased	_	_

