1	All	_	PDT	PDT	_	4	predet	_	_
2	the	_	DT	DT	_	4	det	_	_
3	good	_	JJ	JJ	_	4	amod	_	_
4	reviews	_	NNS	NNS	_	6	nsubj	_	_
5	are	_	VBP	VBP	_	6	cop	_	_
6	true	_	JJ	JJ	_	0	root	_	_
7	!	_	.	.	_	0	erased	_	_

1	Excellent	_	JJ	JJ	_	2	amod	_	_
2	accommodations	_	NNS	NNS	_	0	root	_	_
3	,	_	,	,	_	0	erased	_	_
4	great	_	JJ	JJ	_	5	amod	_	_
5	staff	_	NN	NN	_	2	appos	_	_
6	,	_	,	,	_	0	erased	_	_
7	yummy	_	JJ	JJ	_	8	amod	_	_
8	breakfast	_	NN	NN	_	2	appos	_	_
9	-	_	:	:	_	0	erased	_	_
10	there	_	EX	EX	_	11	expl	_	_
11	was	_	VBD	VBD	_	2	dep	_	_
12	n't	_	RB	RB	_	11	neg	_	_
13	anything	_	NN	NN	_	11	acomp	_	_
14	I	_	PRP	PRP	_	15	nsubj	_	_
15	wished	_	VBD	VBD	_	13	ccomp	_	_
16	Ray	_	NNP	NNP	_	18	nsubj	_	_
17	's	_	POS	POS	_	16	possessive	_	_
18	had	_	VBD	VBD	_	15	ccomp	_	_
19	that	_	IN	IN	_	21	mark	_	_
20	it	_	PRP	PRP	_	21	nsubj	_	_
21	did	_	VBD	VBD	_	18	ccomp	_	_
22	n't	_	RB	RB	_	21	neg	_	_
23	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	steam	_	NN	NN	_	3	nn	_	_
3	room	_	NN	NN	_	0	root	_	_
4	,	_	,	,	_	0	erased	_	_
5	sauna	_	NN	NN	_	3	conj	_	_
6	,	_	,	,	_	0	erased	_	_
7	and	_	CC	CC	_	3	cc	_	_
8	free	_	JJ	JJ	_	9	amod	_	_
9	water/coffee/tea	_	NN	NN	_	3	conj	_	_
10	/	_	:	:	_	3	punct	_	_
11	pastries	_	NNS	NNS	_	16	nsubj	_	_
12	were	_	VBD	VBD	_	16	cop	_	_
13	a	_	DT	DT	_	16	det	_	_
14	very	_	RB	RB	_	15	advmod	_	_
15	nice	_	JJ	JJ	_	16	amod	_	_
16	touch	_	NN	NN	_	3	dep	_	_
17	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	location	_	NN	NN	_	4	nsubj	_	_
3	is	_	VBZ	VBZ	_	4	cop	_	_
4	perfect	_	JJ	JJ	_	0	root	_	_
5	-	_	:	:	_	0	erased	_	_
6	on	_	IN	IN	_	4	prep	_	_
7	a	_	DT	DT	_	9	det	_	_
8	quiet	_	JJ	JJ	_	9	amod	_	_
9	street	_	NN	NN	_	6	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	but	_	CC	CC	_	6	cc	_	_
12	within	_	IN	IN	_	6	conj	_	_
13	walking	_	VBG	VBG	_	12	pcomp	_	_
14	distance	_	NN	NN	_	13	dobj	_	_
15	to	_	TO	TO	_	13	prep	_	_
16	lots	_	NNS	NNS	_	15	pobj	_	_
17	of	_	IN	IN	_	16	prep	_	_
18	great	_	JJ	JJ	_	19	amod	_	_
19	bars	_	NNS	NNS	_	17	pobj	_	_
20	,	_	,	,	_	0	erased	_	_
21	restaurants	_	NNS	NNS	_	19	conj	_	_
22	,	_	,	,	_	0	erased	_	_
23	shops	_	NNS	NNS	_	19	conj	_	_
24	,	_	,	,	_	0	erased	_	_
25	and	_	CC	CC	_	19	cc	_	_
26	public	_	JJ	JJ	_	27	amod	_	_
27	transportation	_	NN	NN	_	19	conj	_	_
28	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	'll	_	MD	MD	_	4	aux	_	_
3	definitely	_	RB	RB	_	4	advmod	_	_
4	stay	_	VB	VB	_	9	dep	_	_
5	here	_	RB	RB	_	4	advmod	_	_
6	next	_	JJ	JJ	_	7	amod	_	_
7	time	_	NN	NN	_	4	dobj	_	_
8	I	_	PRP	PRP	_	9	nsubj	_	_
9	get	_	VBP	VBP	_	0	root	_	_
10	the	_	DT	DT	_	11	det	_	_
11	opportunity	_	NN	NN	_	9	dobj	_	_
12	and	_	CC	CC	_	9	cc	_	_
13	would	_	MD	MD	_	15	aux	_	_
14	highly	_	RB	RB	_	15	advmod	_	_
15	recommend	_	VB	VB	_	9	conj	_	_
16	it	_	PRP	PRP	_	17	nsubj	_	_
17	anyone	_	NN	NN	_	15	xcomp	_	_
18	else	_	RB	RB	_	17	advmod	_	_
19	.	_	.	.	_	0	erased	_	_

