1	Pretty	_	NNP	NNP	_	3	dep	_	_
2	much	_	RB	RB	_	3	advmod	_	_
3	perfect	_	JJ	JJ	_	0	root	_	_
4	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	paid	_	VBD	VBD	_	0	root	_	_
3	ahead	_	RB	RB	_	2	advmod	_	_
4	of	_	IN	IN	_	2	prep	_	_
5	time	_	NN	NN	_	6	nn	_	_
6	online	_	NNS	NNS	_	4	pobj	_	_
7	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	arrived	_	VBD	VBD	_	0	root	_	_
3	at	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	gate	_	NN	NN	_	3	pobj	_	_
6	and	_	CC	CC	_	2	cc	_	_
7	was	_	VBD	VBD	_	8	auxpass	_	_
8	told	_	VBN	VBN	_	2	conj	_	_
9	which	_	WDT	WDT	_	13	pobj	_	_
10	aisle	_	NN	NN	_	12	nsubj	_	_
11	to	_	TO	TO	_	12	aux	_	_
12	go	_	VB	VB	_	8	ccomp	_	_
13	to	_	TO	TO	_	12	prep	_	_
14	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	was	_	VBD	VBD	_	0	root	_	_
3	the	_	DT	DT	_	5	det	_	_
4	shuttle	_	NN	NN	_	5	nn	_	_
5	bus	_	NN	NN	_	2	nsubj	_	_
6	waiting	_	VBG	VBG	_	5	vmod	_	_
7	there	_	RB	RB	_	6	advmod	_	_
8	and	_	CC	CC	_	5	cc	_	_
9	the	_	DT	DT	_	10	det	_	_
10	driver	_	NN	NN	_	5	conj	_	_
11	pointing	_	VBG	VBG	_	10	vmod	_	_
12	which	_	WDT	WDT	_	13	det	_	_
13	space	_	NN	NN	_	15	nsubj	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	park	_	VB	VB	_	11	ccomp	_	_
16	in	_	RP	RP	_	15	prt	_	_
17	.	_	.	.	_	0	erased	_	_

1	He	_	PRP	PRP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	very	_	RB	RB	_	4	advmod	_	_
4	friendly	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	took	_	VBD	VBD	_	4	conj	_	_
7	my	_	PRP$	PRP$	_	8	poss	_	_
8	bags	_	NNS	NNS	_	6	dobj	_	_
9	and	_	CC	CC	_	6	cc	_	_
10	put	_	VBD	VBD	_	6	conj	_	_
11	them	_	PRP	PRP	_	10	dobj	_	_
12	on	_	IN	IN	_	10	prep	_	_
13	the	_	DT	DT	_	14	det	_	_
14	shuttle	_	NN	NN	_	12	pobj	_	_
15	-	_	:	:	_	0	erased	_	_
16	he	_	PRP	PRP	_	18	nsubj	_	_
17	then	_	RB	RB	_	18	advmod	_	_
18	gave	_	VBD	VBD	_	4	parataxis	_	_
19	me	_	PRP	PRP	_	18	iobj	_	_
20	a	_	DT	DT	_	21	det	_	_
21	ticket	_	NN	NN	_	18	dobj	_	_
22	with	_	IN	IN	_	21	prep	_	_
23	instructions	_	NNS	NNS	_	22	pobj	_	_
24	on	_	IN	IN	_	23	prep	_	_
25	what	_	WP	WP	_	27	nsubj	_	_
26	to	_	TO	TO	_	27	aux	_	_
27	do	_	VB	VB	_	24	pcomp	_	_
28	upon	_	IN	IN	_	27	prep	_	_
29	return	_	NN	NN	_	28	pobj	_	_
30	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	got	_	VBD	VBD	_	0	root	_	_
3	on	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	shuttle	_	NN	NN	_	3	pobj	_	_
6	and	_	CC	CC	_	2	cc	_	_
7	we	_	PRP	PRP	_	8	nsubj	_	_
8	waited	_	VBD	VBD	_	2	conj	_	_
9	a	_	DT	DT	_	12	det	_	_
