1	There	_	EX	EX	_	2	expl	_	_
2	are	_	VBP	VBP	_	0	root	_	_
3	so	_	RB	RB	_	2	advmod	_	_
4	many	_	JJ	JJ	_	6	amod	_	_
5	wonderful	_	JJ	JJ	_	6	amod	_	_
6	hotels	_	NNS	NNS	_	2	nsubj	_	_
7	in	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	city	_	NN	NN	_	7	pobj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	Chicago	_	NNP	NNP	_	10	pobj	_	_
12	and	_	CC	CC	_	2	cc	_	_
13	the	_	DT	DT	_	17	det	_	_
14	Holiday	_	NNP	NNP	_	17	nn	_	_
15	Inn	_	NNP	NNP	_	17	nn	_	_
16	Mart	_	NNP	NNP	_	17	nn	_	_
17	Plaza	_	NNP	NNP	_	20	nsubj	_	_
18	is	_	VBZ	VBZ	_	20	cop	_	_
19	not	_	RB	RB	_	20	neg	_	_
20	one	_	CD	CD	_	2	conj	_	_
21	of	_	IN	IN	_	20	prep	_	_
22	them	_	PRP	PRP	_	21	pobj	_	_
23	!	_	.	.	_	0	erased	_	_

1	Just	_	RB	RB	_	3	advmod	_	_
2	last	_	JJ	JJ	_	3	amod	_	_
3	weekend	_	NN	NN	_	5	nsubj	_	_
4	I	_	PRP	PRP	_	5	nsubj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	there	_	RB	RB	_	5	advmod	_	_
7	with	_	IN	IN	_	5	prep	_	_
8	my	_	PRP$	PRP$	_	10	poss	_	_
9	best	_	JJS	JJS	_	10	amod	_	_
10	friend	_	NN	NN	_	7	pobj	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	her	_	PRP$	PRP$	_	13	poss	_	_
13	boyfriend	_	NN	NN	_	10	conj	_	_
14	and	_	CC	CC	_	5	cc	_	_
15	not	_	RB	RB	_	19	neg	_	_
16	only	_	RB	RB	_	19	advmod	_	_
17	was	_	VBD	VBD	_	19	auxpass	_	_
18	she	_	PRP	PRP	_	19	dobj	_	_
19	charged	_	VBN	VBN	_	5	conj	_	_
20	for	_	IN	IN	_	19	prep	_	_
21	the	_	DT	DT	_	22	det	_	_
22	room	_	NN	NN	_	20	pobj	_	_
23	,	_	,	,	_	0	erased	_	_
24	but	_	CC	CC	_	5	cc	_	_
25	I	_	PRP	PRP	_	27	nsubjpass	_	_
26	was	_	VBD	VBD	_	27	auxpass	_	_
27	charged	_	VBN	VBN	_	5	conj	_	_
28	for	_	IN	IN	_	27	prep	_	_
29	the	_	DT	DT	_	30	det	_	_
30	room	_	NN	NN	_	28	pobj	_	_
31	as	_	RB	RB	_	32	advmod	_	_
32	well	_	RB	RB	_	27	advmod	_	_
33	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	service	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	extremely	_	RB	RB	_	5	advmod	_	_
5	poor	_	JJ	JJ	_	0	root	_	_
6	,	_	,	,	_	0	erased	_	_
7	as	_	IN	IN	_	11	mark	_	_
8	the	_	DT	DT	_	9	det	_	_
9	staff	_	NN	NN	_	11	nsubj	_	_
10	was	_	VBD	VBD	_	11	cop	_	_
11	rude	_	JJ	JJ	_	5	advcl	_	_
12	and	_	CC	CC	_	11	cc	_	_
13	was	_	VBD	VBD	_	14	auxpass	_	_
14	told	_	VBN	VBN	_	11	conj	_	_
15	so	_	RB	RB	_	16	advmod	_	_
16	many	_	JJ	JJ	_	18	amod	_	_
17	varying	_	VBG	VBG	_	18	amod	_	_
18	stories	_	NNS	NNS	_	14	dobj	_	_
19	of	_	IN	IN	_	18	prep	_	_
20	when	_	WRB	WRB	_	23	advmod	_	_
21	we	_	PRP	PRP	_	23	nsubj	_	_
22	could	_	MD	MD	_	23	aux	_	_
23	check	_	VB	VB	_	19	pcomp	_	_
24	in	_	RP	RP	_	23	prt	_	_
25	.	_	.	.	_	0	erased	_	_

1	Overall	_	RB	RB	_	6	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	they	_	PRP	PRP	_	6	nsubj	_	_
4	do	_	VBP	VBP	_	6	aux	_	_
5	n't	_	RB	RB	_	6	neg	_	_
6	care	_	VB	VB	_	0	root	_	_
7	about	_	IN	IN	_	6	prep	_	_
8	making	_	VBG	VBG	_	7	pcomp	_	_
9	your	_	PRP$	PRP$	_	10	poss	_	_
10	stay	_	NN	NN	_	8	dobj	_	_
11	the	_	DT	DT	_	13	det	_	_
12	most	_	RBS	RBS	_	13	advmod	_	_
13	enjoyable	_	JJ	JJ	_	8	dep	_	_
14	possible	_	JJ	JJ	_	6	acomp	_	_
15	.	_	.	.	_	0	erased	_	_

1	DO	_	NNP	NNP	_	2	nn	_	_
2	NOT	_	NNP	NNP	_	3	nsubj	_	_
3	stay	_	VBP	VBP	_	0	root	_	_
4	here	_	RB	RB	_	3	advmod	_	_
5	!	_	.	.	_	0	erased	_	_

