1	75	_	CD	CD	_	3	num	_	_
2	min	_	NN	NN	_	3	nn	_	_
3	tour	_	NN	NN	_	0	root	_	_
4	that	_	WDT	WDT	_	6	nsubj	_	_
5	's	_	VBZ	VBZ	_	6	aux	_	_
6	Worth	_	VBG	VBG	_	3	rcmod	_	_
7	every	_	DT	DT	_	8	det	_	_
8	penny	_	NN	NN	_	6	dobj	_	_
9	!	_	.	.	_	0	erased	_	_

1	Such	_	PDT	PDT	_	4	predet	_	_
2	a	_	DT	DT	_	4	det	_	_
3	wonderful	_	JJ	JJ	_	4	amod	_	_
4	experience	_	NN	NN	_	0	root	_	_
5	...	_	:	:	_	0	erased	_	_
6	Becky	_	NNP	NNP	_	13	nsubj	_	_
7	,	_	,	,	_	0	erased	_	_
8	the	_	DT	DT	_	9	det	_	_
9	tourguide	_	NN	NN	_	6	appos	_	_
10	,	_	,	,	_	0	erased	_	_
11	is	_	VBZ	VBZ	_	13	cop	_	_
12	so	_	RB	RB	_	13	advmod	_	_
13	smart	_	JJ	JJ	_	4	dep	_	_
14	and	_	CC	CC	_	13	cc	_	_
15	offered	_	VBD	VBD	_	13	conj	_	_
16	a	_	DT	DT	_	17	det	_	_
17	lot	_	NN	NN	_	15	dobj	_	_
18	of	_	IN	IN	_	17	prep	_	_
19	interesting	_	JJ	JJ	_	20	amod	_	_
20	information	_	NN	NN	_	18	pobj	_	_
21	about	_	IN	IN	_	20	prep	_	_
22	the	_	DT	DT	_	23	det	_	_
23	history	_	NN	NN	_	21	pobj	_	_
24	of	_	IN	IN	_	23	prep	_	_
25	the	_	DT	DT	_	27	det	_	_
26	beautiful	_	JJ	JJ	_	27	amod	_	_
27	architecture	_	NN	NN	_	24	pobj	_	_
28	around	_	IN	IN	_	27	prep	_	_
29	the	_	DT	DT	_	31	det	_	_
30	chicago	_	NNP	NNP	_	31	nn	_	_
31	river	_	NN	NN	_	28	pobj	_	_
32	&	_	CC	CC	_	31	cc	_	_
33	answered	_	JJ	JJ	_	34	amod	_	_
34	questions	_	NNS	NNS	_	31	conj	_	_
35	after	_	IN	IN	_	15	prep	_	_
36	the	_	DT	DT	_	37	det	_	_
37	tour	_	NN	NN	_	35	pobj	_	_
38	too	_	RB	RB	_	15	advmod	_	_
39	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	loved	_	VBD	VBD	_	0	root	_	_
3	it	_	PRP	PRP	_	4	nsubj	_	_
4	!!!	_	VBZ	VBZ	_	2	ccomp	_	_

