1	My	_	PRP$	PRP$	_	2	poss	_	_
2	family	_	NN	NN	_	7	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	have	_	VBP	VBP	_	7	aux	_	_
6	been	_	VBN	VBN	_	7	aux	_	_
7	using	_	VBG	VBG	_	0	root	_	_
8	this	_	DT	DT	_	9	det	_	_
9	company	_	NN	NN	_	7	dobj	_	_
10	since	_	IN	IN	_	12	mark	_	_
11	they	_	PRP	PRP	_	12	nsubj	_	_
12	started	_	VBD	VBD	_	7	advcl	_	_
13	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
2	have	_	VBP	VBP	_	3	aux	_	_
3	been	_	VBN	VBN	_	0	root	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	countless	_	JJ	JJ	_	6	amod	_	_
6	amounts	_	NNS	NNS	_	4	pobj	_	_
7	of	_	IN	IN	_	6	prep	_	_
8	concerts	_	NNS	NNS	_	7	pobj	_	_
9	and	_	CC	CC	_	8	cc	_	_
10	games	_	NNS	NNS	_	8	conj	_	_
11	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	4	nsubj	_	_
2	have	_	VBP	VBP	_	4	aux	_	_
3	always	_	RB	RB	_	4	advmod	_	_
4	been	_	VBN	VBN	_	0	root	_	_
5	on	_	IN	IN	_	4	prep	_	_
6	time	_	NN	NN	_	5	pobj	_	_
7	.	_	.	.	_	0	erased	_	_

