1	Been	_	VBN	VBN	_	2	aux	_	_
2	coming	_	VBG	VBG	_	0	root	_	_
3	here	_	RB	RB	_	2	advmod	_	_
4	for	_	IN	IN	_	2	prep	_	_
5	years	_	NNS	NNS	_	4	pobj	_	_
6	.	_	.	.	_	0	erased	_	_

1	Great	_	JJ	JJ	_	2	amod	_	_
2	location	_	NN	NN	_	0	root	_	_
3	,	_	,	,	_	0	erased	_	_
4	very	_	RB	RB	_	5	advmod	_	_
5	nice	_	JJ	JJ	_	6	amod	_	_
6	rooms	_	NNS	NNS	_	2	appos	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	amenities	_	NNS	NNS	_	6	conj	_	_
9	.	_	.	.	_	0	erased	_	_

1	Great	_	JJ	JJ	_	2	amod	_	_
2	level	_	NN	NN	_	0	root	_	_
3	of	_	IN	IN	_	2	prep	_	_
4	service	_	NN	NN	_	3	pobj	_	_
5	.	_	.	.	_	0	erased	_	_

