1	My	_	PRP$	PRP$	_	2	poss	_	_
2	stay	_	NN	NN	_	9	nsubj	_	_
3	at	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	7	det	_	_
5	Omni	_	NNP	NNP	_	7	nn	_	_
6	Chicago	_	NNP	NNP	_	7	nn	_	_
7	Hotel	_	NNP	NNP	_	3	pobj	_	_
8	was	_	VBD	VBD	_	9	cop	_	_
9	wonderful	_	JJ	JJ	_	0	root	_	_
10	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	7	det	_	_
4	last	_	JJ	JJ	_	7	amod	_	_
5	minute	_	JJ	JJ	_	7	amod	_	_
6	business	_	NN	NN	_	7	nn	_	_
7	trip	_	NN	NN	_	2	dobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	in	_	IN	IN	_	2	prep	_	_
10	downtown	_	JJ	JJ	_	11	amod	_	_
11	Chicago	_	NNP	NNP	_	9	pobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	and	_	CC	CC	_	2	cc	_	_
14	this	_	DT	DT	_	18	nsubj	_	_
15	is	_	VBZ	VBZ	_	18	cop	_	_
16	the	_	DT	DT	_	18	det	_	_
17	first	_	JJ	JJ	_	18	amod	_	_
18	place	_	NN	NN	_	2	conj	_	_
19	I	_	PRP	PRP	_	20	nsubj	_	_
20	looked	_	VBD	VBD	_	18	rcmod	_	_
21	at	_	IN	IN	_	20	prep	_	_
22	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	looked	_	VBD	VBD	_	0	root	_	_
3	at	_	IN	IN	_	7	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	pictures	_	NNS	NNS	_	3	pobj	_	_
6	they	_	PRP	PRP	_	7	nsubj	_	_
7	show	_	VBP	VBP	_	2	dep	_	_
8	online	_	JJ	JJ	_	7	dobj	_	_
9	of	_	IN	IN	_	8	prep	_	_
10	the	_	DT	DT	_	11	det	_	_
11	rooms	_	NNS	NNS	_	9	pobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	and	_	CC	CC	_	7	cc	_	_
14	the	_	DT	DT	_	15	det	_	_
15	facility	_	NN	NN	_	16	dep	_	_
16	itself	_	PRP	PRP	_	7	conj	_	_
17	,	_	,	,	_	0	erased	_	_
18	and	_	CC	CC	_	2	cc	_	_
19	I	_	PRP	PRP	_	21	nsubj	_	_
20	simply	_	RB	RB	_	21	advmod	_	_
21	fell	_	VBD	VBD	_	2	conj	_	_
22	in	_	IN	IN	_	21	prep	_	_
23	love	_	NN	NN	_	22	pobj	_	_
24	with	_	IN	IN	_	21	prep	_	_
25	the	_	DT	DT	_	26	det	_	_
26	place	_	NN	NN	_	24	pobj	_	_
27	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	indoor	_	JJ	JJ	_	3	amod	_	_
3	pool	_	NN	NN	_	14	nsubj	_	_
4	,	_	,	,	_	0	erased	_	_
5	outdoor	_	JJ	JJ	_	7	amod	_	_
6	sun	_	NN	NN	_	7	nn	_	_
7	decks	_	NNS	NNS	_	3	appos	_	_
8	,	_	,	,	_	0	erased	_	_
9	massages	_	NNS	NNS	_	3	appos	_	_
10	,	_	,	,	_	0	erased	_	_
11	this	_	DT	DT	_	12	det	_	_
12	place	_	NN	NN	_	3	appos	_	_
13	really	_	RB	RB	_	14	advmod	_	_
14	has	_	VBZ	VBZ	_	0	root	_	_
15	all	_	DT	DT	_	14	dobj	_	_
16	you	_	PRP	PRP	_	19	nsubj	_	_
17	could	_	MD	MD	_	19	aux	_	_
18	possibly	_	RB	RB	_	19	advmod	_	_
19	need	_	VB	VB	_	15	rcmod	_	_
20	,	_	,	,	_	0	erased	_	_
21	whether	_	IN	IN	_	23	mark	_	_
22	you	_	PRP	PRP	_	23	nsubj	_	_
23	're	_	VBP	VBP	_	14	ccomp	_	_
24	on	_	IN	IN	_	23	dep	_	_
25	vacation	_	NN	NN	_	24	pobj	_	_
26	,	_	,	,	_	0	erased	_	_
27	or	_	CC	CC	_	24	cc	_	_
28	needing	_	VBG	VBG	_	24	conj	_	_
29	a	_	DT	DT	_	31	det	_	_
30	little	_	JJ	JJ	_	31	amod	_	_
31	stress	_	NN	NN	_	28	dobj	_	_
32	relieved	_	VBN	VBN	_	31	vmod	_	_
33	from	_	IN	IN	_	32	prep	_	_
34	a	_	DT	DT	_	36	det	_	_
35	busy	_	JJ	JJ	_	36	amod	_	_
36	week	_	NN	NN	_	33	pobj	_	_
37	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	mean	_	VBP	VBP	_	0	root	_	_
3	they	_	PRP	PRP	_	5	nsubj	_	_
4	even	_	RB	RB	_	5	advmod	_	_
5	have	_	VBP	VBP	_	2	ccomp	_	_
6	high	_	JJ	JJ	_	9	amod	_	_
7	speed	_	NN	NN	_	9	nn	_	_
8	wireless	_	JJ	JJ	_	9	amod	_	_
9	internet	_	NN	NN	_	5	dobj	_	_
10	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	would	_	MD	MD	_	4	aux	_	_
3	definitely	_	RB	RB	_	4	advmod	_	_
4	recommend	_	VB	VB	_	0	root	_	_
5	the	_	DT	DT	_	8	det	_	_
6	Omni	_	NNP	NNP	_	8	nn	_	_
7	Chicago	_	NNP	NNP	_	8	nn	_	_
8	Hotel	_	NNP	NNP	_	4	dobj	_	_
9	,	_	,	,	_	0	erased	_	_
10	if	_	IN	IN	_	12	mark	_	_
11	you	_	PRP	PRP	_	12	nsubj	_	_
12	want	_	VBP	VBP	_	8	dep	_	_
13	a	_	DT	DT	_	15	det	_	_
14	great	_	JJ	JJ	_	15	amod	_	_
15	place	_	NN	NN	_	12	dobj	_	_
16	to	_	TO	TO	_	17	aux	_	_
17	stay	_	VB	VB	_	15	vmod	_	_
18	near	_	IN	IN	_	17	prep	_	_
19	Downtown	_	NNP	NNP	_	20	nn	_	_
20	Chicago	_	NNP	NNP	_	18	pobj	_	_
21	!	_	.	.	_	0	erased	_	_

