1	Can	_	MD	MD	_	3	aux	_	_
2	not	_	RB	RB	_	3	neg	_	_
3	say	_	VB	VB	_	12	csubj	_	_
4	enough	_	JJ	JJ	_	6	amod	_	_
5	great	_	JJ	JJ	_	6	amod	_	_
6	things	_	NNS	NNS	_	3	dobj	_	_
7	about	_	IN	IN	_	3	prep	_	_
8	this	_	DT	DT	_	9	det	_	_
9	hotel	_	NN	NN	_	7	pobj	_	_
10	...	_	:	:	_	0	erased	_	_
11	somehow	_	RB	RB	_	3	advmod	_	_
12	lucked	_	VBD	VBD	_	0	root	_	_
13	out	_	RP	RP	_	12	prt	_	_
14	and	_	CC	CC	_	12	cc	_	_
15	got	_	VBD	VBD	_	12	conj	_	_
16	this	_	DT	DT	_	17	det	_	_
17	hotel	_	NN	NN	_	15	dobj	_	_
18	on	_	IN	IN	_	15	prep	_	_
19	priceline	_	NN	NN	_	18	pobj	_	_
20	for	_	IN	IN	_	15	prep	_	_
21	around	_	RB	RB	_	22	quantmod	_	_
22	$	_	$	$	_	20	pobj	_	_
23	105	_	CD	CD	_	22	num	_	_
24	a	_	DT	DT	_	25	det	_	_
25	night	_	NN	NN	_	22	dep	_	_
26	.	_	.	.	_	0	erased	_	_

1	Great	_	JJ	JJ	_	2	amod	_	_
2	location	_	NN	NN	_	0	root	_	_
3	,	_	,	,	_	0	erased	_	_
4	large	_	JJ	JJ	_	5	amod	_	_
5	room	_	NN	NN	_	2	appos	_	_
6	,	_	,	,	_	0	erased	_	_
7	magnificent	_	JJ	JJ	_	8	amod	_	_
8	bed	_	NN	NN	_	5	conj	_	_
9	,	_	,	,	_	0	erased	_	_
10	and	_	CC	CC	_	5	cc	_	_
11	lovely	_	JJ	JJ	_	13	amod	_	_
12	customer	_	NN	NN	_	13	nn	_	_
13	service	_	NN	NN	_	5	conj	_	_
14	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	2	nsubj	_	_
2	let	_	VBD	VBD	_	0	root	_	_
3	me	_	PRP	PRP	_	4	nsubj	_	_
4	check	_	VBP	VBP	_	2	ccomp	_	_
5	in	_	IN	IN	_	4	prep	_	_
6	early	_	JJ	JJ	_	5	pobj	_	_
7	at	_	IN	IN	_	6	prep	_	_
8	10am	_	CD	CD	_	7	pobj	_	_
9	and	_	CC	CC	_	4	cc	_	_
10	offered	_	VBD	VBD	_	4	conj	_	_
11	free	_	JJ	JJ	_	12	amod	_	_
12	coffee	_	NN	NN	_	10	dobj	_	_
13	in	_	IN	IN	_	10	prep	_	_
14	the	_	DT	DT	_	15	det	_	_
15	lobby	_	NN	NN	_	13	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	Also	_	RB	RB	_	4	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	conveniently	_	NNP	NNP	_	4	nsubj	_	_
4	located	_	VBN	VBN	_	0	root	_	_
5	very	_	RB	RB	_	6	advmod	_	_
6	close	_	JJ	JJ	_	4	acomp	_	_
7	to	_	TO	TO	_	4	prep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	Chik-Filet	_	NN	NN	_	7	pobj	_	_
10	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
11	classy	_	NNP	NNP	_	14	nsubj	_	_
12	,	_	,	,	_	0	erased	_	_
13	I	_	PRP	PRP	_	14	nsubj	_	_
14	know	_	VBP	VBP	_	9	dep	_	_
15	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
16	.	_	.	.	_	0	erased	_	_

