1	Hey	_	UH	UH	_	6	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	this	_	DT	DT	_	6	nsubj	_	_
4	is	_	VBZ	VBZ	_	6	cop	_	_
5	my	_	PRP$	PRP$	_	6	poss	_	_
6	home	_	NN	NN	_	0	root	_	_
7	away	_	RB	RB	_	6	advmod	_	_
8	from	_	IN	IN	_	7	prep	_	_
9	home	_	NN	NN	_	10	nn	_	_
10	!!	_	NNS	NNS	_	8	pobj	_	_
11	I	_	PRP	PRP	_	14	nsubj	_	_
12	've	_	VBP	VBP	_	14	aux	_	_
13	been	_	VBN	VBN	_	14	aux	_	_
14	coming	_	VBG	VBG	_	6	dep	_	_
15	to	_	TO	TO	_	14	prep	_	_
16	Chicago	_	NNP	NNP	_	15	pobj	_	_
17	for	_	IN	IN	_	14	prep	_	_
18	business	_	NN	NN	_	17	pobj	_	_
19	once	_	RB	RB	_	23	advmod	_	_
20	or	_	CC	CC	_	19	cc	_	_
21	twice	_	RB	RB	_	19	conj	_	_
22	a	_	DT	DT	_	23	det	_	_
23	month	_	NN	NN	_	18	dep	_	_
24	,	_	,	,	_	0	erased	_	_
25	and	_	CC	CC	_	18	cc	_	_
26	the	_	DT	DT	_	27	det	_	_
27	HGI	_	NNP	NNP	_	18	conj	_	_
28	-	_	:	:	_	0	erased	_	_
29	MM	_	NNP	NNP	_	30	nsubj	_	_
30	has	_	VBZ	VBZ	_	6	parataxis	_	_
31	always	_	RB	RB	_	34	advmod	_	_
32	my	_	PRP$	PRP$	_	34	poss	_	_
33	first	_	JJ	JJ	_	34	amod	_	_
34	choice	_	NN	NN	_	30	dobj	_	_
35	for	_	IN	IN	_	34	prep	_	_
36	about	_	RB	RB	_	37	quantmod	_	_
37	12	_	CD	CD	_	38	num	_	_
38	years	_	NNS	NNS	_	35	pobj	_	_
39	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	6	nsubj	_	_
3	are	_	VBP	VBP	_	6	cop	_	_
4	incredibly	_	RB	RB	_	6	advmod	_	_
5	service	_	NN	NN	_	6	npadvmod	_	_
6	oriented	_	JJ	JJ	_	0	root	_	_
7	,	_	,	,	_	0	erased	_	_
8	if	_	IN	IN	_	14	mark	_	_
9	you	_	PRP	PRP	_	14	nsubj	_	_
10	're	_	VBP	VBP	_	14	cop	_	_
11	a	_	DT	DT	_	14	det	_	_
12	Hilton	_	NNP	NNP	_	14	nn	_	_
13	Honors	_	NNP	NNP	_	14	nn	_	_
14	member	_	NN	NN	_	6	ccomp	_	_
15	,	_	,	,	_	0	erased	_	_
16	Zenepa	_	NNP	NNP	_	14	conj	_	_
17	and	_	CC	CC	_	14	cc	_	_
18	the	_	DT	DT	_	21	det	_	_
19	front	_	JJ	JJ	_	21	amod	_	_
20	desk	_	NN	NN	_	21	nn	_	_
21	crew	_	NN	NN	_	14	conj	_	_
22	know	_	VBP	VBP	_	14	dep	_	_
23	your	_	PRP$	PRP$	_	24	poss	_	_
24	preferences	_	NNS	NNS	_	30	nsubj	_	_
