1	Such	_	PDT	PDT	_	3	predet	_	_
2	a	_	DT	DT	_	3	det	_	_
3	fun	_	NN	NN	_	4	nsubj	_	_
4	vibe	_	VBP	VBP	_	0	root	_	_
5	at	_	IN	IN	_	4	prep	_	_
6	Soho	_	NNP	NNP	_	7	nn	_	_
7	house	_	NN	NN	_	5	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	Headed	_	VB	VB	_	0	root	_	_
2	the	_	DT	DT	_	3	det	_	_
3	Allis	_	NNPS	NNPS	_	1	dobj	_	_
4	after	_	IN	IN	_	3	prep	_	_
5	a	_	DT	DT	_	6	det	_	_
6	dinner	_	NN	NN	_	4	pobj	_	_
7	out	_	RP	RP	_	1	prt	_	_
8	.	_	.	.	_	0	erased	_	_

1	Stuck	_	VB	VB	_	0	root	_	_
2	to	_	TO	TO	_	1	prep	_	_
3	classic	_	JJ	JJ	_	4	amod	_	_
4	cocktails	_	NNS	NNS	_	2	pobj	_	_
5	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
6	vodka	_	NN	NN	_	7	nsubj	_	_
7	tonic	_	VBD	VBD	_	1	dep	_	_
8	my	_	PRP$	PRP$	_	9	poss	_	_
9	go	_	NN	NN	_	7	dobj	_	_
10	to	_	TO	TO	_	7	prep	_	_
11	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
12	and	_	CC	CC	_	1	cc	_	_
13	really	_	RB	RB	_	14	advmod	_	_
14	enjoyed	_	VBN	VBN	_	1	conj	_	_
15	the	_	DT	DT	_	16	det	_	_
16	environment	_	NN	NN	_	14	dobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	Crowded	_	JJ	JJ	_	0	root	_	_
2	but	_	CC	CC	_	5	cc	_	_
3	we	_	PRP	PRP	_	5	nsubj	_	_
4	were	_	VBD	VBD	_	5	cop	_	_
5	able	_	JJ	JJ	_	1	dep	_	_
6	to	_	TO	TO	_	7	aux	_	_
7	grab	_	VB	VB	_	5	xcomp	_	_
8	seats	_	NNS	NNS	_	7	dobj	_	_
9	at	_	IN	IN	_	7	prep	_	_
10	the	_	DT	DT	_	12	det	_	_
11	communal	_	JJ	JJ	_	12	amod	_	_
12	tables	_	NNS	NNS	_	9	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	Great	_	JJ	JJ	_	2	amod	_	_
2	service	_	NN	NN	_	0	root	_	_
3	.	_	.	.	_	0	erased	_	_

1	Would	_	NNP	NNP	_	3	nsubj	_	_
2	have	_	VBP	VBP	_	3	aux	_	_
3	thought	_	VBN	VBN	_	0	root	_	_
4	it	_	PRP	PRP	_	7	nsubj	_	_
5	would	_	MD	MD	_	7	aux	_	_
6	be	_	VB	VB	_	7	cop	_	_
7	pretentious	_	JJ	JJ	_	3	ccomp	_	_
8	but	_	CC	CC	_	3	cc	_	_
9	they	_	PRP	PRP	_	11	nsubj	_	_
10	were	_	VBD	VBD	_	11	cop	_	_
11	warm	_	JJ	JJ	_	3	conj	_	_
12	and	_	CC	CC	_	11	cc	_	_
13	welcoming	_	JJ	JJ	_	11	conj	_	_
14	.	_	.	.	_	0	erased	_	_

