1	My	_	PRP$	PRP$	_	2	poss	_	_
2	girlfriend	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	came	_	VBD	VBD	_	0	root	_	_
6	back	_	RP	RP	_	5	prt	_	_
7	to	_	TO	TO	_	5	prep	_	_
8	Chicago	_	NNP	NNP	_	7	pobj	_	_
9	a	_	DT	DT	_	11	det	_	_
10	few	_	JJ	JJ	_	11	amod	_	_
11	weeks	_	NNS	NNS	_	12	npadvmod	_	_
12	back	_	RB	RB	_	13	advmod	_	_
13	for	_	IN	IN	_	5	prep	_	_
14	a	_	DT	DT	_	15	det	_	_
15	wedding	_	NN	NN	_	13	pobj	_	_
16	and	_	CC	CC	_	5	cc	_	_
17	stayed	_	VBD	VBD	_	5	conj	_	_
18	at	_	IN	IN	_	17	prep	_	_
19	this	_	DT	DT	_	20	det	_	_
20	hotel	_	NN	NN	_	18	pobj	_	_
21	on	_	IN	IN	_	20	prep	_	_
22	Sunday	_	NNP	NNP	_	21	pobj	_	_
23	Nov	_	NNP	NNP	_	17	dobj	_	_
24	10th	_	CD	CD	_	23	num	_	_
25	till	_	IN	IN	_	17	prep	_	_
26	Monday	_	NNP	NNP	_	25	pobj	_	_
27	the	_	DT	DT	_	26	det	_	_
28	11th	_	JJ	JJ	_	26	amod	_	_
29	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	only	_	JJ	JJ	_	3	amod	_	_
3	con	_	NN	NN	_	7	nsubj	_	_
4	of	_	IN	IN	_	3	prep	_	_
5	this	_	DT	DT	_	6	det	_	_
6	Hotel	_	NNP	NNP	_	4	pobj	_	_
7	is	_	VBZ	VBZ	_	0	root	_	_
8	that	_	IN	IN	_	13	mark	_	_
9	the	_	DT	DT	_	10	det	_	_
10	rooms	_	NNS	NNS	_	13	nsubj	_	_
11	are	_	VBP	VBP	_	13	cop	_	_
12	really	_	RB	RB	_	13	advmod	_	_
13	small	_	JJ	JJ	_	7	ccomp	_	_
14	,	_	,	,	_	0	erased	_	_
15	but	_	CC	CC	_	13	cc	_	_
16	that	_	WDT	WDT	_	18	nsubj	_	_
17	is	_	VBZ	VBZ	_	18	cop	_	_
18	okay	_	JJ	JJ	_	13	conj	_	_
19	,	_	,	,	_	0	erased	_	_
20	because	_	IN	IN	_	18	prep	_	_
21	who	_	WP	WP	_	22	nsubj	_	_
22	cares	_	VBZ	VBZ	_	20	pcomp	_	_
23	when	_	WRB	WRB	_	25	advmod	_	_
24	it	_	PRP	PRP	_	25	nsubj	_	_
25	comes	_	VBZ	VBZ	_	22	advcl	_	_
26	to	_	TO	TO	_	25	prep	_	_
27	the	_	DT	DT	_	28	det	_	_
28	service	_	NN	NN	_	26	pobj	_	_
29	,	_	,	,	_	0	erased	_	_
30	location	_	NN	NN	_	28	conj	_	_
31	and	_	CC	CC	_	28	cc	_	_
32	overall	_	JJ	JJ	_	33	amod	_	_
33	staff	_	NN	NN	_	28	conj	_	_
34	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	got	_	VBD	VBD	_	0	root	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	check	_	VB	VB	_	2	xcomp	_	_
5	in	_	RP	RP	_	4	prt	_	_
6	early	_	RB	RB	_	4	advmod	_	_
7	so	_	IN	IN	_	9	mark	_	_
8	I	_	PRP	PRP	_	9	nsubj	_	_
9	had	_	VBD	VBD	_	4	advcl	_	_
10	plenty	_	RB	RB	_	9	dobj	_	_
11	of	_	IN	IN	_	10	prep	_	_
12	time	_	NN	NN	_	11	pobj	_	_
13	to	_	TO	TO	_	14	aux	_	_
14	get	_	VB	VB	_	10	vmod	_	_
15	ready	_	JJ	JJ	_	19	amod	_	_
16	for	_	IN	IN	_	15	prep	_	_
17	the	_	DT	DT	_	18	det	_	_
18	Bears	_	NNPS	NNPS	_	16	pobj	_	_
19	game	_	NN	NN	_	14	dobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubjpass	_	_
2	were	_	VBD	VBD	_	3	auxpass	_	_
3	allowed	_	VBN	VBN	_	0	root	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	check-out	_	VB	VB	_	3	xcomp	_	_
6	late	_	RB	RB	_	5	advmod	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	recover	_	VB	VB	_	5	xcomp	_	_
9	from	_	IN	IN	_	8	prep	_	_
10	the	_	DT	DT	_	12	det	_	_
11	Bears	_	JJ	JJ	_	12	amod	_	_
12	game	_	NN	NN	_	9	pobj	_	_
13	and	_	CC	CC	_	12	cc	_	_
14	a	_	DT	DT	_	15	det	_	_
15	night	_	NN	NN	_	12	conj	_	_
16	of	_	IN	IN	_	15	prep	_	_
17	Heavy	_	NNP	NNP	_	19	nn	_	_
18	Chicago	_	NNP	NNP	_	19	nn	_	_
19	Drinking	_	NNP	NNP	_	16	pobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	excellent	_	JJ	JJ	_	9	ccomp	_	_
5	,	_	,	,	_	0	erased	_	_
6	everyone	_	NN	NN	_	9	nsubj	_	_
7	was	_	VBD	VBD	_	9	cop	_	_
8	really	_	RB	RB	_	9	advmod	_	_
9	nice	_	JJ	JJ	_	0	root	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	wanted	_	VBD	VBD	_	9	conj	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	make	_	VB	VB	_	11	xcomp	_	_
14	sure	_	JJ	JJ	_	13	acomp	_	_
15	we	_	PRP	PRP	_	16	nsubj	_	_
16	had	_	VBD	VBD	_	14	ccomp	_	_
17	an	_	DT	DT	_	19	det	_	_
18	enjoyable	_	JJ	JJ	_	19	amod	_	_
19	experience	_	NN	NN	_	16	dobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	Breakfast	_	NNP	NNP	_	4	nsubj	_	_
3	is	_	VBZ	VBZ	_	4	cop	_	_
4	BOMB	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	Do	_	VBP	VBP	_	3	aux	_	_
2	n't	_	RB	RB	_	3	neg	_	_
3	sleep	_	VB	VB	_	7	ccomp	_	_
4	on	_	IN	IN	_	3	prep	_	_
5	it	_	PRP	PRP	_	4	pobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	do	_	VBP	VBP	_	0	root	_	_
8	n't	_	RB	RB	_	7	neg	_	_
9	.	_	.	.	_	0	erased	_	_

1	One	_	CD	CD	_	3	num	_	_
2	other	_	JJ	JJ	_	3	amod	_	_
3	thing	_	NN	NN	_	14	nsubj	_	_
4	I	_	PRP	PRP	_	6	nsubj	_	_
5	would	_	MD	MD	_	6	aux	_	_
6	suggest	_	VB	VB	_	14	parataxis	_	_
7	,	_	,	,	_	0	erased	_	_
8	if	_	IN	IN	_	11	mark	_	_
9	you	_	PRP	PRP	_	11	nsubj	_	_
