1	Good	_	JJ	JJ	_	2	discourse	_	_
2	tour	_	VB	VB	_	0	root	_	_
3	tasting	_	NN	NN	_	2	acomp	_	_
4	with	_	IN	IN	_	3	prep	_	_
5	Robert	_	NNP	NNP	_	7	nn	_	_
6	n	_	NNP	NNP	_	7	nn	_	_
7	Tom	_	NNP	NNP	_	4	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	Space	_	NNP	NNP	_	3	nn	_	_
3	IPAD	_	NNP	NNP	_	15	nsubj	_	_
4	,	_	,	,	_	0	erased	_	_
5	Hammer	_	NNP	NNP	_	6	nn	_	_
6	Bullet	_	NNP	NNP	_	3	conj	_	_
7	&	_	CC	CC	_	6	cc	_	_
8	Vise	_	NNP	NNP	_	6	conj	_	_
9	,	_	,	,	_	0	erased	_	_
10	and	_	CC	CC	_	3	cc	_	_
11	Chub	_	NNP	NNP	_	13	nn	_	_
12	Step	_	NNP	NNP	_	13	nn	_	_
13	Porter	_	NNP	NNP	_	3	conj	_	_
14	were	_	VBD	VBD	_	15	cop	_	_
15	EXCELLENT	_	NNP	NNP	_	0	root	_	_
16	.	_	.	.	_	0	erased	_	_

1	.	_	UH	UH	_	0	erased	_	_

