1	Stayed	_	VBN	VBN	_	25	vmod	_	_
2	there	_	RB	RB	_	1	advmod	_	_
3	for	_	IN	IN	_	1	prep	_	_
4	a	_	DT	DT	_	5	det	_	_
5	couple	_	NN	NN	_	3	pobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	nights	_	NNS	NNS	_	6	pobj	_	_
8	last	_	JJ	JJ	_	9	amod	_	_
9	week	_	NN	NN	_	5	dep	_	_
10	and	_	CC	CC	_	1	cc	_	_
11	would	_	MD	MD	_	13	aux	_	_
12	definitely	_	RB	RB	_	13	advmod	_	_
13	recommend	_	VB	VB	_	1	conj	_	_
14	this	_	DT	DT	_	15	det	_	_
15	place	_	NN	NN	_	13	dobj	_	_
16	!!	_	NNP	NNP	_	17	nn	_	_
17	Staff	_	NNP	NNP	_	20	nsubj	_	_
18	is	_	VBZ	VBZ	_	20	cop	_	_
19	super	_	RB	RB	_	20	advmod	_	_
20	friendly	_	JJ	JJ	_	15	rcmod	_	_
21	,	_	,	,	_	0	erased	_	_
22	everything	_	NN	NN	_	25	nsubj	_	_
23	is	_	VBZ	VBZ	_	25	cop	_	_
24	very	_	RB	RB	_	25	advmod	_	_
25	clean	_	JJ	JJ	_	0	root	_	_
26	and	_	CC	CC	_	25	cc	_	_
27	there	_	EX	EX	_	28	expl	_	_
28	's	_	VBZ	VBZ	_	25	conj	_	_
29	free	_	JJ	JJ	_	30	amod	_	_
30	breakfast	_	NN	NN	_	28	nsubj	_	_
31	and	_	CC	CC	_	30	cc	_	_
32	wi-fi	_	NN	NN	_	30	conj	_	_
33	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	location	_	NN	NN	_	4	nsubj	_	_
3	is	_	VBZ	VBZ	_	4	cop	_	_
4	nice	_	JJ	JJ	_	0	root	_	_
5	too	_	RB	RB	_	4	advmod	_	_
6	:	_	:	:	_	0	erased	_	_
7	it	_	PRP	PRP	_	11	nsubj	_	_
8	's	_	VBZ	VBZ	_	11	cop	_	_
9	not	_	RB	RB	_	11	neg	_	_
10	exactly	_	RB	RB	_	11	advmod	_	_
11	downtown	_	NN	NN	_	4	parataxis	_	_
12	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
13	though	_	IN	IN	_	18	mark	_	_
14	it	_	PRP	PRP	_	18	nsubj	_	_
15	's	_	VBZ	VBZ	_	18	cop	_	_
16	only	_	RB	RB	_	18	quantmod	_	_
17	a	_	DT	DT	_	18	quantmod	_	_
18	couple	_	NN	NN	_	11	dep	_	_
19	of	_	IN	IN	_	18	prep	_	_
20	metro	_	NN	NN	_	21	nn	_	_
21	stops	_	NNS	NNS	_	19	pobj	_	_
22	away	_	RB	RB	_	18	advmod	_	_
23	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
24	,	_	,	,	_	0	erased	_	_
25	but	_	CC	CC	_	11	cc	_	_
26	it	_	PRP	PRP	_	28	nsubj	_	_
27	does	_	VBZ	VBZ	_	28	aux	_	_
28	have	_	VB	VB	_	11	conj	_	_
29	a	_	DT	DT	_	32	det	_	_
30	great	_	JJ	JJ	_	32	amod	_	_
31	many	_	JJ	JJ	_	32	amod	_	_
32	cafés	_	NNS	NNS	_	28	dobj	_	_
33	and	_	CC	CC	_	32	cc	_	_
34	restaurants	_	NNS	NNS	_	32	conj	_	_
35	nearby	_	RB	RB	_	28	advmod	_	_
36	.	_	.	.	_	0	erased	_	_

1	When	_	WRB	WRB	_	3	advmod	_	_
2	it	_	PRP	PRP	_	3	nsubj	_	_
3	comes	_	VBZ	VBZ	_	11	advcl	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	hostels	_	NNS	NNS	_	4	pobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	this	_	DT	DT	_	11	nsubj	_	_
8	is	_	VBZ	VBZ	_	11	cop	_	_
9	about	_	IN	IN	_	11	dep	_	_
10	as	_	RB	RB	_	11	advmod	_	_
11	good	_	JJ	JJ	_	0	root	_	_
12	as	_	IN	IN	_	14	mark	_	_
13	it	_	PRP	PRP	_	14	nsubj	_	_
14	gets	_	VBZ	VBZ	_	11	advcl	_	_
15	!	_	.	.	_	0	erased	_	_

