1	One	_	CD	CD	_	4	num	_	_
2	really	_	RB	RB	_	3	advmod	_	_
3	horrible	_	JJ	JJ	_	4	amod	_	_
4	thing	_	NN	NN	_	0	root	_	_
5	...	_	:	:	_	0	erased	_	_
6	No	_	DT	DT	_	8	nsubj	_	_
7	lighted	_	VBN	VBN	_	6	amod	_	_
8	make	_	VB	VB	_	4	dep	_	_
9	up	_	RP	RP	_	8	prt	_	_
10	magnified	_	JJ	JJ	_	11	amod	_	_
11	mirror	_	NN	NN	_	8	dobj	_	_
12	in	_	IN	IN	_	11	prep	_	_
13	room	_	NN	NN	_	12	pobj	_	_
14	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	could	_	MD	MD	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	put	_	VB	VB	_	0	root	_	_
5	my	_	PRP$	PRP$	_	6	poss	_	_
6	contacts	_	NNS	NNS	_	4	dobj	_	_
7	in	_	IN	IN	_	4	prep	_	_
8	or	_	CC	CC	_	4	cc	_	_
9	my	_	PRP$	PRP$	_	10	nsubj	_	_
10	make	_	VBP	VBP	_	4	conj	_	_
11	up	_	RP	RP	_	10	prt	_	_
12	on	_	IN	IN	_	10	prep	_	_
13	!	_	.	.	_	0	erased	_	_

1	Had	_	VBD	VBD	_	0	root	_	_
2	to	_	TO	TO	_	3	aux	_	_
3	run	_	VB	VB	_	1	xcomp	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	walgreens	_	NNS	NNS	_	4	pobj	_	_
6	to	_	TO	TO	_	7	aux	_	_
7	buy	_	VB	VB	_	1	xcomp	_	_
8	a	_	DT	DT	_	9	det	_	_
9	mirror	_	NN	NN	_	7	dobj	_	_
10	!	_	.	.	_	0	erased	_	_

1	Really	_	NNP	NNP	_	3	nn	_	_
2	Marriott	_	NNP	NNP	_	3	nn	_	_
3	???	_	NNP	NNP	_	0	root	_	_

