1	There	_	EX	EX	_	2	expl	_	_
2	's	_	VBZ	VBZ	_	0	root	_	_
3	not	_	RB	RB	_	2	neg	_	_
4	many	_	JJ	JJ	_	6	amod	_	_
5	negative	_	JJ	JJ	_	6	amod	_	_
6	things	_	NNS	NNS	_	2	nsubj	_	_
7	I	_	PRP	PRP	_	9	nsubj	_	_
8	can	_	MD	MD	_	9	aux	_	_
9	say	_	VB	VB	_	6	rcmod	_	_
10	about	_	IN	IN	_	9	prep	_	_
11	southwest	_	NN	NN	_	10	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	5	nsubjpass	_	_
2	's	_	VBZ	VBZ	_	5	auxpass	_	_
3	been	_	VBN	VBN	_	5	cop	_	_
4	my	_	PRP$	PRP$	_	5	poss	_	_
5	airline	_	NN	NN	_	0	root	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	choice	_	NN	NN	_	6	pobj	_	_
8	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
9	and	_	CC	CC	_	10	cc	_	_
10	what	_	WP	WP	_	5	dep	_	_
11	I	_	PRP	PRP	_	12	nsubj	_	_
12	fly	_	VBP	VBP	_	10	rcmod	_	_
13	90	_	CD	CD	_	14	num	_	_
14	%	_	NN	NN	_	12	dobj	_	_
15	of	_	IN	IN	_	14	prep	_	_
16	the	_	DT	DT	_	17	det	_	_
17	time	_	NN	NN	_	15	pobj	_	_
18	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
19	for	_	IN	IN	_	5	prep	_	_
20	years	_	NNS	NNS	_	19	pobj	_	_
21	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	also	_	RB	RB	_	3	advmod	_	_
3	have	_	VBP	VBP	_	0	root	_	_
4	the	_	DT	DT	_	7	det	_	_
5	southwest	_	JJ	JJ	_	7	amod	_	_
6	credit	_	NN	NN	_	7	nn	_	_
7	card	_	NN	NN	_	3	dobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	use	_	VBP	VBP	_	0	root	_	_
3	it	_	PRP	PRP	_	2	dobj	_	_
4	for	_	IN	IN	_	2	prep	_	_
5	EVERY	_	JJ	JJ	_	7	amod	_	_
6	single	_	JJ	JJ	_	7	amod	_	_
7	purchase	_	NN	NN	_	4	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	and	_	CC	CC	_	4	cc	_	_
10	as	_	IN	IN	_	4	conj	_	_
11	a	_	DT	DT	_	12	det	_	_
12	result	_	NN	NN	_	10	pobj	_	_
13	-	_	:	:	_	0	erased	_	_
14	I	_	PRP	PRP	_	15	nsubj	_	_
15	rack	_	VBP	VBP	_	2	parataxis	_	_
16	up	_	RP	RP	_	15	prt	_	_
17	the	_	DT	DT	_	18	det	_	_
18	points	_	NNS	NNS	_	15	dobj	_	_
19	that	_	WDT	WDT	_	20	nsubj	_	_
20	go	_	VBP	VBP	_	18	rcmod	_	_
21	towards	_	IN	IN	_	20	prep	_	_
22	free	_	JJ	JJ	_	23	amod	_	_
23	flights	_	NNS	NNS	_	21	pobj	_	_
24	.	_	.	.	_	0	erased	_	_

1	Love	_	NN	NN	_	7	nsubj	_	_
2	that	_	IN	IN	_	5	mark	_	_
3	you	_	PRP	PRP	_	5	nsubjpass	_	_
4	're	_	VBP	VBP	_	5	auxpass	_	_
5	allowed	_	VBN	VBN	_	1	dep	_	_
6	free	_	JJ	JJ	_	5	xcomp	_	_
7	checked	_	VBD	VBD	_	0	root	_	_
8	bags	_	NNS	NNS	_	7	dobj	_	_
9	!	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	3	cc	_	_
2	they	_	PRP	PRP	_	3	nsubj	_	_
3	mail	_	VBP	VBP	_	0	root	_	_
4	me	_	PRP	PRP	_	7	nsubj	_	_
5	so	_	RB	RB	_	6	advmod	_	_
6	many	_	JJ	JJ	_	7	dep	_	_
7	free	_	VB	VB	_	3	xcomp	_	_
8	alcoholic	_	JJ	JJ	_	10	amod	_	_
9	drink	_	NN	NN	_	10	nn	_	_
10	coupons	_	NNS	NNS	_	7	dobj	_	_
11	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	can	_	MD	MD	_	4	aux	_	_
3	honestly	_	RB	RB	_	4	advmod	_	_
4	say	_	VB	VB	_	0	root	_	_
5	I	_	PRP	PRP	_	8	nsubj	_	_
6	've	_	VBP	VBP	_	8	aux	_	_
7	never	_	RB	RB	_	8	neg	_	_
8	had	_	VBN	VBN	_	4	ccomp	_	_
9	a	_	DT	DT	_	11	det	_	_
10	bad	_	JJ	JJ	_	11	amod	_	_
11	experience	_	NN	NN	_	8	dobj	_	_
12	with	_	IN	IN	_	11	prep	_	_
13	a	_	DT	DT	_	15	det	_	_
14	southwest	_	JJ	JJ	_	15	amod	_	_
15	employee	_	NN	NN	_	12	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	3	nsubj	_	_
2	can	_	MD	MD	_	3	aux	_	_
3	tell	_	VB	VB	_	0	root	_	_
4	they	_	PRP	PRP	_	6	nsubj	_	_
5	actually	_	RB	RB	_	6	advmod	_	_
6	enjoy	_	VBP	VBP	_	3	ccomp	_	_
7	working	_	VBG	VBG	_	6	xcomp	_	_
8	for	_	IN	IN	_	7	prep	_	_
9	this	_	DT	DT	_	10	det	_	_
10	airline	_	NN	NN	_	8	pobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	've	_	VBP	VBP	_	3	aux	_	_
3	received	_	VBN	VBN	_	0	root	_	_
4	so	_	RB	RB	_	5	advmod	_	_
5	many	_	JJ	JJ	_	6	amod	_	_
6	drinks	_	NNS	NNS	_	3	dobj	_	_
7	``	_	``	``	_	0	erased	_	_
8	on	_	IN	IN	_	3	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	house	_	NN	NN	_	8	pobj	_	_
11	''	_	''	''	_	0	erased	_	_
12	,	_	,	,	_	0	erased	_	_
13	and	_	CC	CC	_	3	cc	_	_
14	if	_	IN	IN	_	17	mark	_	_
15	I	_	PRP	PRP	_	17	nsubj	_	_
16	ever	_	RB	RB	_	17	advmod	_	_
17	had	_	VBD	VBD	_	27	advcl	_	_
18	to	_	TO	TO	_	19	aux	_	_
19	call	_	VB	VB	_	17	xcomp	_	_
20	customer	_	NN	NN	_	21	nn	_	_
21	service	_	NN	NN	_	19	dobj	_	_
22	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
23	and	_	CC	CC	_	24	cc	_	_
24	yes	_	VBZ	VBZ	_	19	dep	_	_
25	they	_	PRP	PRP	_	27	nsubj	_	_
26	are	_	VBP	VBP	_	27	cop	_	_
27	Americans	_	NNS	NNS	_	3	conj	_	_
28	that	_	WDT	WDT	_	29	nsubj	_	_
29	speak	_	VBP	VBP	_	27	rcmod	_	_
30	good	_	JJ	JJ	_	31	amod	_	_
31	English	_	NNP	NNP	_	29	dobj	_	_
32	,	_	,	,	_	0	erased	_	_
33	unlike	_	IN	IN	_	29	prep	_	_
34	some	_	DT	DT	_	36	det	_	_
35	other	_	JJ	JJ	_	36	amod	_	_
36	airlines	_	NNS	NNS	_	33	pobj	_	_
37	!	_	.	.	_	0	erased	_	_
38	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_

1	they	_	PRP	PRP	_	3	nsubj	_	_
2	always	_	RB	RB	_	3	advmod	_	_
3	pick	_	VB	VB	_	0	root	_	_
4	up	_	RP	RP	_	3	prt	_	_
5	right	_	RB	RB	_	6	advmod	_	_
6	away	_	RB	RB	_	3	advmod	_	_
