1	There	_	EX	EX	_	2	expl	_	_
2	are	_	VBP	VBP	_	0	root	_	_
3	a	_	DT	DT	_	5	det	_	_
4	few	_	JJ	JJ	_	5	amod	_	_
5	places	_	NNS	NNS	_	2	nsubj	_	_
6	that	_	IN	IN	_	8	mark	_	_
7	I	_	PRP	PRP	_	8	nsubj	_	_
8	question	_	VBP	VBP	_	5	dep	_	_
9	Yelping	_	VBG	VBG	_	8	xcomp	_	_
10	because	_	IN	IN	_	14	mark	_	_
11	they	_	PRP	PRP	_	14	nsubj	_	_
12	are	_	VBP	VBP	_	14	cop	_	_
13	sooo	_	RB	RB	_	14	advmod	_	_
14	awesome	_	JJ	JJ	_	9	advcl	_	_
15	that	_	IN	IN	_	17	mark	_	_
16	I	_	PRP	PRP	_	17	nsubj	_	_
17	feel	_	VBP	VBP	_	14	ccomp	_	_
18	greedy	_	JJ	JJ	_	17	acomp	_	_
19	and	_	CC	CC	_	17	cc	_	_
20	want	_	VBP	VBP	_	17	conj	_	_
21	to	_	TO	TO	_	22	aux	_	_
22	keep	_	VB	VB	_	20	xcomp	_	_
23	them	_	PRP	PRP	_	22	dobj	_	_
24	to	_	TO	TO	_	22	prep	_	_
25	myself	_	PRP	PRP	_	24	pobj	_	_
26	.	_	.	.	_	0	erased	_	_

1	But	_	CC	CC	_	4	cc	_	_
2	then	_	RB	RB	_	4	advmod	_	_
3	I	_	PRP	PRP	_	4	nsubj	_	_
4	have	_	VBP	VBP	_	0	root	_	_
5	to	_	TO	TO	_	7	aux	_	_
6	be	_	VB	VB	_	7	cop	_	_
7	nice	_	JJ	JJ	_	4	xcomp	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	think	_	VB	VB	_	7	conj	_	_
10	about	_	IN	IN	_	9	dep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	owners	_	NNS	NNS	_	10	pobj	_	_
13	and	_	CC	CC	_	10	cc	_	_
14	how	_	WRB	WRB	_	15	advmod	_	_
15	much	_	RB	RB	_	19	dobj	_	_
16	better	_	JJR	JJR	_	15	amod	_	_
17	it	_	PRP	PRP	_	19	nsubj	_	_
18	would	_	MD	MD	_	19	aux	_	_
19	be	_	VB	VB	_	10	conj	_	_
20	for	_	IN	IN	_	19	prep	_	_
21	them	_	PRP	PRP	_	20	pobj	_	_
22	to	_	TO	TO	_	23	aux	_	_
23	rock	_	VB	VB	_	19	xcomp	_	_
24	out	_	RP	RP	_	23	prt	_	_
25	running	_	VBG	VBG	_	23	xcomp	_	_
26	their	_	PRP$	PRP$	_	27	poss	_	_
27	businesses	_	NNS	NNS	_	25	dobj	_	_
28	.	_	.	.	_	0	erased	_	_

1	What	_	WP	WP	_	0	root	_	_
2	a	_	DT	DT	_	3	det	_	_
3	world	_	NN	NN	_	1	dep	_	_
4	,	_	,	,	_	0	erased	_	_
5	what	_	WP	WP	_	3	appos	_	_
6	a	_	DT	DT	_	7	det	_	_
7	world	_	NN	NN	_	5	dep	_	_
8	.	_	.	.	_	0	erased	_	_

1	Enter	_	VB	VB	_	0	root	_	_
2	900	_	CD	CD	_	4	num	_	_
3	DeWitt	_	NNP	NNP	_	4	nn	_	_
4	Place	_	NNS	NNS	_	1	dobj	_	_
5	.	_	.	.	_	0	erased	_	_

1	Have	_	VBP	VBP	_	5	aux	_	_
2	friends	_	NNS	NNS	_	5	nsubj	_	_
3	or	_	CC	CC	_	2	cc	_	_
4	family	_	NN	NN	_	2	conj	_	_
5	coming	_	VBG	VBG	_	0	root	_	_
6	from	_	IN	IN	_	5	prep	_	_
7	out	_	NN	NN	_	6	pobj	_	_
8	of	_	IN	IN	_	7	prep	_	_
9	town	_	NN	NN	_	8	pobj	_	_
10	?	_	.	.	_	0	erased	_	_

1	Live	_	VB	VB	_	0	root	_	_
2	in	_	IN	IN	_	1	prep	_	_
3	the	_	DT	DT	_	5	det	_	_
4	`	_	``	``	_	0	erased	_	_
5	burbs	_	NN	NN	_	2	pobj	_	_
6	and	_	CC	CC	_	1	cc	_	_
7	want	_	VB	VB	_	1	conj	_	_
8	to	_	TO	TO	_	9	aux	_	_
9	spend	_	VB	VB	_	7	ccomp	_	_
10	a	_	DT	DT	_	11	det	_	_
11	night	_	NN	NN	_	9	dobj	_	_
12	in	_	IN	IN	_	11	prep	_	_
13	Chicago	_	NNP	NNP	_	12	pobj	_	_
14	for	_	IN	IN	_	9	prep	_	_
15	a	_	DT	DT	_	16	det	_	_
16	play	_	NN	NN	_	14	pobj	_	_
17	or	_	CC	CC	_	9	cc	_	_
18	just	_	RB	RB	_	20	advmod	_	_
19	to	_	TO	TO	_	20	aux	_	_
20	get	_	VB	VB	_	9	conj	_	_
21	away	_	RP	RP	_	20	prt	_	_
22	?	_	.	.	_	0	erased	_	_

1	Care	_	NNP	NNP	_	0	root	_	_
2	to	_	TO	TO	_	3	aux	_	_
3	enjoy	_	VB	VB	_	1	dep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	views	_	NNS	NNS	_	3	dobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	Lake	_	NNP	NNP	_	8	nn	_	_
8	Michigan	_	NNP	NNP	_	6	pobj	_	_
9	without	_	IN	IN	_	3	prep	_	_
10	the	_	DT	DT	_	12	det	_	_
11	tourist	_	NN	NN	_	12	nn	_	_
12	trap	_	NN	NN	_	13	dep	_	_
13	hotels	_	NNS	NNS	_	9	pobj	_	_
14	and	_	CC	CC	_	13	cc	_	_
15	extra	_	JJ	JJ	_	16	amod	_	_
16	taxes	_	NNS	NNS	_	13	conj	_	_
17	and	_	CC	CC	_	16	cc	_	_
18	fees	_	NNS	NNS	_	16	conj	_	_
19	?	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	4	nsubj	_	_
2	is	_	VBZ	VBZ	_	4	cop	_	_
3	the	_	DT	DT	_	4	det	_	_
4	place	_	NN	NN	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	My	_	PRP$	PRP$	_	2	poss	_	_
2	husband	_	NN	NN	_	8	nsubj	_	_
3	,	_	,	,	_	0	erased	_	_
4	our	_	PRP$	PRP$	_	5	poss	_	_
