1	Wow	_	UH	UH	_	3	discourse	_	_
2	!	_	.	.	_	0	erased	_	_
3	Loved	_	VB	VB	_	0	root	_	_
4	the	_	DT	DT	_	7	det	_	_
5	Ambassador	_	NNP	NNP	_	7	nn	_	_
6	East	_	NNP	NNP	_	7	nn	_	_
7	Hotel	_	NNP	NNP	_	3	dobj	_	_
8	in	_	IN	IN	_	7	prep	_	_
9	Chicago	_	NNP	NNP	_	8	pobj	_	_
10	!	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	so	_	RB	RB	_	4	advmod	_	_
4	close	_	JJ	JJ	_	0	root	_	_
5	to	_	TO	TO	_	4	prep	_	_
6	all	_	PDT	PDT	_	9	predet	_	_
7	the	_	DT	DT	_	9	det	_	_
8	great	_	JJ	JJ	_	9	amod	_	_
9	sights	_	NNS	NNS	_	5	pobj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	Chicago	_	NNP	NNP	_	10	pobj	_	_
12	like	_	IN	IN	_	4	prep	_	_
13	Navy	_	NNP	NNP	_	14	nn	_	_
14	Pier	_	NNP	NNP	_	12	pobj	_	_
15	,	_	,	,	_	0	erased	_	_
16	Lake	_	NNP	NNP	_	17	nn	_	_
17	Michigan	_	NNP	NNP	_	14	conj	_	_
18	,	_	,	,	_	0	erased	_	_
19	and	_	CC	CC	_	14	cc	_	_
20	all	_	PDT	PDT	_	23	predet	_	_
21	the	_	DT	DT	_	23	det	_	_
22	fabulous	_	JJ	JJ	_	23	amod	_	_
23	dining	_	NN	NN	_	14	conj	_	_
24	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	hotel	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	very	_	RB	RB	_	5	advmod	_	_
5	classy	_	JJ	JJ	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	the	_	DT	DT	_	8	det	_	_
8	rooms	_	NNS	NNS	_	10	nsubjpass	_	_
9	were	_	VBD	VBD	_	10	auxpass	_	_
10	furnished	_	VBN	VBN	_	5	conj	_	_
11	in	_	IN	IN	_	10	prep	_	_
12	a	_	DT	DT	_	17	det	_	_
13	traditional	_	JJ	JJ	_	17	amod	_	_
14	,	_	,	,	_	0	erased	_	_
15	but	_	CC	CC	_	13	cc	_	_
16	cozy	_	JJ	JJ	_	13	conj	_	_
17	manner	_	NN	NN	_	11	pobj	_	_
