1	Yeah	_	UH	UH	_	3	discourse	_	_
2	!	_	.	.	_	0	erased	_	_
3	Flipping	_	VB	VB	_	0	root	_	_
4	kayaking	_	NN	NN	_	3	dobj	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	junk	_	NN	NN	_	4	conj	_	_
7	!	_	.	.	_	0	erased	_	_

1	Went	_	NNP	NNP	_	21	nsubj	_	_
2	over	_	IN	IN	_	1	prep	_	_
3	the	_	DT	DT	_	7	det	_	_
4	4th	_	JJ	JJ	_	7	amod	_	_
5	of	_	IN	IN	_	4	prep	_	_
6	July	_	NNP	NNP	_	5	pobj	_	_
7	weekend	_	NN	NN	_	2	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	opted	_	VBN	VBN	_	7	vmod	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	do	_	VB	VB	_	9	xcomp	_	_
12	it	_	PRP	PRP	_	11	dobj	_	_
13	up	_	RB	RB	_	14	advmod	_	_
14	here	_	RB	RB	_	11	advmod	_	_
15	to	_	TO	TO	_	16	aux	_	_
16	avoid	_	VB	VB	_	14	dep	_	_
17	the	_	DT	DT	_	18	det	_	_
18	potential	_	NN	NN	_	16	dobj	_	_
19	of	_	IN	IN	_	18	prep	_	_
20	things	_	NNS	NNS	_	19	pobj	_	_
21	bring	_	VBP	VBP	_	0	root	_	_
22	throw	_	VB	VB	_	21	xcomp	_	_
23	at	_	IN	IN	_	22	prep	_	_
24	us	_	PRP	PRP	_	23	pobj	_	_
25	from	_	IN	IN	_	22	prep	_	_
26	patrons	_	NNP	NNP	_	25	pobj	_	_
27	of	_	IN	IN	_	26	prep	_	_
28	the	_	DT	DT	_	32	det	_	_
29	Cubs	_	NNP	NNP	_	32	nn	_	_
30	/	_	NNP	NNP	_	32	nn	_	_
31	Sox	_	NNPS	NNPS	_	32	nn	_	_
32	game	_	NN	NN	_	27	pobj	_	_
33	,	_	,	,	_	0	erased	_	_
34	the	_	DT	DT	_	35	det	_	_
35	Taste	_	NN	NN	_	32	conj	_	_
36	,	_	,	,	_	0	erased	_	_
37	and	_	CC	CC	_	32	cc	_	_
38	just	_	RB	RB	_	41	advmod	_	_
39	general	_	JJ	JJ	_	41	amod	_	_
40	4th	_	JJ	JJ	_	41	amod	_	_
41	rowdiness	_	NNS	NNS	_	32	conj	_	_
42	.	_	.	.	_	0	erased	_	_

1	Glad	_	NNP	NNP	_	0	root	_	_
2	we	_	PRP	PRP	_	3	nsubj	_	_
3	did	_	VBD	VBD	_	1	rcmod	_	_
4	-	_	:	:	_	0	erased	_	_
5	$	_	$	$	_	1	dep	_	_
6	15/hr	_	CD	CD	_	5	num	_	_
7	and	_	CC	CC	_	5	cc	_	_
8	a	_	DT	DT	_	11	det	_	_
9	super	_	JJ	JJ	_	11	amod	_	_
10	relaxing	_	JJ	JJ	_	11	amod	_	_
11	tour	_	NN	NN	_	5	conj	_	_
12	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	people	_	NNS	NNS	_	7	nsubj	_	_
3	running	_	VBG	VBG	_	2	vmod	_	_
4	it	_	PRP	PRP	_	3	dobj	_	_
5	were	_	VBD	VBD	_	7	cop	_	_
6	really	_	RB	RB	_	7	advmod	_	_
7	nice	_	JJ	JJ	_	0	root	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	helpful	_	JJ	JJ	_	7	conj	_	_
10	to	_	TO	TO	_	7	prep	_	_
11	my	_	PRP$	PRP$	_	12	poss	_	_
12	fiance	_	NN	NN	_	10	pobj	_	_
13	who	_	WP	WP	_	16	nsubj	_	_
14	had	_	VBD	VBD	_	16	aux	_	_
15	never	_	RB	RB	_	16	neg	_	_
16	kayaked	_	VBN	VBN	_	12	rcmod	_	_
17	before	_	RB	RB	_	16	advmod	_	_
18	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	2	nsubj	_	_
2	assured	_	VBD	VBD	_	0	root	_	_
3	him	_	PRP	PRP	_	2	dobj	_	_
4	that	_	IN	IN	_	8	mark	_	_
5	he	_	PRP	PRP	_	8	nsubj	_	_
6	would	_	MD	MD	_	8	aux	_	_
7	n't	_	RB	RB	_	8	neg	_	_
8	tip	_	VB	VB	_	2	ccomp	_	_
9	into	_	IN	IN	_	8	prep	_	_
10	the	_	DT	DT	_	9	pobj	_	_
11	what	_	WP	WP	_	13	dobj	_	_
12	he	_	PRP	PRP	_	13	nsubj	_	_
13	called	_	VBD	VBD	_	10	rcmod	_	_
14	``	_	``	``	_	0	erased	_	_
15	poo	_	NN	NN	_	16	nn	_	_
16	water	_	NN	NN	_	13	dobj	_	_
17	''	_	''	''	_	0	erased	_	_
18	.	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	5	cc	_	_
2	no	_	RB	RB	_	5	nsubj	_	_
3	,	_	,	,	_	0	erased	_	_
4	he	_	PRP	PRP	_	5	nsubj	_	_
5	did	_	VBD	VBD	_	0	root	_	_
6	n't	_	RB	RB	_	5	neg	_	_
7	tip	_	NN	NN	_	5	dobj	_	_
8	.	_	.	.	_	0	erased	_	_

