1	Wow	_	UH	UH	_	4	discourse	_	_
2	!	_	.	.	_	0	erased	_	_
3	We	_	PRP	PRP	_	4	nsubj	_	_
4	took	_	VBD	VBD	_	15	ccomp	_	_
5	329	_	CD	CD	_	6	num	_	_
6	students	_	NNS	NNS	_	4	dobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	teachers	_	NNS	NNS	_	15	nsubj	_	_
9	and	_	CC	CC	_	8	cc	_	_
10	parents	_	NNS	NNS	_	8	conj	_	_
11	for	_	IN	IN	_	8	prep	_	_
12	the	_	DT	DT	_	14	det	_	_
13	buffet	_	NN	NN	_	14	nn	_	_
14	lunch	_	NN	NN	_	11	pobj	_	_
15	cruise	_	VBP	VBP	_	0	root	_	_
16	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
2	have	_	VBP	VBP	_	3	aux	_	_
3	taken	_	VBN	VBN	_	0	root	_	_
4	this	_	DT	DT	_	5	det	_	_
5	end	_	NN	NN	_	3	dobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	the	_	DT	DT	_	10	det	_	_
8	school	_	NN	NN	_	10	nn	_	_
9	year	_	NN	NN	_	10	nn	_	_
10	trip	_	NN	NN	_	6	pobj	_	_
11	for	_	IN	IN	_	3	prep	_	_
12	10	_	CD	CD	_	14	num	_	_
13	consecutive	_	JJ	JJ	_	14	amod	_	_
14	years	_	NNS	NNS	_	11	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	Each	_	DT	DT	_	12	nsubj	_	_
2	and	_	CC	CC	_	1	cc	_	_
3	every	_	DT	DT	_	4	det	_	_
4	year	_	NN	NN	_	1	conj	_	_
5	,	_	,	,	_	0	erased	_	_
6	the	_	DT	DT	_	7	det	_	_
7	staff	_	NN	NN	_	10	nsubj	_	_
8	is	_	VBZ	VBZ	_	10	cop	_	_
9	always	_	RB	RB	_	10	advmod	_	_
10	attentive	_	JJ	JJ	_	12	parataxis	_	_
11	,	_	,	,	_	0	erased	_	_
12	polite	_	VBN	VBN	_	0	root	_	_
13	and	_	CC	CC	_	12	cc	_	_
14	talk	_	NN	NN	_	12	conj	_	_
15	about	_	IN	IN	_	14	prep	_	_
16	crowd	_	NN	NN	_	17	nn	_	_
17	management	_	NN	NN	_	15	pobj	_	_
18	;	_	:	:	_	0	erased	_	_
19	the	_	DT	DT	_	20	det	_	_
20	DJ	_	NNP	NNP	_	22	nsubj	_	_
21	is	_	VBZ	VBZ	_	22	cop	_	_
22	fantastic	_	JJ	JJ	_	12	parataxis	_	_
23	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	entire	_	JJ	JJ	_	3	amod	_	_
3	cruise	_	NN	NN	_	5	nsubj	_	_
4	is	_	VBZ	VBZ	_	5	cop	_	_
5	student	_	NN	NN	_	0	root	_	_
6	centered	_	VBN	VBN	_	5	vmod	_	_
7	and	_	CC	CC	_	5	cc	_	_
8	the	_	DT	DT	_	9	det	_	_
9	proof	_	NN	NN	_	10	nsubj	_	_
10	is	_	VBZ	VBZ	_	5	conj	_	_
11	that	_	IN	IN	_	16	mark	_	_
12	our	_	PRP$	PRP$	_	13	poss	_	_
13	students	_	NNS	NNS	_	16	nsubj	_	_
14	ca	_	MD	MD	_	16	aux	_	_
15	n't	_	RB	RB	_	16	neg	_	_
16	stop	_	VB	VB	_	10	ccomp	_	_
17	talking	_	VBG	VBG	_	16	xcomp	_	_
18	about	_	IN	IN	_	17	prep	_	_
19	their	_	PRP$	PRP$	_	20	poss	_	_
20	experience	_	NN	NN	_	18	pobj	_	_
21	and	_	CC	CC	_	16	cc	_	_
22	parents	_	NNS	NNS	_	25	nsubj	_	_
23	are	_	VBP	VBP	_	25	cop	_	_
24	very	_	RB	RB	_	25	advmod	_	_
25	complementary	_	JJ	JJ	_	16	conj	_	_
26	!	_	.	.	_	0	erased	_	_

