1	awesome	_	JJ	JJ	_	2	amod	_	_
2	place	_	NN	NN	_	0	root	_	_
3	!	_	.	.	_	0	erased	_	_

1	if	_	IN	IN	_	4	mark	_	_
2	you	_	PRP	PRP	_	4	nsubj	_	_
3	are	_	VBP	VBP	_	4	aux	_	_
4	looking	_	VBG	VBG	_	0	root	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	have	_	VB	VB	_	4	xcomp	_	_
7	fun	_	NN	NN	_	6	dobj	_	_
8	and	_	CC	CC	_	4	cc	_	_
9	do	_	VBP	VBP	_	11	aux	_	_
10	not	_	RB	RB	_	11	neg	_	_
11	want	_	VB	VB	_	4	conj	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	spend	_	VB	VB	_	11	xcomp	_	_
14	a	_	DT	DT	_	15	det	_	_
15	lot	_	NN	NN	_	13	dobj	_	_
16	of	_	IN	IN	_	15	prep	_	_
17	money	_	NN	NN	_	16	pobj	_	_
18	this	_	DT	DT	_	21	nsubj	_	_
19	is	_	VBZ	VBZ	_	21	cop	_	_
20	the	_	DT	DT	_	21	det	_	_
21	place	_	NN	NN	_	15	rcmod	_	_
22	to	_	TO	TO	_	23	aux	_	_
23	go	_	VB	VB	_	21	vmod	_	_
24	!!!	_	NNS	NNS	_	23	dobj	_	_

