1	My	_	PRP$	PRP$	_	2	poss	_	_
2	friend	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	visited	_	VBD	VBD	_	0	root	_	_
6	Amalfi	_	NNP	NNP	_	7	nn	_	_
7	Hotel	_	NNP	NNP	_	5	dobj	_	_
8	last	_	JJ	JJ	_	9	amod	_	_
9	week	_	NN	NN	_	5	tmod	_	_
10	when	_	WRB	WRB	_	12	advmod	_	_
11	we	_	PRP	PRP	_	12	nsubj	_	_
12	were	_	VBD	VBD	_	5	advcl	_	_
13	in	_	IN	IN	_	12	prep	_	_
14	Chicago	_	NNP	NNP	_	13	pobj	_	_
15	and	_	CC	CC	_	5	cc	_	_
16	found	_	VBD	VBD	_	5	conj	_	_
17	it	_	PRP	PRP	_	16	dobj	_	_
18	to	_	TO	TO	_	22	aux	_	_
19	be	_	VB	VB	_	22	cop	_	_
20	a	_	DT	DT	_	22	det	_	_
21	great	_	JJ	JJ	_	22	amod	_	_
22	place	_	NN	NN	_	16	xcomp	_	_
23	,	_	,	,	_	0	erased	_	_
24	very	_	RB	RB	_	25	advmod	_	_
25	sophisticated	_	JJ	JJ	_	22	amod	_	_
26	and	_	CC	CC	_	25	cc	_	_
27	luxurious	_	JJ	JJ	_	25	conj	_	_
28	,	_	,	,	_	0	erased	_	_
29	with	_	IN	IN	_	22	prep	_	_
30	lots	_	NNS	NNS	_	29	pobj	_	_
31	of	_	IN	IN	_	30	prep	_	_
32	attention	_	NN	NN	_	31	pobj	_	_
33	to	_	TO	TO	_	32	prep	_	_
34	detail	_	NN	NN	_	33	pobj	_	_
35	in	_	IN	IN	_	34	prep	_	_
36	the	_	DT	DT	_	37	det	_	_
37	decor	_	NN	NN	_	35	pobj	_	_
38	and	_	CC	CC	_	37	cc	_	_
39	wonderful	_	JJ	JJ	_	41	amod	_	_
40	customer	_	NN	NN	_	41	nn	_	_
41	service	_	NN	NN	_	37	conj	_	_
42	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	beds	_	NNS	NNS	_	4	nsubj	_	_
3	were	_	VBD	VBD	_	4	cop	_	_
4	comfortable	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	room	_	NN	NN	_	3	nn	_	_
3	service	_	NN	NN	_	5	nsubj	_	_
4	was	_	VBD	VBD	_	5	cop	_	_
5	great	_	JJ	JJ	_	0	root	_	_
6	as	_	IN	IN	_	9	mark	_	_
7	was	_	VBD	VBD	_	9	cop	_	_
8	the	_	DT	DT	_	9	det	_	_
9	gym	_	NN	NN	_	5	dep	_	_
10	...	_	:	:	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	fully	_	RB	RB	_	3	advmod	_	_
3	enjoyed	_	VBD	VBD	_	0	root	_	_
4	the	_	DT	DT	_	5	det	_	_
5	views	_	NNS	NNS	_	3	dobj	_	_
6	from	_	IN	IN	_	3	prep	_	_
7	the	_	DT	DT	_	9	det	_	_
8	hotel	_	NN	NN	_	9	nn	_	_
9	room	_	NN	NN	_	6	pobj	_	_
10	...	_	:	:	_	0	erased	_	_
11	so	_	RB	RB	_	3	advmod	_	_
12	beautiful	_	JJ	JJ	_	3	parataxis	_	_
13	at	_	IN	IN	_	12	dep	_	_
14	night	_	NN	NN	_	13	pobj	_	_
15	...	_	:	:	_	0	erased	_	_
16	the	_	DT	DT	_	17	det	_	_
17	city	_	NN	NN	_	18	nsubj	_	_
18	scape	_	VB	VB	_	3	parataxis	_	_
19	.	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	11	cc	_	_
2	in	_	IN	IN	_	11	prep	_	_
3	the	_	DT	DT	_	4	det	_	_
4	morning	_	NN	NN	_	2	pobj	_	_
5	,	_	,	,	_	0	erased	_	_
6	the	_	DT	DT	_	9	det	_	_
7	free	_	JJ	JJ	_	9	amod	_	_
8	continental	_	JJ	JJ	_	9	amod	_	_
9	breakfast	_	NN	NN	_	11	nsubj	_	_
10	was	_	VBD	VBD	_	11	cop	_	_
11	delicious	_	JJ	JJ	_	0	root	_	_
12	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	5	nsubj	_	_
2	was	_	VBD	VBD	_	5	cop	_	_
3	a	_	DT	DT	_	5	det	_	_
4	wonderful	_	JJ	JJ	_	5	amod	_	_
5	experience	_	NN	NN	_	0	root	_	_
6	being	_	VBG	VBG	_	5	vmod	_	_
7	at	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	10	det	_	_
9	Amalfi	_	NNP	NNP	_	10	nn	_	_
10	Hotel	_	NNP	NNP	_	7	pobj	_	_
11	in	_	IN	IN	_	6	prep	_	_
12	Chicago	_	NNP	NNP	_	11	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	am	_	VBP	VBP	_	3	cop	_	_
3	eager	_	JJ	JJ	_	0	root	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	visit	_	VB	VB	_	3	xcomp	_	_
6	there	_	RB	RB	_	5	advmod	_	_
7	again	_	RB	RB	_	5	advmod	_	_
8	.	_	.	.	_	0	erased	_	_

