1	There	_	EX	EX	_	2	expl	_	_
2	are	_	VBP	VBP	_	0	root	_	_
3	tons	_	NNS	NNS	_	2	nsubj	_	_
4	of	_	IN	IN	_	3	prep	_	_
5	tours	_	NNS	NNS	_	4	pobj	_	_
6	like	_	IN	IN	_	5	prep	_	_
7	this	_	DT	DT	_	6	pobj	_	_
8	in	_	IN	IN	_	7	prep	_	_
9	Chicago	_	NNP	NNP	_	8	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	but	_	CC	CC	_	2	cc	_	_
12	his	_	PRP$	PRP$	_	13	poss	_	_
13	one	_	NN	NN	_	16	nsubj	_	_
14	is	_	VBZ	VBZ	_	16	cop	_	_
15	n't	_	RB	RB	_	16	neg	_	_
16	cheesy	_	JJ	JJ	_	2	conj	_	_
17	at	_	IN	IN	_	16	advmod	_	_
18	all	_	DT	DT	_	17	pobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	These	_	DT	DT	_	2	det	_	_
2	guys	_	NNS	NNS	_	4	nsubj	_	_
3	really	_	RB	RB	_	4	advmod	_	_
4	did	_	VBD	VBD	_	0	root	_	_
5	their	_	PRP$	PRP$	_	7	poss	_	_
6	background	_	NN	NN	_	7	nn	_	_
7	research	_	NN	NN	_	4	dobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	no	_	DT	DT	_	10	neg	_	_
10	costumes	_	NNS	NNS	_	7	conj	_	_
11	or	_	CC	CC	_	7	cc	_	_
12	corny	_	JJ	JJ	_	13	amod	_	_
13	reenactments	_	NNS	NNS	_	7	conj	_	_
14	here	_	RB	RB	_	4	advmod	_	_
15	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	spend	_	VBP	VBP	_	0	root	_	_
3	plenty	_	RB	RB	_	2	dobj	_	_
4	of	_	IN	IN	_	3	prep	_	_
5	time	_	NN	NN	_	4	pobj	_	_
6	at	_	IN	IN	_	2	prep	_	_
7	each	_	DT	DT	_	8	det	_	_
8	location	_	NN	NN	_	6	pobj	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	get	_	VB	VB	_	8	vmod	_	_
11	food	_	NN	NN	_	10	dobj	_	_
12	or	_	CC	CC	_	11	cc	_	_
13	drinks	_	NNS	NNS	_	11	conj	_	_
14	.	_	.	.	_	0	erased	_	_

1	Our	_	PRP$	PRP$	_	2	poss	_	_
2	guide	_	NN	NN	_	3	nsubj	_	_
3	had	_	VBD	VBD	_	0	root	_	_
4	a	_	DT	DT	_	5	det	_	_
5	mouth	_	NN	NN	_	3	dobj	_	_
6	like	_	IN	IN	_	5	prep	_	_
7	a	_	DT	DT	_	8	det	_	_
8	sailor	_	NN	NN	_	6	pobj	_	_
9	and	_	CC	CC	_	3	cc	_	_
10	was	_	VBD	VBD	_	12	cop	_	_
11	super	_	JJ	JJ	_	12	amod	_	_
12	opinionated	_	NN	NN	_	3	conj	_	_
13	,	_	,	,	_	0	erased	_	_
14	which	_	WDT	WDT	_	17	dobj	_	_
15	I	_	PRP	PRP	_	17	nsubj	_	_
16	personally	_	RB	RB	_	17	advmod	_	_
17	found	_	VBD	VBD	_	12	rcmod	_	_
18	hilarious	_	JJ	JJ	_	17	acomp	_	_
19	,	_	,	,	_	0	erased	_	_
20	but	_	CC	CC	_	3	cc	_	_
21	I	_	PRP	PRP	_	24	nsubj	_	_
22	would	_	MD	MD	_	24	aux	_	_
23	n't	_	RB	RB	_	24	neg	_	_
24	recommend	_	VB	VB	_	3	conj	_	_
25	this	_	DT	DT	_	26	det	_	_
26	tour	_	NN	NN	_	24	dobj	_	_
27	to	_	TO	TO	_	24	prep	_	_
28	the	_	DT	DT	_	30	det	_	_
29	very	_	RB	RB	_	30	advmod	_	_
30	religious	_	JJ	JJ	_	27	pobj	_	_
31	.	_	.	.	_	0	erased	_	_

1	Also	_	RB	RB	_	16	advmod	_	_
2	would	_	MD	MD	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	recommend	_	VB	VB	_	16	ccomp	_	_
5	it	_	PRP	PRP	_	4	dobj	_	_
6	if	_	IN	IN	_	11	mark	_	_
7	you	_	PRP	PRP	_	11	nsubj	_	_
8	are	_	VBP	VBP	_	11	cop	_	_
9	a	_	DT	DT	_	11	det	_	_
10	recovering	_	VBG	VBG	_	11	amod	_	_
11	alcoholic	_	JJ	JJ	_	4	dep	_	_
12	,	_	,	,	_	0	erased	_	_
13	but	_	CC	CC	_	11	cc	_	_
14	well	_	RB	RB	_	11	conj	_	_
15	,	_	,	,	_	0	erased	_	_
16	duh	_	VBP	VBP	_	0	root	_	_
17	!	_	.	.	_	0	erased	_	_

