1	The	_	DT	DT	_	5	det	_	_
2	most	_	RBS	RBS	_	3	advmod	_	_
3	expesive	_	JJ	JJ	_	5	amod	_	_
4	hotel	_	NN	NN	_	5	nn	_	_
5	I	_	NN	NN	_	7	nsubj	_	_
6	ever	_	RB	RB	_	7	advmod	_	_
7	stayed	_	VBD	VBD	_	0	root	_	_
8	at	_	IN	IN	_	9	dep	_	_
9	with	_	IN	IN	_	7	prep	_	_
10	luck	_	NN	NN	_	9	pobj	_	_
11	of	_	IN	IN	_	10	prep	_	_
12	personality	_	NN	NN	_	11	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	2	nsubj	_	_
2	need	_	VBP	VBP	_	0	root	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	hire	_	VB	VB	_	2	xcomp	_	_
5	new	_	JJ	JJ	_	6	amod	_	_
6	people	_	NNS	NNS	_	4	dobj	_	_
7	who	_	WP	WP	_	8	nsubj	_	_
8	cares	_	VBZ	VBZ	_	6	rcmod	_	_
9	about	_	IN	IN	_	8	prep	_	_
10	their	_	PRP$	PRP$	_	11	poss	_	_
11	guests	_	NNS	NNS	_	9	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	4	nsubj	_	_
2	do	_	VBP	VBP	_	4	dep	_	_
3	not	_	RB	RB	_	4	neg	_	_
4	smile	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	not	_	RB	RB	_	7	neg	_	_
7	willing	_	JJ	JJ	_	4	conj	_	_
8	to	_	TO	TO	_	9	aux	_	_
9	assist	_	VB	VB	_	7	xcomp	_	_
10	.	_	.	.	_	0	erased	_	_

