1	There	_	EX	EX	_	2	expl	_	_
2	is	_	VBZ	VBZ	_	0	root	_	_
3	nothing	_	NN	NN	_	2	nsubj	_	_
4	we	_	PRP	PRP	_	5	nsubj	_	_
5	love	_	VBP	VBP	_	3	rcmod	_	_
6	more	_	RBR	RBR	_	7	advmod	_	_
7	than	_	IN	IN	_	8	advmod	_	_
8	visiting	_	VBG	VBG	_	5	ccomp	_	_
9	new	_	JJ	JJ	_	10	amod	_	_
10	cities	_	NNS	NNS	_	8	dobj	_	_
11	and	_	CC	CC	_	8	cc	_	_
12	getting	_	VBG	VBG	_	8	conj	_	_
13	a	_	DT	DT	_	14	det	_	_
14	chance	_	NN	NN	_	12	dobj	_	_
15	to	_	TO	TO	_	16	aux	_	_
16	experience	_	VB	VB	_	14	vmod	_	_
17	the	_	DT	DT	_	18	det	_	_
18	cuisine	_	NN	NN	_	16	dobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	What	_	WP	WP	_	5	dobj	_	_
2	better	_	JJR	JJR	_	3	amod	_	_
3	way	_	NN	NN	_	5	nsubj	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	do	_	VB	VB	_	19	advcl	_	_
6	that	_	IN	IN	_	11	mark	_	_
7	than	_	IN	IN	_	11	mark	_	_
8	a	_	DT	DT	_	10	det	_	_
9	FOOD	_	NN	NN	_	10	nn	_	_
10	TOUR	_	NN	NN	_	11	nsubj	_	_
11	!!!	_	VBD	VBD	_	5	advcl	_	_
12	It	_	PRP	PRP	_	16	nsubj	_	_
13	was	_	VBD	VBD	_	16	cop	_	_
14	a	_	DT	DT	_	16	det	_	_
15	beautiful	_	JJ	JJ	_	16	amod	_	_
16	day	_	NN	NN	_	11	ccomp	_	_
17	,	_	,	,	_	0	erased	_	_
18	we	_	PRP	PRP	_	19	nsubj	_	_
19	had	_	VBD	VBD	_	0	root	_	_
20	an	_	DT	DT	_	22	det	_	_
21	amazing	_	JJ	JJ	_	22	amod	_	_
22	time	_	NN	NN	_	19	dobj	_	_
23	,	_	,	,	_	0	erased	_	_
24	and	_	CC	CC	_	19	cc	_	_
25	all	_	DT	DT	_	30	nsubj	_	_
26	of	_	IN	IN	_	25	prep	_	_
27	the	_	DT	DT	_	28	det	_	_
28	food	_	NN	NN	_	26	pobj	_	_
29	was	_	VBD	VBD	_	30	cop	_	_
30	phenomenal	_	JJ	JJ	_	19	conj	_	_
31	.	_	.	.	_	0	erased	_	_

1	Wait	_	VB	VB	_	0	root	_	_
2	until	_	IN	IN	_	4	mark	_	_
3	you	_	PRP	PRP	_	4	nsubj	_	_
4	try	_	VBP	VBP	_	1	advcl	_	_
5	the	_	DT	DT	_	6	det	_	_
6	doughnuts	_	NNS	NNS	_	4	dobj	_	_
7	.	_	.	.	_	0	erased	_	_

1	5	_	CD	CD	_	2	num	_	_
2	stars	_	NNS	NNS	_	3	npadvmod	_	_
3	!!!	_	JJ	JJ	_	0	root	_	_

