1	Oh	_	UH	UH	_	4	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	the	_	DT	DT	_	4	det	_	_
4	Drake	_	NNP	NNP	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	She	_	PRP	PRP	_	4	nsubj	_	_
2	's	_	VBZ	VBZ	_	4	cop	_	_
3	so	_	RB	RB	_	4	advmod	_	_
4	beautiful	_	JJ	JJ	_	0	root	_	_
5	!	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	4	det	_	_
4	meeting	_	NN	NN	_	2	dobj	_	_
5	in	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	8	det	_	_
7	executive	_	JJ	JJ	_	8	amod	_	_
8	boardroom	_	NN	NN	_	5	pobj	_	_
9	on	_	IN	IN	_	2	prep	_	_
10	the	_	DT	DT	_	12	det	_	_
11	10th	_	JJ	JJ	_	12	amod	_	_
12	floor	_	NN	NN	_	9	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	7	nsubj	_	_
2	was	_	VBD	VBD	_	7	cop	_	_
3	a	_	DT	DT	_	7	det	_	_
4	gorgeous	_	JJ	JJ	_	7	amod	_	_
5	,	_	,	,	_	0	erased	_	_
6	quiet	_	JJ	JJ	_	7	amod	_	_
7	room	_	NN	NN	_	0	root	_	_
8	with	_	IN	IN	_	7	prep	_	_
9	it	_	PRP	PRP	_	12	poss	_	_
10	's	_	POS	POS	_	9	possessive	_	_
11	own	_	JJ	JJ	_	12	amod	_	_
12	bathroom	_	NN	NN	_	8	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	3	nsubj	_	_
2	also	_	RB	RB	_	3	advmod	_	_
3	has	_	VBZ	VBZ	_	0	root	_	_
4	floor	_	NN	NN	_	3	dobj	_	_
5	to	_	TO	TO	_	4	prep	_	_
6	ceiling	_	NN	NN	_	7	nn	_	_
7	windows	_	NNS	NNS	_	5	pobj	_	_
8	overlooking	_	VBG	VBG	_	7	vmod	_	_
9	Lake	_	NNP	NNP	_	10	nn	_	_
10	Michigan	_	NNP	NNP	_	8	dobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	Man	_	RB	RB	_	7	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	it	_	PRP	PRP	_	7	nsubj	_	_
4	's	_	VBZ	VBZ	_	7	cop	_	_
5	a	_	DT	DT	_	7	det	_	_
6	great	_	JJ	JJ	_	7	amod	_	_
7	room	_	NN	NN	_	0	root	_	_
8	!	_	.	.	_	0	erased	_	_

1	Service	_	NNP	NNP	_	3	nsubj	_	_
2	was	_	VBD	VBD	_	3	cop	_	_
3	impeccable	_	JJ	JJ	_	0	root	_	_
4	.	_	.	.	_	0	erased	_	_

1	Christopher	_	NNP	NNP	_	2	nsubj	_	_
2	took	_	VBD	VBD	_	6	ccomp	_	_
3	our	_	PRP$	PRP$	_	4	poss	_	_
4	picture	_	NN	NN	_	2	dobj	_	_
5	,	_	,	,	_	0	erased	_	_
6	carried	_	VBD	VBD	_	0	root	_	_
7	our	_	PRP$	PRP$	_	8	poss	_	_
8	bags	_	NNS	NNS	_	6	nsubj	_	_
9	,	_	,	,	_	0	erased	_	_
10	etc.	_	FW	FW	_	8	appos	_	_
11	.	_	.	.	_	0	erased	_	_
12	.	_	.	.	_	0	erased	_	_
13	and	_	CC	CC	_	6	cc	_	_
14	then	_	RB	RB	_	15	advmod	_	_
15	refused	_	VBD	VBD	_	6	conj	_	_
16	our	_	PRP$	PRP$	_	18	poss	_	_
17	attempt	_	NN	NN	_	18	nn	_	_
18	tip	_	NN	NN	_	15	dobj	_	_
19	him	_	PRP	PRP	_	15	nsubj	_	_
20	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	5	nsubj	_	_
2	was	_	VBD	VBD	_	5	cop	_	_
3	a	_	DT	DT	_	5	det	_	_
4	great	_	JJ	JJ	_	5	amod	_	_
5	experience	_	NN	NN	_	0	root	_	_
6	.	_	.	.	_	0	erased	_	_

