1	My	_	PRP$	PRP$	_	4	poss	_	_
2	favorite	_	JJ	JJ	_	4	amod	_	_
3	Windy	_	NNP	NNP	_	4	nn	_	_
4	City	_	NNP	NNP	_	0	root	_	_
5	hotel	_	NN	NN	_	4	dep	_	_
6	.	_	.	.	_	0	erased	_	_

1	Gorgeous	_	JJ	JJ	_	2	amod	_	_
2	rooms	_	NNS	NNS	_	0	root	_	_
3	,	_	,	,	_	0	erased	_	_
4	nice	_	JJ	JJ	_	5	amod	_	_
5	views	_	NNS	NNS	_	2	appos	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	Michigan	_	NNP	NNP	_	8	nn	_	_
8	Avenue	_	NNP	NNP	_	6	pobj	_	_
9	and	_	CC	CC	_	8	cc	_	_
10	good	_	JJ	JJ	_	11	amod	_	_
11	housekeeping	_	NNS	NNS	_	8	conj	_	_
12	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	location	_	NN	NN	_	8	nsubj	_	_
3	on	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	6	det	_	_
5	Mag	_	NNP	NNP	_	6	nn	_	_
6	Mile	_	NNP	NNP	_	3	pobj	_	_
7	is	_	VBZ	VBZ	_	8	cop	_	_
8	fantastic	_	JJ	JJ	_	0	root	_	_
9	too	_	RB	RB	_	8	advmod	_	_
10	.	_	.	.	_	0	erased	_	_

