1	My	_	PRP$	PRP$	_	2	poss	_	_
2	buddy	_	NN	NN	_	17	dep	_	_
3	rented	_	:	:	_	2	punct	_	_
4	ChiTown	_	NNP	NNP	_	5	nn	_	_
5	PartyBus	_	NNP	NNP	_	2	dep	_	_
6	for	_	IN	IN	_	5	prep	_	_
7	a	_	DT	DT	_	9	det	_	_
8	pub	_	NN	NN	_	9	nn	_	_
9	crawl	_	NN	NN	_	6	pobj	_	_
10	...	_	:	:	_	0	erased	_	_
11	.	_	.	.	_	0	erased	_	_
12	.	_	.	.	_	0	erased	_	_
13	This	_	DT	DT	_	17	nsubj	_	_
14	is	_	VBZ	VBZ	_	17	cop	_	_
15	the	_	DT	DT	_	17	det	_	_
16	2nd	_	JJ	JJ	_	17	amod	_	_
17	time	_	NN	NN	_	0	root	_	_
18	I	_	PRP	PRP	_	22	nsubj	_	_
19	was	_	VBD	VBD	_	22	cop	_	_
20	on	_	RB	RB	_	21	advmod	_	_
21	there	_	RB	RB	_	22	advmod	_	_
22	buses	_	NNS	NNS	_	17	rcmod	_	_
23	and	_	CC	CC	_	17	cc	_	_
24	these	_	DT	DT	_	25	det	_	_
25	guys	_	NNS	NNS	_	26	nsubj	_	_
26	know	_	VBP	VBP	_	17	conj	_	_
27	how	_	WRB	WRB	_	29	advmod	_	_
28	to	_	TO	TO	_	29	aux	_	_
29	do	_	VB	VB	_	26	ccomp	_	_
30	it	_	PRP	PRP	_	29	iobj	_	_
31	!!!!	_	NNP	NNP	_	32	nn	_	_
32	Stripper-poles	_	NNP	NNP	_	29	dobj	_	_
33	,	_	,	,	_	0	erased	_	_
34	disco	_	NN	NN	_	35	nn	_	_
35	lights	_	NNS	NNS	_	32	conj	_	_
36	,	_	,	,	_	0	erased	_	_
37	bar	_	NN	NN	_	32	conj	_	_
38	,	_	,	,	_	0	erased	_	_
39	beer	_	NN	NN	_	40	nn	_	_
40	bongs	_	NNS	NNS	_	32	conj	_	_
41	and	_	CC	CC	_	32	cc	_	_
42	thumping	_	JJ	JJ	_	43	amod	_	_
43	bass	_	NN	NN	_	32	conj	_	_
44	...	_	:	:	_	0	erased	_	_
45	Woot	_	NNP	NNP	_	46	nn	_	_
46	Woot	_	NNP	NNP	_	17	dep	_	_
47	!	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	14	prep	_	_
2	your	_	PRP	PRP	_	3	nsubj	_	_
3	looking	_	VBG	VBG	_	1	pcomp	_	_
4	for	_	IN	IN	_	3	prep	_	_
5	those	_	DT	DT	_	8	det	_	_
6	$	_	$	$	_	8	amod	_	_
7	uper	_	JJ	JJ	_	6	dep	_	_
8	duper	_	NN	NN	_	4	pobj	_	_
9	fancy	_	JJ	JJ	_	12	amod	_	_
10	high-end	_	JJ	JJ	_	12	amod	_	_
11	party	_	NN	NN	_	12	nn	_	_
12	buses	_	NNS	NNS	_	8	dep	_	_
13	...	_	:	:	_	0	erased	_	_
14	go	_	VBP	VBP	_	0	root	_	_
15	somewhere	_	RB	RB	_	16	advmod	_	_
16	else	_	RB	RB	_	14	advmod	_	_
17	.	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	3	mark	_	_
2	your	_	PRP	PRP	_	3	nsubj	_	_
3	looking	_	VBG	VBG	_	10	advcl	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	Party	_	NNP	NNP	_	7	nn	_	_
6	Your	_	NNP	NNP	_	7	nn	_	_
7	Butt-Off	_	NNP	NNP	_	4	pobj	_	_
8	...	_	:	:	_	0	erased	_	_
9	CALL	_	NNP	NNP	_	10	nsubj	_	_
10	THEM	_	VBZ	VBZ	_	0	root	_	_
11	!	_	.	.	_	0	erased	_	_

