1	Two	_	CD	CD	_	3	num	_	_
2	other	_	JJ	JJ	_	3	amod	_	_
3	friends	_	NNS	NNS	_	6	nsubj	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	myself	_	PRP	PRP	_	3	conj	_	_
6	did	_	VBD	VBD	_	0	root	_	_
7	the	_	DT	DT	_	16	det	_	_
8	``	_	``	``	_	0	erased	_	_
9	A	_	DT	DT	_	10	det	_	_
10	Sailor	_	NNP	NNP	_	12	poss	_	_
11	's	_	POS	POS	_	10	possessive	_	_
12	Life	_	NN	NN	_	13	npadvmod	_	_
13	For	_	IN	IN	_	14	advmod	_	_
14	Me	_	VBG	VBG	_	16	dep	_	_
15	''	_	''	''	_	0	erased	_	_
16	trip	_	NN	NN	_	6	dobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	Beautiful	_	VB	VB	_	0	root	_	_
2	boat	_	NN	NN	_	1	dobj	_	_
3	.	_	.	.	_	0	erased	_	_

1	Got	_	VBN	VBN	_	0	root	_	_
2	a	_	DT	DT	_	3	det	_	_
3	chance	_	NN	NN	_	1	dobj	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	see	_	VB	VB	_	3	vmod	_	_
6	the	_	DT	DT	_	9	det	_	_
7	gorgeous	_	JJ	JJ	_	9	amod	_	_
8	Chicago	_	NNP	NNP	_	9	nn	_	_
9	skyline	_	NN	NN	_	5	dobj	_	_
10	from	_	IN	IN	_	5	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	perspective	_	NN	NN	_	10	pobj	_	_
13	of	_	IN	IN	_	12	prep	_	_
14	being	_	VBG	VBG	_	15	cop	_	_
15	out	_	IN	IN	_	13	pcomp	_	_
16	on	_	IN	IN	_	15	prep	_	_
17	the	_	DT	DT	_	18	det	_	_
18	lake	_	NN	NN	_	16	pobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	Erin	_	NNP	NNP	_	3	nsubj	_	_
2	was	_	VBD	VBD	_	3	cop	_	_
3	terrific	_	JJ	JJ	_	0	root	_	_
4	!	_	.	.	_	0	erased	_	_

1	Had	_	VBG	VBG	_	2	amod	_	_
2	lots	_	NNS	NNS	_	0	root	_	_
3	of	_	IN	IN	_	2	prep	_	_
4	info	_	NN	NN	_	3	pobj	_	_
5	on	_	IN	IN	_	2	prep	_	_
6	what	_	WP	WP	_	9	dobj	_	_
7	it	_	PRP	PRP	_	9	nsubj	_	_
8	was	_	VBD	VBD	_	9	cop	_	_
9	like	_	JJ	JJ	_	5	pcomp	_	_
10	to	_	TO	TO	_	12	aux	_	_
11	be	_	VB	VB	_	12	aux	_	_
12	working	_	VBG	VBG	_	2	vmod	_	_
13	on	_	IN	IN	_	12	prep	_	_
14	a	_	DT	DT	_	31	det	_	_
15	ship	_	NN	NN	_	31	dep	_	_
16	out	_	RB	RB	_	17	advmod	_	_
17	at	_	IN	IN	_	15	prep	_	_
18	sea	_	NN	NN	_	17	pobj	_	_
19	and	_	CC	CC	_	17	cc	_	_
20	on	_	IN	IN	_	17	conj	_	_
21	a	_	DT	DT	_	22	det	_	_
22	ship	_	NN	NN	_	20	pobj	_	_
23	on	_	IN	IN	_	15	prep	_	_
24	the	_	DT	DT	_	26	det	_	_
25	Great	_	NNP	NNP	_	26	nn	_	_
26	Lakes	_	NNP	NNP	_	23	pobj	_	_
27	.	_	.	.	_	0	erased	_	_
28	.	_	.	.	_	0	erased	_	_
29	Very	_	NN	NN	_	31	nn	_	_
30	fun	_	NN	NN	_	31	nn	_	_
31	personality	_	NN	NN	_	13	pobj	_	_
32	!	_	.	.	_	0	erased	_	_

1	Thought	_	RB	RB	_	3	advmod	_	_
2	they	_	PRP	PRP	_	3	nsubj	_	_
3	did	_	VBD	VBD	_	0	root	_	_
4	a	_	DT	DT	_	6	det	_	_
5	great	_	JJ	JJ	_	6	amod	_	_
6	job	_	NN	NN	_	3	dobj	_	_
7	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	root	_	_
3	fun	_	NN	NN	_	2	dobj	_	_
4	!	_	.	.	_	0	erased	_	_

