1	My	_	PRP$	PRP$	_	2	poss	_	_
2	wife	_	NN	NN	_	7	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	had	_	VBD	VBD	_	7	aux	_	_
6	last	_	RB	RB	_	7	advmod	_	_
7	taken	_	VBN	VBN	_	0	root	_	_
8	a	_	DT	DT	_	10	det	_	_
9	carriage	_	NN	NN	_	10	nn	_	_
10	ride	_	NN	NN	_	7	dobj	_	_
11	in	_	IN	IN	_	10	prep	_	_
12	Montreal	_	NNP	NNP	_	11	pobj	_	_
13	about	_	RB	RB	_	14	quantmod	_	_
14	3	_	CD	CD	_	15	num	_	_
15	years	_	NNS	NNS	_	16	npadvmod	_	_
16	ago	_	RB	RB	_	7	advmod	_	_
17	and	_	CC	CC	_	7	cc	_	_
18	thought	_	VBD	VBD	_	7	conj	_	_
19	we	_	PRP	PRP	_	21	nsubj	_	_
20	would	_	MD	MD	_	21	aux	_	_
21	try	_	VB	VB	_	18	ccomp	_	_
22	again	_	RB	RB	_	21	advmod	_	_
23	.	_	.	.	_	0	erased	_	_

1	Whether	_	IN	IN	_	2	mark	_	_
2	Montreal	_	NNP	NNP	_	9	advcl	_	_
3	or	_	CC	CC	_	2	cc	_	_
4	Chicago	_	NNP	NNP	_	2	conj	_	_
5	,	_	,	,	_	0	erased	_	_
6	the	_	DT	DT	_	7	det	_	_
7	experience	_	NN	NN	_	9	nsubj	_	_
8	is	_	VBZ	VBZ	_	9	cop	_	_
9	fun	_	JJ	JJ	_	0	root	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	romantic	_	JJ	JJ	_	9	conj	_	_
12	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	drivers	_	NNS	NNS	_	3	nsubj	_	_
3	have	_	VBP	VBP	_	0	root	_	_
4	to	_	TO	TO	_	6	aux	_	_
5	be	_	VB	VB	_	6	cop	_	_
6	animated	_	JJ	JJ	_	3	xcomp	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	have	_	VB	VB	_	6	conj	_	_
9	a	_	DT	DT	_	11	det	_	_
10	good	_	JJ	JJ	_	11	amod	_	_
11	yarn	_	NN	NN	_	8	dobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	Both	_	PDT	PDT	_	4	predet	_	_
2	the	_	DT	DT	_	4	det	_	_
3	French	_	JJ	JJ	_	4	amod	_	_
4	Canadian	_	NN	NN	_	8	dep	_	_
5	and	_	CC	CC	_	8	cc	_	_
6	the	_	DT	DT	_	7	det	_	_
7	guy	_	NN	NN	_	8	conj	_	_
8	Don	_	NNP	NNP	_	11	nsubj	_	_
9	in	_	IN	IN	_	8	prep	_	_
10	Chicago	_	NNP	NNP	_	9	pobj	_	_
11	met	_	VBD	VBD	_	0	root	_	_
12	that	_	DT	DT	_	13	det	_	_
13	criteria	_	NNS	NNS	_	11	dobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	4	nsubj	_	_
2	's	_	VBZ	VBZ	_	4	cop	_	_
3	more	_	JJR	JJR	_	4	amod	_	_
4	fun	_	NN	NN	_	0	root	_	_
5	when	_	WRB	WRB	_	7	advmod	_	_
6	you	_	PRP	PRP	_	7	nsubj	_	_
7	learn	_	VBP	VBP	_	4	rcmod	_	_
8	little	_	JJ	JJ	_	9	amod	_	_
9	tidbits	_	NNS	NNS	_	7	dobj	_	_
10	about	_	IN	IN	_	7	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	areas	_	NNS	NNS	_	10	pobj	_	_
13	you	_	PRP	PRP	_	14	nsubj	_	_
14	cover	_	VBP	VBP	_	12	rcmod	_	_
15	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	read	_	VBD	VBD	_	13	ccomp	_	_
3	here	_	RB	RB	_	2	advmod	_	_
4	how	_	WRB	WRB	_	7	advmod	_	_
5	some	_	DT	DT	_	6	det	_	_
6	people	_	NNS	NNS	_	7	nsubj	_	_
7	criticize	_	VBP	VBP	_	2	ccomp	_	_
8	the	_	DT	DT	_	9	det	_	_
9	horses	_	NNS	NNS	_	7	dobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	I	_	PRP	PRP	_	13	nsubjpass	_	_
12	am	_	VBP	VBP	_	13	auxpass	_	_
13	astonished	_	VBN	VBN	_	0	root	_	_
14	that	_	IN	IN	_	17	mark	_	_
15	they	_	PRP	PRP	_	17	nsubj	_	_
16	would	_	MD	MD	_	17	aux	_	_
17	dislike	_	VB	VB	_	13	ccomp	_	_
18	animals	_	NNS	NNS	_	17	dobj	_	_
19	and	_	CC	CC	_	17	cc	_	_
20	take	_	VB	VB	_	17	conj	_	_
21	these	_	DT	DT	_	22	det	_	_
22	rides	_	NNS	NNS	_	20	dobj	_	_
23	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	is	_	VBZ	VBZ	_	0	root	_	_
3	no	_	DT	DT	_	4	neg	_	_
4	accounting	_	NN	NN	_	2	nsubj	_	_
5	for	_	IN	IN	_	4	prep	_	_
6	taste	_	NN	NN	_	5	pobj	_	_
7	.	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	3	mark	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	like	_	VBP	VBP	_	13	advcl	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	see	_	VB	VB	_	3	xcomp	_	_
6	a	_	DT	DT	_	7	det	_	_
7	city	_	NN	NN	_	5	dobj	_	_
8	from	_	IN	IN	_	5	prep	_	_
9	a	_	DT	DT	_	11	det	_	_
10	different	_	JJ	JJ	_	11	amod	_	_
11	view	_	NN	NN	_	8	pobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	try	_	VB	VB	_	0	root	_	_
14	a	_	DT	DT	_	16	det	_	_
15	horse	_	NN	NN	_	16	nn	_	_
16	carriage	_	NN	NN	_	13	dobj	_	_
17	and	_	CC	CC	_	13	cc	_	_
18	find	_	VB	VB	_	13	conj	_	_
19	a	_	DT	DT	_	20	det	_	_
20	driver	_	NN	NN	_	18	dobj	_	_
21	who	_	WP	WP	_	24	nsubj	_	_
22	will	_	MD	MD	_	24	aux	_	_
23	be	_	VB	VB	_	24	cop	_	_
24	edgy	_	JJ	JJ	_	20	rcmod	_	_
25	and	_	CC	CC	_	24	cc	_	_
26	entertaining	_	JJ	JJ	_	24	conj	_	_
27	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	2	nsubj	_	_
2	's	_	VBZ	VBZ	_	0	root	_	_
3	worth	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	money	_	NN	NN	_	3	pobj	_	_
6	.	_	.	.	_	0	erased	_	_

