1	Stayed	_	VBN	VBN	_	13	vmod	_	_
2	for	_	IN	IN	_	1	prep	_	_
3	2	_	CD	CD	_	4	num	_	_
4	nights	_	NNS	NNS	_	2	pobj	_	_
5	at	_	IN	IN	_	4	prep	_	_
6	The	_	DT	DT	_	7	det	_	_
7	James	_	NNP	NNP	_	5	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	wonderful	_	JJ	JJ	_	10	amod	_	_
10	location	_	NN	NN	_	13	nsubj	_	_
11	2	_	CD	CD	_	12	num	_	_
12	mins	_	NNS	NNS	_	10	dep	_	_
13	walk	_	VBP	VBP	_	0	root	_	_
14	to	_	TO	TO	_	13	prep	_	_
15	Michigan	_	NNP	NNP	_	16	nn	_	_
16	Avenue	_	NNP	NNP	_	14	pobj	_	_
17	with	_	IN	IN	_	16	prep	_	_
18	all	_	PDT	PDT	_	20	predet	_	_
19	the	_	DT	DT	_	20	det	_	_
20	shops	_	NNS	NNS	_	17	pobj	_	_
21	.	_	.	.	_	0	erased	_	_

1	Staff	_	NNP	NNP	_	6	nsubj	_	_
2	here	_	RB	RB	_	6	advmod	_	_
3	were	_	VBD	VBD	_	6	cop	_	_
4	all	_	RB	RB	_	6	advmod	_	_
5	incredibly	_	RB	RB	_	6	advmod	_	_
6	helpful	_	JJ	JJ	_	0	root	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	genuinely	_	RB	RB	_	9	advmod	_	_
9	friendly	_	JJ	JJ	_	6	conj	_	_
10	.	_	.	.	_	0	erased	_	_

1	Nothing	_	NN	NN	_	5	nsubj	_	_
2	was	_	VBD	VBD	_	5	cop	_	_
3	too	_	RB	RB	_	4	advmod	_	_
4	much	_	JJ	JJ	_	5	amod	_	_
5	trouble	_	NN	NN	_	0	root	_	_
6	.	_	.	.	_	0	erased	_	_

1	Rooms	_	NNS	NNS	_	3	nsubj	_	_
2	are	_	VBP	VBP	_	3	cop	_	_
3	huge	_	JJ	JJ	_	0	root	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	the	_	DT	DT	_	6	det	_	_
6	beds	_	JJ	JJ	_	12	dep	_	_
7	the	_	DT	DT	_	9	det	_	_
8	most	_	RBS	RBS	_	9	advmod	_	_
9	comfortable	_	JJ	JJ	_	12	dep	_	_
10	I	_	PRP	PRP	_	12	nsubj	_	_
11	have	_	VBP	VBP	_	12	aux	_	_
12	slept	_	VBD	VBD	_	3	conj	_	_
13	in	_	RP	RP	_	12	prt	_	_
14	.	_	.	.	_	0	erased	_	_

