1	Our	_	PRP$	PRP$	_	2	poss	_	_
2	stay	_	NN	NN	_	9	nsubj	_	_
3	at	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	6	det	_	_
5	Hilton	_	NNP	NNP	_	6	nn	_	_
6	Chicago	_	NNP	NNP	_	3	pobj	_	_
7	was	_	VBD	VBD	_	9	cop	_	_
8	a	_	DT	DT	_	9	det	_	_
9	pleasure	_	NN	NN	_	0	root	_	_
10	from	_	IN	IN	_	9	prep	_	_
11	arrival	_	NN	NN	_	10	pobj	_	_
12	to	_	TO	TO	_	9	prep	_	_
13	departure	_	NN	NN	_	12	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	super	_	RB	RB	_	5	advmod	_	_
5	friendly	_	JJ	JJ	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	helpful	_	JJ	JJ	_	5	conj	_	_
8	,	_	,	,	_	0	erased	_	_
9	the	_	DT	DT	_	10	det	_	_
10	room	_	NN	NN	_	13	nsubj	_	_
11	was	_	VBD	VBD	_	13	cop	_	_
12	very	_	RB	RB	_	13	advmod	_	_
13	clean	_	JJ	JJ	_	5	conj	_	_
14	and	_	CC	CC	_	5	cc	_	_
15	the	_	DT	DT	_	16	det	_	_
16	location	_	NN	NN	_	18	nsubj	_	_
17	was	_	VBD	VBD	_	18	cop	_	_
18	fantastic	_	JJ	JJ	_	5	conj	_	_
19	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	walking	_	VBG	VBG	_	3	amod	_	_
3	track	_	NN	NN	_	8	nsubj	_	_
4	was	_	VBD	VBD	_	8	cop	_	_
5	an	_	DT	DT	_	8	det	_	_
6	especially	_	RB	RB	_	7	advmod	_	_
7	nice	_	JJ	JJ	_	8	amod	_	_
8	touch	_	NN	NN	_	0	root	_	_
9	.	_	.	.	_	0	erased	_	_

1	Highly	_	NNP	NNP	_	2	nsubj	_	_
2	recommended	_	VBD	VBD	_	0	root	_	_
3	!	_	.	.	_	0	erased	_	_

