1	My	_	PRP$	PRP$	_	2	poss	_	_
2	company	_	NN	NN	_	3	nsubj	_	_
3	switched	_	VBD	VBD	_	0	root	_	_
4	from	_	IN	IN	_	3	prep	_	_
5	one	_	CD	CD	_	4	pobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	the	_	DT	DT	_	12	det	_	_
8	`	_	``	``	_	0	erased	_	_
9	big	_	JJ	JJ	_	12	amod	_	_
10	'	_	''	''	_	0	erased	_	_
11	name	_	NN	NN	_	12	nn	_	_
12	expeditors	_	NNS	NNS	_	6	pobj	_	_
13	to	_	TO	TO	_	12	prep	_	_
14	A	_	DT	DT	_	15	det	_	_
15	Briggs	_	NNP	NNP	_	13	pobj	_	_
16	about	_	RB	RB	_	17	quantmod	_	_
17	3	_	CD	CD	_	18	num	_	_
18	months	_	NNS	NNS	_	19	npadvmod	_	_
19	ago	_	RB	RB	_	3	advmod	_	_
20	and	_	CC	CC	_	3	cc	_	_
21	I	_	PRP	PRP	_	24	nsubj	_	_
22	can	_	MD	MD	_	24	aux	_	_
23	not	_	RB	RB	_	24	neg	_	_
24	say	_	VB	VB	_	3	conj	_	_
25	enough	_	RB	RB	_	26	advmod	_	_
26	good	_	JJ	JJ	_	27	amod	_	_
27	things	_	NNS	NNS	_	24	dobj	_	_
28	about	_	IN	IN	_	24	prep	_	_
29	this	_	DT	DT	_	30	det	_	_
30	company	_	NN	NN	_	28	pobj	_	_
31	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	use	_	VBP	VBP	_	0	root	_	_
3	A	_	DT	DT	_	5	det	_	_
4	Briggs	_	NNP	NNP	_	5	nn	_	_
5	offices	_	NNS	NNS	_	2	dobj	_	_
6	all	_	DT	DT	_	7	dep	_	_
7	over	_	IN	IN	_	2	prep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	US	_	NNP	NNP	_	7	pobj	_	_
10	and	_	CC	CC	_	2	cc	_	_
11	everyone	_	NN	NN	_	18	nsubj	_	_
12	I	_	PRP	PRP	_	14	nsubj	_	_
13	have	_	VBP	VBP	_	14	aux	_	_
14	worked	_	VBN	VBN	_	11	rcmod	_	_
15	with	_	IN	IN	_	14	prep	_	_
16	has	_	VBZ	VBZ	_	18	aux	_	_
17	been	_	VBN	VBN	_	18	cop	_	_
18	knowledgeable	_	JJ	JJ	_	2	conj	_	_
19	,	_	,	,	_	0	erased	_	_
20	helpful	_	JJ	JJ	_	18	conj	_	_
21	,	_	,	,	_	0	erased	_	_
22	committed	_	JJ	JJ	_	18	conj	_	_
23	to	_	TO	TO	_	22	prep	_	_
24	quality	_	NN	NN	_	23	pobj	_	_
25	and	_	CC	CC	_	24	cc	_	_
26	service	_	NN	NN	_	24	conj	_	_
27	and	_	CC	CC	_	18	cc	_	_
28	responsive	_	JJ	JJ	_	18	conj	_	_
29	to	_	TO	TO	_	28	prep	_	_
30	phone	_	NN	NN	_	31	nn	_	_
31	calls	_	NNS	NNS	_	29	pobj	_	_
32	and	_	CC	CC	_	31	cc	_	_
33	emails	_	NNS	NNS	_	31	conj	_	_
34	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	love	_	VBP	VBP	_	0	root	_	_
3	doing	_	VBG	VBG	_	2	xcomp	_	_
4	business	_	NN	NN	_	3	dobj	_	_
5	with	_	IN	IN	_	3	prep	_	_
6	A	_	DT	DT	_	7	det	_	_
7	Briggs	_	NNP	NNP	_	5	pobj	_	_
8	!	_	.	.	_	0	erased	_	_

