1	My	_	PRP$	PRP$	_	3	poss	_	_
2	favorite	_	JJ	JJ	_	3	amod	_	_
3	thing	_	NN	NN	_	5	nsubj	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	do	_	VB	VB	_	0	root	_	_
6	in	_	IN	IN	_	5	prep	_	_
7	Chicago	_	NNP	NNP	_	6	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	tour	_	NN	NN	_	4	nsubj	_	_
3	never	_	RB	RB	_	4	neg	_	_
4	disappoints	_	VBZ	VBZ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	guides	_	NNS	NNS	_	5	nsubj	_	_
3	are	_	VBP	VBP	_	5	cop	_	_
4	so	_	RB	RB	_	5	advmod	_	_
5	knowledgeable	_	JJ	JJ	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	chock	_	VBP	VBP	_	5	conj	_	_
8	full	_	JJ	JJ	_	10	amod	_	_
9	a	_	DT	DT	_	10	det	_	_
10	tidbits	_	NN	NN	_	7	dobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	Be	_	VB	VB	_	2	cop	_	_
2	sure	_	JJ	JJ	_	0	root	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	go	_	VB	VB	_	2	xcomp	_	_
5	to	_	TO	TO	_	4	prep	_	_
6	the	_	DT	DT	_	8	det	_	_
7	gift	_	NN	NN	_	8	nn	_	_
8	shop	_	NN	NN	_	5	pobj	_	_
9	before	_	IN	IN	_	4	prep	_	_
10	,	_	,	,	_	0	erased	_	_
11	after	_	IN	IN	_	9	dep	_	_
12	,	_	,	,	_	0	erased	_	_
13	or	_	CC	CC	_	2	cc	_	_
14	anytime	_	VB	VB	_	2	conj	_	_
15	you	_	PRP	PRP	_	18	nsubj	_	_
16	do	_	VBP	VBP	_	18	aux	_	_
17	n't	_	RB	RB	_	18	neg	_	_
18	take	_	VB	VB	_	14	ccomp	_	_
19	the	_	DT	DT	_	20	det	_	_
20	tour	_	NN	NN	_	18	dobj	_	_
21	,	_	,	,	_	0	erased	_	_
22	because	_	IN	IN	_	28	mark	_	_
23	it	_	PRP	PRP	_	28	nsubj	_	_
24	is	_	VBZ	VBZ	_	28	cop	_	_
25	a	_	DT	DT	_	28	det	_	_
26	perfect	_	JJ	JJ	_	28	amod	_	_
27	non-touristy	_	JJ	JJ	_	28	amod	_	_
28	spot	_	NN	NN	_	18	advcl	_	_
29	to	_	TO	TO	_	30	aux	_	_
30	find	_	VB	VB	_	28	vmod	_	_
31	Chicago	_	NNP	NNP	_	32	nn	_	_
32	gems	_	NNS	NNS	_	30	dobj	_	_
33	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	4	nsubj	_	_
2	wo	_	MD	MD	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	find	_	VB	VB	_	0	root	_	_
5	gifts	_	NNS	NNS	_	4	dobj	_	_
6	like	_	IN	IN	_	5	prep	_	_
7	this	_	DT	DT	_	10	det	_	_
8	many	_	JJ	JJ	_	10	amod	_	_
9	other	_	JJ	JJ	_	10	amod	_	_
10	places	_	NNS	NNS	_	6	pobj	_	_
11	in	_	IN	IN	_	4	prep	_	_
12	the	_	DT	DT	_	13	det	_	_
13	city	_	NN	NN	_	11	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	Go	_	VB	VB	_	0	root	_	_
2	on	_	IN	IN	_	1	prep	_	_
3	this	_	DT	DT	_	2	pobj	_	_
4	versus	_	IN	IN	_	3	prep	_	_
5	any	_	DT	DT	_	8	det	_	_
6	other	_	JJ	JJ	_	8	amod	_	_
7	boat	_	NN	NN	_	8	nn	_	_
8	tour	_	NN	NN	_	4	pobj	_	_
9	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	others	_	NNS	NNS	_	5	nsubj	_	_
3	are	_	VBP	VBP	_	5	cop	_	_
4	cheesy	_	RB	RB	_	5	advmod	_	_
5	imitations	_	JJ	JJ	_	0	root	_	_
6	.	_	.	.	_	0	erased	_	_

