1	Great	_	JJ	JJ	_	3	amod	_	_
2	photo	_	NN	NN	_	3	nn	_	_
3	ops	_	NN	NN	_	0	root	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	a	_	DT	DT	_	6	det	_	_
6	chance	_	NN	NN	_	3	conj	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	learn	_	VB	VB	_	3	vmod	_	_
9	not	_	RB	RB	_	8	dep	_	_
10	just	_	RB	RB	_	9	dep	_	_
11	about	_	IN	IN	_	10	prep	_	_
12	Wrigley	_	NNP	NNP	_	13	nn	_	_
13	history	_	NN	NN	_	11	pobj	_	_
14	,	_	,	,	_	0	erased	_	_
15	but	_	CC	CC	_	9	cc	_	_
16	a	_	DT	DT	_	17	det	_	_
17	lot	_	NN	NN	_	9	conj	_	_
18	of	_	IN	IN	_	17	prep	_	_
19	baseball	_	NN	NN	_	20	nn	_	_
20	history	_	NN	NN	_	18	pobj	_	_
21	.	_	.	.	_	0	erased	_	_

