1	Our	_	PRP$	PRP$	_	4	poss	_	_
2	tour	_	NN	NN	_	4	nn	_	_
3	guide	_	NN	NN	_	4	nn	_	_
4	Jen	_	NN	NN	_	7	nsubj	_	_
5	was	_	VBD	VBD	_	7	cop	_	_
6	super	_	JJ	JJ	_	7	amod	_	_
7	personable	_	NN	NN	_	0	root	_	_
8	,	_	,	,	_	0	erased	_	_
9	down-to-earth	_	JJ	JJ	_	7	amod	_	_
10	,	_	,	,	_	0	erased	_	_
11	and	_	CC	CC	_	7	cc	_	_
12	chock	_	NN	NN	_	7	conj	_	_
13	full	_	JJ	JJ	_	14	dep	_	_
14	of	_	IN	IN	_	12	prep	_	_
15	interesting	_	JJ	JJ	_	17	amod	_	_
16	beer	_	NN	NN	_	17	nn	_	_
17	facts	_	NNS	NNS	_	14	pobj	_	_
18	and	_	CC	CC	_	17	cc	_	_
19	history	_	NN	NN	_	17	conj	_	_
20	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	would	_	MD	MD	_	4	aux	_	_
3	highly	_	RB	RB	_	4	advmod	_	_
4	recommend	_	VB	VB	_	0	root	_	_
5	this	_	DT	DT	_	6	det	_	_
6	tour	_	NN	NN	_	4	dobj	_	_
7	for	_	IN	IN	_	6	prep	_	_
8	any	_	DT	DT	_	9	det	_	_
9	beer-lover	_	NN	NN	_	7	pobj	_	_
10	!	_	.	.	_	0	erased	_	_

1	Whether	_	IN	IN	_	8	mark	_	_
2	you	_	PRP	PRP	_	8	nsubj	_	_
3	are	_	VBP	VBP	_	8	cop	_	_
4	a	_	DT	DT	_	8	det	_	_
5	tourist	_	NN	NN	_	8	nn	_	_
6	or	_	CC	CC	_	5	cc	_	_
7	city	_	NN	NN	_	5	conj	_	_
8	resident	_	NN	NN	_	11	advcl	_	_
9	you	_	PRP	PRP	_	11	nsubj	_	_
10	will	_	MD	MD	_	11	aux	_	_
11	learn	_	VB	VB	_	0	root	_	_
12	a	_	DT	DT	_	13	det	_	_
13	lot	_	NN	NN	_	11	dobj	_	_
14	and	_	CC	CC	_	11	cc	_	_
15	have	_	VB	VB	_	11	conj	_	_
16	a	_	DT	DT	_	18	det	_	_
17	great	_	JJ	JJ	_	18	amod	_	_
18	time	_	NN	NN	_	15	dobj	_	_
19	!	_	.	.	_	0	erased	_	_

