1	Okay	_	UH	UH	_	7	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	as	_	RB	RB	_	7	dep	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	my	_	PRP$	PRP$	_	6	poss	_	_
6	rating	_	NN	NN	_	4	pobj	_	_
7	it	_	PRP	PRP	_	9	dep	_	_
8	5	_	CD	CD	_	9	nsubj	_	_
9	stars	_	VBZ	VBZ	_	0	root	_	_
10	:	_	:	:	_	0	erased	_	_
11	For	_	IN	IN	_	41	dep	_	_
12	what	_	WP	WP	_	14	dobj	_	_
13	it	_	PRP	PRP	_	14	nsubj	_	_
14	is	_	VBZ	VBZ	_	11	pcomp	_	_
15	,	_	,	,	_	0	erased	_	_
16	a	_	DT	DT	_	17	det	_	_
17	motel	_	NN	NN	_	29	nsubj	_	_
18	in	_	IN	IN	_	17	prep	_	_
19	a	_	DT	DT	_	23	det	_	_
20	high	_	JJ	JJ	_	23	amod	_	_
21	density	_	NN	NN	_	23	nn	_	_
22	urban	_	JJ	JJ	_	23	amod	_	_
23	area	_	NN	NN	_	18	pobj	_	_
24	that	_	WDT	WDT	_	26	nsubj	_	_
25	typically	_	RB	RB	_	26	advmod	_	_
26	charges	_	VBZ	VBZ	_	17	rcmod	_	_
27	$	_	$	$	_	26	dobj	_	_
28	100	_	CD	CD	_	27	num	_	_
29	's	_	VBZ	VBZ	_	14	ccomp	_	_
30	of	_	IN	IN	_	29	prep	_	_
31	dollars	_	NNS	NNS	_	30	pobj	_	_
32	for	_	IN	IN	_	31	prep	_	_
33	a	_	DT	DT	_	34	det	_	_
34	place	_	NN	NN	_	32	pobj	_	_
35	to	_	TO	TO	_	36	aux	_	_
36	sleep	_	VB	VB	_	29	xcomp	_	_
37	,	_	,	,	_	0	erased	_	_
38	you	_	PRP	PRP	_	41	nsubj	_	_
39	ca	_	MD	MD	_	41	aux	_	_
40	n't	_	RB	RB	_	41	neg	_	_
41	beat	_	VB	VB	_	9	parataxis	_	_
42	this	_	DT	DT	_	43	det	_	_
43	location	_	NN	NN	_	41	dobj	_	_
44	or	_	CC	CC	_	43	cc	_	_
45	price	_	NN	NN	_	43	conj	_	_
46	with	_	IN	IN	_	41	prep	_	_
47	a	_	DT	DT	_	48	det	_	_
48	stick	_	NN	NN	_	46	pobj	_	_
49	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	rooms	_	NNS	NNS	_	6	nsubj	_	_
3	have	_	VBP	VBP	_	6	aux	_	_
4	always	_	RB	RB	_	6	advmod	_	_
5	been	_	VBN	VBN	_	6	cop	_	_
6	clean	_	JJ	JJ	_	0	root	_	_
7	,	_	,	,	_	0	erased	_	_
8	I	_	PRP	PRP	_	9	nsubj	_	_
9	love	_	VBP	VBP	_	6	dep	_	_
10	the	_	DT	DT	_	12	det	_	_
11	little	_	JJ	JJ	_	12	amod	_	_
12	frig	_	NN	NN	_	9	dobj	_	_
13	inside	_	IN	IN	_	12	prep	_	_
14	the	_	DT	DT	_	15	det	_	_
15	room	_	NN	NN	_	13	pobj	_	_
16	which	_	WDT	WDT	_	18	nsubj	_	_
17	was	_	VBD	VBD	_	18	cop	_	_
18	amazing	_	JJ	JJ	_	15	rcmod	_	_
19	when	_	WRB	WRB	_	23	advmod	_	_
20	Dominick	_	NNP	NNP	_	22	poss	_	_
21	's	_	POS	POS	_	20	possessive	_	_
22	grocery	_	NN	NN	_	23	nsubj	_	_
23	was	_	VBD	VBD	_	18	advcl	_	_
24	in	_	IN	IN	_	23	prep	_	_
25	business	_	NN	NN	_	24	pobj	_	_
26	across	_	IN	IN	_	25	prep	_	_
27	the	_	DT	DT	_	28	det	_	_
28	street	_	NN	NN	_	26	pobj	_	_
29	,	_	,	,	_	0	erased	_	_
30	and	_	CC	CC	_	6	cc	_	_
31	the	_	DT	DT	_	33	det	_	_
32	FREE	_	JJ	JJ	_	33	amod	_	_
33	parking	_	NN	NN	_	45	nsubj	_	_
34	in	_	IN	IN	_	33	prep	_	_
35	this	_	DT	DT	_	38	det	_	_
36	densely	_	RB	RB	_	37	advmod	_	_
37	populated	_	VBN	VBN	_	38	amod	_	_
38	area	_	NN	NN	_	34	pobj	_	_
39	is	_	VBZ	VBZ	_	45	cop	_	_
40	worth	_	IN	IN	_	45	prep	_	_
41	the	_	DT	DT	_	43	det	_	_
42	admission	_	NN	NN	_	43	nn	_	_
43	price	_	NN	NN	_	40	pobj	_	_
44	,	_	,	,	_	0	erased	_	_
45	alone	_	RB	RB	_	6	conj	_	_
46	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	lived	_	VBD	VBD	_	0	root	_	_
3	in	_	IN	IN	_	2	prep	_	_
4	Ravenswood	_	NNP	NNP	_	3	pobj	_	_
5	for	_	IN	IN	_	4	prep	_	_
6	15	_	CD	CD	_	7	num	_	_
7	years	_	NNS	NNS	_	5	pobj	_	_
8	so	_	IN	IN	_	10	mark	_	_
9	I	_	PRP	PRP	_	10	nsubj	_	_
10	drove	_	VBD	VBD	_	2	advcl	_	_
11	past	_	JJ	JJ	_	13	amod	_	_
12	this	_	DT	DT	_	13	det	_	_
13	motel	_	NN	NN	_	10	dobj	_	_
14	for	_	IN	IN	_	10	prep	_	_
15	at	_	IN	IN	_	14	pcomp	_	_
16	least	_	JJS	JJS	_	15	pobj	_	_
17	that	_	RB	RB	_	15	advmod	_	_
18	long	_	RB	RB	_	15	advmod	_	_
19	of	_	IN	IN	_	10	prep	_	_
20	time	_	NN	NN	_	19	pobj	_	_
21	.	_	.	.	_	0	erased	_	_

1	When	_	WRB	WRB	_	3	advmod	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
3	moved	_	VBD	VBD	_	16	advcl	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	Michigan	_	NNP	NNP	_	4	pobj	_	_
6	and	_	CC	CC	_	3	cc	_	_
7	came	_	VBD	VBD	_	3	conj	_	_
8	back	_	RP	RP	_	7	prt	_	_
9	in	_	IN	IN	_	7	prep	_	_
10	town	_	NN	NN	_	9	pobj	_	_
11	to	_	TO	TO	_	12	aux	_	_
12	visit	_	VB	VB	_	7	xcomp	_	_
13	friends	_	NNS	NNS	_	12	dobj	_	_
14	,	_	,	,	_	0	erased	_	_
15	I	_	PRP	PRP	_	16	nsubj	_	_
16	tried	_	VBD	VBD	_	0	root	_	_
17	many	_	JJ	JJ	_	18	amod	_	_
18	motels	_	NNS	NNS	_	16	dobj	_	_
19	on	_	IN	IN	_	16	prep	_	_
20	the	_	DT	DT	_	22	det	_	_
21	Lincoln	_	NNP	NNP	_	22	nn	_	_
22	Ave.	_	NNP	NNP	_	19	pobj	_	_

1	strip	_	VB	VB	_	0	root	_	_
2	.	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	5	nsubj	_	_
2	is	_	VBZ	VBZ	_	5	cop	_	_
3	the	_	DT	DT	_	5	det	_	_
4	ONLY	_	JJ	JJ	_	5	amod	_	_
5	motel	_	NN	NN	_	0	root	_	_
6	I	_	PRP	PRP	_	7	nsubj	_	_
7	went	_	VBD	VBD	_	5	rcmod	_	_
8	back	_	RB	RB	_	7	advmod	_	_
9	to	_	TO	TO	_	7	prep	_	_
10	,	_	,	,	_	0	erased	_	_
11	over	_	RP	RP	_	7	advmod	_	_
12	and	_	CC	CC	_	11	cc	_	_
13	over	_	RP	RP	_	11	conj	_	_
14	again	_	RB	RB	_	5	advmod	_	_
15	.	_	.	.	_	0	erased	_	_

1	Staff	_	NNP	NNP	_	3	nsubj	_	_
2	is	_	VBZ	VBZ	_	3	cop	_	_
3	friendly	_	JJ	JJ	_	0	root	_	_
4	,	_	,	,	_	0	erased	_	_
5	it	_	PRP	PRP	_	7	nsubjpass	_	_
6	's	_	VBZ	VBZ	_	7	auxpass	_	_
7	located	_	VBN	VBN	_	3	conj	_	_
8	in	_	IN	IN	_	7	prep	_	_
9	a	_	DT	DT	_	12	det	_	_
10	super	_	JJ	JJ	_	12	amod	_	_
11	safe	_	JJ	JJ	_	12	amod	_	_
12	neighborhood	_	NN	NN	_	8	pobj	_	_
13	and	_	CC	CC	_	3	cc	_	_
14	I	_	PRP	PRP	_	16	nsubj	_	_
15	always	_	RB	RB	_	16	advmod	_	_
16	had	_	VBD	VBD	_	3	conj	_	_
17	a	_	DT	DT	_	18	det	_	_
18	choice	_	NN	NN	_	16	dobj	_	_
19	of	_	IN	IN	_	18	prep	_	_
20	main	_	JJ	JJ	_	23	amod	_	_
21	or	_	CC	CC	_	20	cc	_	_
22	top	_	JJ	JJ	_	20	conj	_	_
23	floors	_	NNS	NNS	_	19	pobj	_	_
24	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	've	_	VBP	VBP	_	3	aux	_	_
3	recommended	_	VBN	VBN	_	0	root	_	_
4	many	_	JJ	JJ	_	6	amod	_	_
5	a	_	DT	DT	_	6	det	_	_
6	friend	_	NN	NN	_	3	dobj	_	_
7	who	_	WP	WP	_	9	nsubj	_	_
8	was	_	VBD	VBD	_	9	aux	_	_
9	traveling	_	VBG	VBG	_	6	rcmod	_	_
10	through	_	IN	IN	_	9	prep	_	_
11	Chicago	_	NNP	NNP	_	10	pobj	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	stay	_	VB	VB	_	9	xcomp	_	_
14	at	_	IN	IN	_	13	prep	_	_
15	the	_	DT	DT	_	16	det	_	_
16	Diplomat	_	NNP	NNP	_	14	pobj	_	_
17	and	_	CC	CC	_	3	cc	_	_
18	they	_	PRP	PRP	_	22	nsubj	_	_
19	've	_	VBP	VBP	_	22	aux	_	_
20	all	_	RB	RB	_	22	advmod	_	_
21	been	_	VBN	VBN	_	22	cop	_	_
22	pleased	_	JJ	JJ	_	3	conj	_	_
23	.	_	.	.	_	0	erased	_	_

1	With	_	IN	IN	_	22	prep	_	_
2	the	_	DT	DT	_	4	det	_	_
3	Western	_	JJ	JJ	_	4	amod	_	_
4	bus	_	NN	NN	_	1	pobj	_	_
5	just	_	RB	RB	_	6	advmod	_	_
6	blocks	_	NNS	NNS	_	7	npadvmod	_	_
7	away	_	RB	RB	_	4	advmod	_	_
8	and	_	CC	CC	_	4	cc	_	_
9	the	_	DT	DT	_	11	det	_	_
10	brown	_	JJ	JJ	_	11	amod	_	_
11	line	_	NN	NN	_	4	conj	_	_
12	within	_	IN	IN	_	11	prep	_	_
13	an	_	DT	DT	_	15	det	_	_
14	easy	_	JJ	JJ	_	15	amod	_	_
15	walk	_	NN	NN	_	12	pobj	_	_
16	,	_	,	,	_	0	erased	_	_
17	staying	_	NN	NN	_	22	nsubj	_	_
18	here	_	RB	RB	_	22	advmod	_	_
19	is	_	VBZ	VBZ	_	22	cop	_	_
20	a	_	DT	DT	_	21	det	_	_
21	no	_	RB	RB	_	22	npadvmod	_	_
22	brainer	_	JJ	JJ	_	0	root	_	_
23	.	_	.	.	_	0	erased	_	_

1	Do	_	VB	VB	_	4	aux	_	_
2	n't	_	RB	RB	_	4	neg	_	_
3	be	_	VB	VB	_	4	cop	_	_
4	prejudice	_	NN	NN	_	0	root	_	_
5	!	_	.	.	_	0	erased	_	_

1	People	_	NNS	NNS	_	3	nsubj	_	_
2	can	_	MD	MD	_	3	aux	_	_
3	have	_	VB	VB	_	0	root	_	_
4	``	_	``	``	_	0	erased	_	_
5	Nooners	_	NNP	NNP	_	3	dobj	_	_
6	''	_	''	''	_	0	erased	_	_
7	at	_	IN	IN	_	5	prep	_	_
8	ANY	_	NNP	NNP	_	9	nn	_	_
9	motel/hotel	_	NNP	NNP	_	7	pobj	_	_
10	or	_	CC	CC	_	7	cc	_	_
11	in	_	IN	IN	_	7	conj	_	_
12	the	_	DT	DT	_	14	det	_	_
13	office	_	NN	NN	_	14	nn	_	_
14	bathroom	_	NN	NN	_	11	pobj	_	_
15	!	_	.	.	_	0	erased	_	_

1	Every	_	DT	DT	_	2	det	_	_
2	time	_	NN	NN	_	5	nsubj	_	_
3	I	_	PRP	PRP	_	5	nsubj	_	_
4	've	_	VBP	VBP	_	5	aux	_	_
5	stayed	_	VBN	VBN	_	11	ccomp	_	_
6	here	_	RB	RB	_	5	advmod	_	_
7	,	_	,	,	_	0	erased	_	_
8	it	_	PRP	PRP	_	11	nsubjpass	_	_
9	's	_	VBZ	VBZ	_	11	auxpass	_	_
10	been	_	VBN	VBN	_	11	cop	_	_
11	quiet	_	JJ	JJ	_	0	root	_	_
12	and	_	CC	CC	_	11	cc	_	_
13	clean	_	JJ	JJ	_	11	conj	_	_
14	which	_	WDT	WDT	_	16	nsubj	_	_
15	is	_	VBZ	VBZ	_	16	cop	_	_
16	more	_	JJR	JJR	_	11	ccomp	_	_
17	than	_	IN	IN	_	20	mark	_	_
18	I	_	PRP	PRP	_	20	nsubj	_	_
19	've	_	VBP	VBP	_	20	aux	_	_
20	experienced	_	VBN	VBN	_	16	advcl	_	_
21	in	_	IN	IN	_	20	prep	_	_
22	motels	_	NNS	NNS	_	21	pobj	_	_
23	in	_	IN	IN	_	22	prep	_	_
24	resort	_	NN	NN	_	25	nn	_	_
25	areas	_	NNS	NNS	_	23	pobj	_	_
26	around	_	IN	IN	_	20	prep	_	_
27	the	_	DT	DT	_	28	det	_	_
28	nation	_	NN	NN	_	26	pobj	_	_
29	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	used	_	VBD	VBD	_	0	root	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	pay	_	VB	VB	_	2	xcomp	_	_
5	$	_	$	$	_	7	amod	_	_
6	50	_	CD	CD	_	5	number	_	_
7	bucks	_	NNS	NNS	_	4	dobj	_	_
8	ten	_	CD	CD	_	9	num	_	_
9	years	_	NNS	NNS	_	10	npadvmod	_	_
10	ago	_	RB	RB	_	4	advmod	_	_
11	;	_	:	:	_	0	erased	_	_
12	I	_	PRP	PRP	_	15	nsubj	_	_
13	do	_	VBP	VBP	_	15	aux	_	_
14	n't	_	RB	RB	_	15	neg	_	_
15	know	_	VB	VB	_	2	parataxis	_	_
16	what	_	WP	WP	_	19	dobj	_	_
17	the	_	DT	DT	_	18	det	_	_
18	rate	_	NN	NN	_	19	nsubj	_	_
19	is	_	VBZ	VBZ	_	15	ccomp	_	_
20	now	_	RB	RB	_	19	advmod	_	_
21	,	_	,	,	_	0	erased	_	_
22	but	_	CC	CC	_	15	cc	_	_
23	anything	_	NN	NN	_	32	nsubj	_	_
24	less	_	CC	CC	_	23	prep	_	_
25	than	_	IN	IN	_	26	quantmod	_	_
26	$	_	$	$	_	28	num	_	_
27	100	_	CD	CD	_	26	num	_	_
28	bucks	_	NNS	NNS	_	24	pobj	_	_
29	is	_	VBZ	VBZ	_	32	cop	_	_
30	still	_	RB	RB	_	32	advmod	_	_
31	a	_	DT	DT	_	32	det	_	_
32	steal	_	NN	NN	_	15	conj	_	_
33	!	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	3	mark	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	have	_	VBP	VBP	_	9	advcl	_	_
4	a	_	DT	DT	_	5	det	_	_
5	car	_	NN	NN	_	3	dobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	you	_	PRP	PRP	_	9	nsubj	_	_
8	can	_	MD	MD	_	9	aux	_	_
9	zip	_	VB	VB	_	0	root	_	_
10	down	_	RP	RP	_	9	prt	_	_
11	to	_	TO	TO	_	9	prep	_	_
12	the	_	DT	DT	_	16	det	_	_
13	Loop	_	NNP	NNP	_	16	nn	_	_
14	or	_	CC	CC	_	13	cc	_	_
15	Mag	_	NNP	NNP	_	13	conj	_	_
16	Mile	_	NNP	NNP	_	11	pobj	_	_
17	via	_	IN	IN	_	16	prep	_	_
18	Foster	_	NNP	NNP	_	17	pobj	_	_
19	to	_	TO	TO	_	9	prep	_	_
20	L.S.D.	_	NNP	NNP	_	19	pobj	_	_
21	;	_	:	:	_	0	erased	_	_
22	save	_	VB	VB	_	9	dep	_	_
23	your	_	PRP$	PRP$	_	24	poss	_	_
24	$	_	$	$	_	22	dobj	_	_
25	$	_	CD	CD	_	24	num	_	_
26	$	_	$	$	_	24	amod	_	_
