1	Very	_	RB	RB	_	2	advmod	_	_
2	clean	_	JJ	JJ	_	16	ccomp	_	_
3	,	_	,	,	_	0	erased	_	_
4	good	_	JJ	JJ	_	5	amod	_	_
5	location	_	NN	NN	_	16	nsubj	_	_
6	,	_	,	,	_	0	erased	_	_
7	friendly	_	JJ	JJ	_	8	amod	_	_
8	staff	_	NN	NN	_	5	appos	_	_
9	,	_	,	,	_	0	erased	_	_
10	good	_	JJ	JJ	_	11	amod	_	_
11	view	_	NN	NN	_	5	appos	_	_
12	of	_	IN	IN	_	11	prep	_	_
13	the	_	DT	DT	_	14	det	_	_
14	city	_	NN	NN	_	12	pobj	_	_
15	,	_	,	,	_	0	erased	_	_
16	free	_	VBP	VBP	_	0	root	_	_
17	breakfast	_	NN	NN	_	16	dobj	_	_
18	;	_	:	:	_	0	erased	_	_
19	we	_	PRP	PRP	_	20	nsubj	_	_
20	stayed	_	VBD	VBD	_	16	parataxis	_	_
21	for	_	IN	IN	_	20	prep	_	_
22	3	_	CD	CD	_	23	num	_	_
23	nights	_	NNS	NNS	_	21	pobj	_	_
24	and	_	CC	CC	_	20	cc	_	_
25	had	_	VBD	VBD	_	20	conj	_	_
26	no	_	DT	DT	_	27	neg	_	_
27	complaints	_	NNS	NNS	_	25	dobj	_	_

