1	Yes	_	UH	UH	_	4	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	i	_	FW	FW	_	4	nsubj	_	_
4	took	_	VBD	VBD	_	0	root	_	_
5	advantage	_	NN	NN	_	4	dobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	my	_	PRP$	PRP$	_	10	poss	_	_
8	first	_	JJ	JJ	_	10	amod	_	_
9	Yelp	_	NNP	NNP	_	10	nn	_	_
10	Deal	_	NNP	NNP	_	6	pobj	_	_
11	and	_	CC	CC	_	4	cc	_	_
12	it	_	PRP	PRP	_	13	nsubj	_	_
13	was	_	VBD	VBD	_	4	conj	_	_
14	well	_	RB	RB	_	13	advmod	_	_
15	worth	_	IN	IN	_	13	prep	_	_
16	it	_	PRP	PRP	_	15	pobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	Home	_	NNP	NNP	_	2	nn	_	_
2	James	_	NNP	NNP	_	5	nsubjpass	_	_
3	is	_	VBZ	VBZ	_	5	auxpass	_	_
4	personally	_	RB	RB	_	5	advmod	_	_
5	operated	_	VBN	VBN	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	shows	_	VBZ	VBZ	_	5	conj	_	_
8	great	_	JJ	JJ	_	10	amod	_	_
9	customer	_	NN	NN	_	10	nn	_	_
10	service	_	NN	NN	_	7	dobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	Both	_	DT	DT	_	2	det	_	_
2	drivers	_	NNS	NNS	_	4	nsubj	_	_
3	were	_	VBD	VBD	_	4	cop	_	_
4	pleasant	_	JJ	JJ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	on	_	IN	IN	_	4	prep	_	_
7	time	_	NN	NN	_	6	pobj	_	_
8	and	_	CC	CC	_	4	cc	_	_
9	helpful	_	JJ	JJ	_	4	conj	_	_
10	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	will	_	MD	MD	_	3	aux	_	_
3	use	_	VB	VB	_	0	root	_	_
4	them	_	PRP	PRP	_	3	dobj	_	_
5	again	_	RB	RB	_	3	advmod	_	_
6	!	_	.	.	_	0	erased	_	_

