1	Standing	_	VBG	VBG	_	11	vmod	_	_
2	outside	_	IN	IN	_	1	prep	_	_
3	the	_	DT	DT	_	6	det	_	_
4	Chicago	_	NNP	NNP	_	6	nn	_	_
5	Architecture	_	NNP	NNP	_	6	nn	_	_
6	Foundation	_	NNP	NNP	_	2	pobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	the	_	DT	DT	_	9	det	_	_
9	views	_	NNS	NNS	_	11	nsubj	_	_
10	were	_	VBD	VBD	_	11	cop	_	_
11	fabulous	_	JJ	JJ	_	0	root	_	_
12	.	_	.	.	_	0	erased	_	_

1	On	_	IN	IN	_	7	prep	_	_
2	one	_	CD	CD	_	1	pobj	_	_
3	side	_	NN	NN	_	7	nsubj	_	_
4	is	_	VBZ	VBZ	_	7	cop	_	_
5	the	_	DT	DT	_	7	det	_	_
6	Hollywood	_	NNP	NNP	_	7	nn	_	_
7	Sign	_	NNP	NNP	_	0	root	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	the	_	DT	DT	_	10	det	_	_
10	other	_	JJ	JJ	_	14	nsubj	_	_
11	is	_	VBZ	VBZ	_	14	cop	_	_
12	the	_	DT	DT	_	14	det	_	_
13	panaramic	_	JJ	JJ	_	14	amod	_	_
14	view	_	NN	NN	_	7	conj	_	_
15	of	_	IN	IN	_	14	prep	_	_
16	Chicago	_	NNP	NNP	_	15	pobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	4	det	_	_
2	Chicago	_	NNP	NNP	_	4	nn	_	_
3	Architecture	_	NNP	NNP	_	4	nn	_	_
4	Foundation	_	NNP	NNP	_	6	nsubj	_	_
5	is	_	VBZ	VBZ	_	6	cop	_	_
6	free	_	JJ	JJ	_	0	root	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	immaculate	_	JJ	JJ	_	6	conj	_	_
9	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	are	_	VBP	VBP	_	0	root	_	_
3	three	_	CD	CD	_	4	num	_	_
4	telescopes	_	NNS	NNS	_	5	npadvmod	_	_
5	outdoors	_	JJ	JJ	_	2	acomp	_	_
6	for	_	IN	IN	_	2	prep	_	_
7	Saturn	_	NNP	NNP	_	6	pobj	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	our	_	PRP$	PRP$	_	10	poss	_	_
10	moon	_	NN	NN	_	7	conj	_	_
11	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	popped	_	VBD	VBD	_	0	root	_	_
3	inside	_	RB	RB	_	2	advmod	_	_
4	for	_	IN	IN	_	2	prep	_	_
5	only	_	RB	RB	_	7	advmod	_	_
6	a	_	DT	DT	_	7	det	_	_
7	moment	_	NN	NN	_	4	pobj	_	_
8	as	_	IN	IN	_	10	mark	_	_
9	we	_	PRP	PRP	_	10	nsubj	_	_
10	ran	_	VBD	VBD	_	2	advcl	_	_
11	out	_	RP	RP	_	10	prt	_	_
12	of	_	IN	IN	_	10	prep	_	_
13	time	_	NN	NN	_	12	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	would	_	MD	MD	_	3	aux	_	_
3	like	_	VB	VB	_	0	root	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	go	_	VB	VB	_	3	xcomp	_	_
6	again	_	RB	RB	_	5	advmod	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	see	_	VB	VB	_	5	xcomp	_	_
9	more	_	JJR	JJR	_	8	dobj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	14	det	_	_
12	Chicago	_	NNP	NNP	_	14	nn	_	_
13	Architecture	_	NNP	NNP	_	14	nn	_	_
14	Foundation	_	NNP	NNP	_	10	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

