1	Wow	_	UH	UH	_	6	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	I	_	PRP	PRP	_	6	nsubj	_	_
4	was	_	VBD	VBD	_	6	cop	_	_
5	so	_	RB	RB	_	6	advmod	_	_
6	impressed	_	JJ	JJ	_	0	root	_	_
7	with	_	IN	IN	_	6	prep	_	_
8	our	_	PRP$	PRP$	_	9	poss	_	_
9	guide	_	NN	NN	_	7	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	Tara	_	NNP	NNP	_	9	appos	_	_
12	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	root	_	_
3	4	_	CD	CD	_	5	num	_	_
4	teenage	_	JJ	JJ	_	5	amod	_	_
5	boys	_	NNS	NNS	_	2	dobj	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	4	_	CD	CD	_	8	num	_	_
8	adults	_	NNS	NNS	_	5	conj	_	_
9	in	_	IN	IN	_	2	prep	_	_
10	our	_	PRP$	PRP$	_	11	poss	_	_
11	group	_	NN	NN	_	9	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	While	_	IN	IN	_	6	mark	_	_
2	the	_	DT	DT	_	3	det	_	_
3	boys	_	NNS	NNS	_	6	nsubj	_	_
4	were	_	VBD	VBD	_	6	cop	_	_
5	a	_	DT	DT	_	6	det	_	_
6	handful	_	NN	NN	_	10	advcl	_	_
7	,	_	,	,	_	0	erased	_	_
8	she	_	PRP	PRP	_	10	nsubj	_	_
9	never	_	RB	RB	_	10	neg	_	_
10	lost	_	VBD	VBD	_	0	root	_	_
11	her	_	PRP$	PRP$	_	12	poss	_	_
12	cool	_	NN	NN	_	10	dobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	5	nsubj	_	_
2	could	_	MD	MD	_	5	aux	_	_
3	n't	_	RB	RB	_	5	neg	_	_
4	have	_	VB	VB	_	5	aux	_	_
5	asked	_	VBN	VBN	_	0	root	_	_
6	for	_	IN	IN	_	5	prep	_	_
7	a	_	DT	DT	_	10	det	_	_
8	better	_	JJR	JJR	_	10	amod	_	_
9	tour	_	NN	NN	_	10	nn	_	_
10	guide	_	NN	NN	_	6	pobj	_	_
11	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	4	det	_	_
2	3	_	CD	CD	_	4	num	_	_
3	hour	_	NN	NN	_	4	nn	_	_
4	tour	_	NN	NN	_	7	nsubjpass	_	_
5	was	_	VBD	VBD	_	7	auxpass	_	_
6	very	_	RB	RB	_	7	advmod	_	_
7	organized	_	VBN	VBN	_	0	root	_	_
8	,	_	,	,	_	0	erased	_	_
9	competitively	_	RB	RB	_	10	advmod	_	_
10	priced	_	VBN	VBN	_	7	conj	_	_
11	and	_	CC	CC	_	7	cc	_	_
12	only	_	JJ	JJ	_	7	conj	_	_
13	our	_	PRP$	PRP$	_	16	poss	_	_
14	8	_	CD	CD	_	16	num	_	_
15	family	_	NN	NN	_	16	nn	_	_
16	members	_	NNS	NNS	_	17	nsubj	_	_
17	were	_	VBD	VBD	_	12	ccomp	_	_
18	in	_	IN	IN	_	17	prep	_	_
19	our	_	PRP$	PRP$	_	20	poss	_	_
20	group	_	NN	NN	_	18	pobj	_	_
21	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	saw	_	VBD	VBD	_	0	root	_	_
3	parts	_	NNS	NNS	_	2	dobj	_	_
4	of	_	IN	IN	_	3	prep	_	_
5	Chicago	_	NNP	NNP	_	4	pobj	_	_
6	we	_	PRP	PRP	_	10	nsubj	_	_
7	would	_	MD	MD	_	10	aux	_	_
8	never	_	RB	RB	_	10	neg	_	_
9	have	_	VB	VB	_	10	aux	_	_
10	gone	_	VBN	VBN	_	3	rcmod	_	_
11	to	_	TO	TO	_	10	xcomp	_	_
12	.	_	.	.	_	0	erased	_	_

1	Northerly	_	NNP	NNP	_	2	nn	_	_
2	Island	_	NNP	NNP	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	my	_	PRP$	PRP$	_	5	poss	_	_
5	favorite	_	NN	NN	_	0	root	_	_
6	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
2	also	_	RB	RB	_	3	advmod	_	_
3	went	_	VBD	VBD	_	0	root	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	Grant	_	NNP	NNP	_	6	nn	_	_
6	Park	_	NNP	NNP	_	4	pobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	Adler	_	NNP	NNP	_	9	nn	_	_
9	Planetarium	_	NNP	NNP	_	6	appos	_	_
10	,	_	,	,	_	0	erased	_	_
11	Shedd	_	NNP	NNP	_	12	nn	_	_
12	Aquarium	_	NNP	NNP	_	9	appos	_	_
13	&	_	CC	CC	_	12	cc	_	_
14	Soldier	_	NNP	NNP	_	15	nn	_	_
15	Field	_	NNP	NNP	_	12	conj	_	_
16	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	3	nsubj	_	_
2	's	_	VBZ	VBZ	_	3	cop	_	_
3	amazing	_	JJ	JJ	_	0	root	_	_
4	how	_	WRB	WRB	_	5	advmod	_	_
5	much	_	JJ	JJ	_	8	dep	_	_
6	you	_	PRP	PRP	_	8	nsubj	_	_
7	could	_	MD	MD	_	8	aux	_	_
8	see	_	VB	VB	_	3	ccomp	_	_
9	in	_	IN	IN	_	8	prep	_	_
10	3	_	CD	CD	_	11	num	_	_
11	hours	_	NNS	NNS	_	9	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	5	nsubj	_	_
2	was	_	VBD	VBD	_	5	cop	_	_
3	a	_	DT	DT	_	5	det	_	_
4	memorable	_	JJ	JJ	_	5	amod	_	_
5	part	_	NN	NN	_	0	root	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	our	_	PRP$	PRP$	_	8	poss	_	_
8	trip	_	NN	NN	_	6	pobj	_	_
9	to	_	TO	TO	_	5	prep	_	_
10	Chicago	_	NNP	NNP	_	9	pobj	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	one	_	CD	CD	_	13	num	_	_
13	activity	_	NN	NN	_	10	conj	_	_
14	that	_	IN	IN	_	25	mark	_	_
15	the	_	DT	DT	_	16	det	_	_
16	kids	_	NNS	NNS	_	25	nsubj	_	_
17	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
18	and	_	CC	CC	_	20	cc	_	_
19	the	_	DT	DT	_	20	det	_	_
20	adults	_	NNS	NNS	_	16	dep	_	_
21	!	_	VBN	VBN	_	0	erased	_	_
22	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
23	will	_	MD	MD	_	25	aux	_	_
24	never	_	RB	RB	_	25	neg	_	_
25	forget	_	VB	VB	_	5	ccomp	_	_
26	.	_	.	.	_	0	erased	_	_

1	While	_	IN	IN	_	8	mark	_	_
2	it	_	PRP	PRP	_	8	nsubj	_	_
3	was	_	VBD	VBD	_	8	cop	_	_
