1	My	_	PRP$	PRP$	_	2	poss	_	_
2	experience	_	NN	NN	_	7	nsubj	_	_
3	with	_	IN	IN	_	2	prep	_	_
4	this	_	DT	DT	_	5	det	_	_
5	location	_	NN	NN	_	3	pobj	_	_
6	was	_	VBD	VBD	_	7	cop	_	_
7	excellent	_	JJ	JJ	_	0	root	_	_
8	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	shuttle	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	aux	_	_
4	fast	_	RB	RB	_	5	advmod	_	_
5	arriving	_	VBG	VBG	_	0	root	_	_
6	to	_	TO	TO	_	5	prep	_	_
7	Ohare	_	NNP	NNP	_	6	pobj	_	_
8	and	_	CC	CC	_	5	cc	_	_
9	the	_	DT	DT	_	10	det	_	_
10	check	_	NN	NN	_	13	nsubj	_	_
11	in	_	RB	RB	_	13	advmod	_	_
12	was	_	VBD	VBD	_	13	cop	_	_
13	fast	_	JJ	JJ	_	5	conj	_	_
14	and	_	CC	CC	_	13	cc	_	_
15	easy	_	JJ	JJ	_	13	conj	_	_
16	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	was	_	VBD	VBD	_	0	root	_	_
3	in	_	IN	IN	_	2	advmod	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	out	_	IN	IN	_	3	conj	_	_
6	with	_	IN	IN	_	2	prep	_	_
7	the	_	DT	DT	_	8	det	_	_
8	car	_	NN	NN	_	6	pobj	_	_
9	in	_	IN	IN	_	8	prep	_	_
10	15	_	CD	CD	_	11	num	_	_
11	minutes	_	NNS	NNS	_	9	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	'll	_	MD	MD	_	3	aux	_	_
3	use	_	VB	VB	_	0	root	_	_
4	them	_	PRP	PRP	_	3	dobj	_	_
5	again	_	RB	RB	_	3	advmod	_	_
6	.	_	.	.	_	0	erased	_	_

