1	My	_	PRP$	PRP$	_	2	poss	_	_
2	mom	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	here	_	RB	RB	_	5	advmod	_	_
7	for	_	IN	IN	_	5	prep	_	_
8	three	_	CD	CD	_	9	num	_	_
9	nights	_	NNS	NNS	_	7	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	hotel	_	NN	NN	_	4	nsubjpass	_	_
3	is	_	VBZ	VBZ	_	4	auxpass	_	_
4	situated	_	VBN	VBN	_	0	root	_	_
5	in	_	IN	IN	_	4	prep	_	_
6	a	_	DT	DT	_	8	det	_	_
7	prime	_	JJ	JJ	_	8	amod	_	_
8	location	_	NN	NN	_	5	pobj	_	_
9	-	_	:	:	_	0	erased	_	_
10	surrounded	_	VBN	VBN	_	4	conj	_	_
11	by	_	IN	IN	_	10	prep	_	_
12	several	_	JJ	JJ	_	13	amod	_	_
13	bars	_	NNS	NNS	_	11	pobj	_	_
14	,	_	,	,	_	0	erased	_	_
15	restaurants	_	NNS	NNS	_	13	conj	_	_
16	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
17	predominantly	_	RB	RB	_	18	advmod	_	_
18	steakhouses	_	JJ	JJ	_	13	dep	_	_
19	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
20	,	_	,	,	_	0	erased	_	_
21	and	_	CC	CC	_	13	cc	_	_
22	shops	_	NNS	NNS	_	13	conj	_	_
23	,	_	,	,	_	0	erased	_	_
24	and	_	CC	CC	_	4	cc	_	_
25	a	_	DT	DT	_	27	det	_	_
26	short	_	JJ	JJ	_	27	amod	_	_
27	walk	_	NN	NN	_	4	conj	_	_
28	to	_	TO	TO	_	27	prep	_	_
29	the	_	DT	DT	_	33	det	_	_
30	Magnificent	_	NNP	NNP	_	33	nn	_	_
31	Mile/Oak	_	NNP	NNP	_	33	nn	_	_
32	St.	_	NNP	NNP	_	33	nn	_	_
33	Beach	_	NNP	NNP	_	28	pobj	_	_
34	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	beds	_	NNS	NNS	_	4	nsubj	_	_
3	are	_	VBP	VBP	_	4	cop	_	_
4	comfortable	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	the	_	DT	DT	_	7	det	_	_
7	service	_	NN	NN	_	9	nsubj	_	_
8	is	_	VBZ	VBZ	_	9	cop	_	_
9	friendly	_	JJ	JJ	_	4	conj	_	_
10	.	_	.	.	_	0	erased	_	_

