1	My	_	PRP$	PRP$	_	2	poss	_	_
2	friends	_	NNS	NNS	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	had	_	VBD	VBD	_	0	root	_	_
6	a	_	DT	DT	_	8	det	_	_
7	great	_	JJ	JJ	_	8	amod	_	_
8	time	_	NN	NN	_	5	dobj	_	_
9	on	_	IN	IN	_	8	prep	_	_
10	this	_	DT	DT	_	11	det	_	_
11	tour	_	NN	NN	_	9	pobj	_	_
12	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	owners	_	NNS	NNS	_	5	nsubj	_	_
3	were	_	VBD	VBD	_	5	cop	_	_
4	very	_	RB	RB	_	5	advmod	_	_
5	knowledgeable	_	JJ	JJ	_	0	root	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	the	_	DT	DT	_	8	det	_	_
8	history	_	NN	NN	_	6	pobj	_	_
9	of	_	IN	IN	_	8	prep	_	_
10	beer	_	NN	NN	_	9	pobj	_	_
11	in	_	IN	IN	_	5	prep	_	_
12	Chicago	_	NNP	NNP	_	11	pobj	_	_
13	and	_	CC	CC	_	5	cc	_	_
14	we	_	PRP	PRP	_	15	nsubj	_	_
15	sampled	_	VBN	VBN	_	5	conj	_	_
16	alot	_	NN	NN	_	15	dobj	_	_
17	of	_	IN	IN	_	16	prep	_	_
18	great	_	JJ	JJ	_	19	amod	_	_
19	beers	_	NNS	NNS	_	17	pobj	_	_
20	along	_	IN	IN	_	19	prep	_	_
21	the	_	DT	DT	_	22	det	_	_
22	way	_	NN	NN	_	20	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

1	Overall	_	RB	RB	_	6	advmod	_	_
2	it	_	PRP	PRP	_	6	nsubj	_	_
3	was	_	VBD	VBD	_	6	cop	_	_
4	a	_	DT	DT	_	6	det	_	_
5	fantastic	_	JJ	JJ	_	6	amod	_	_
6	time	_	NN	NN	_	0	root	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	I	_	PRP	PRP	_	10	nsubj	_	_
9	highly	_	RB	RB	_	10	advmod	_	_
10	recommend	_	VBP	VBP	_	6	conj	_	_
11	you	_	PRP	PRP	_	12	nsubj	_	_
12	get	_	VB	VB	_	10	ccomp	_	_
13	a	_	DT	DT	_	14	det	_	_
14	group	_	NN	NN	_	12	dobj	_	_
15	of	_	IN	IN	_	14	prep	_	_
16	friends	_	NNS	NNS	_	15	pobj	_	_
17	together	_	RB	RB	_	12	advmod	_	_
18	and	_	CC	CC	_	12	cc	_	_
19	experience	_	VB	VB	_	12	conj	_	_
20	it	_	PRP	PRP	_	19	dobj	_	_
21	for	_	IN	IN	_	19	prep	_	_
22	yourself	_	PRP	PRP	_	21	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

