1	Wow	_	UH	UH	_	12	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	the	_	DT	DT	_	5	det	_	_
4	hotel	_	NN	NN	_	5	nn	_	_
5	staff	_	NN	NN	_	12	nsubj	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	manager	_	NN	NN	_	5	conj	_	_
8	were	_	VBD	VBD	_	12	cop	_	_
9	the	_	DT	DT	_	12	det	_	_
10	most	_	RBS	RBS	_	11	advmod	_	_
11	helpful	_	JJ	JJ	_	12	amod	_	_
12	people	_	NNS	NNS	_	0	root	_	_
13	we	_	PRP	PRP	_	15	nsubj	_	_
14	have	_	VBP	VBP	_	15	aux	_	_
15	met	_	VBN	VBN	_	12	rcmod	_	_
16	in	_	IN	IN	_	15	prep	_	_
17	a	_	DT	DT	_	19	det	_	_
18	long	_	JJ	JJ	_	19	amod	_	_
19	time	_	NN	NN	_	16	pobj	_	_
20	on	_	IN	IN	_	19	prep	_	_
21	our	_	PRP$	PRP$	_	22	poss	_	_
22	travels	_	NNS	NNS	_	20	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	rooms	_	NNS	NNS	_	4	nsubj	_	_
3	were	_	VBD	VBD	_	4	cop	_	_
4	great	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	they	_	PRP	PRP	_	7	nsubj	_	_
7	have	_	VBP	VBP	_	4	conj	_	_
8	FREE	_	JJ	JJ	_	10	amod	_	_
9	bottled	_	JJ	JJ	_	10	amod	_	_
10	waters	_	NNS	NNS	_	7	dobj	_	_
11	for	_	IN	IN	_	10	prep	_	_
12	all	_	DT	DT	_	13	det	_	_
13	guests	_	NNS	NNS	_	11	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	booked	_	VBD	VBD	_	0	root	_	_
3	our	_	PRP$	PRP$	_	4	poss	_	_
4	hotel	_	NN	NN	_	2	dobj	_	_
