1	There	_	EX	EX	_	2	expl	_	_
2	was	_	VBD	VBD	_	21	ccomp	_	_
3	an	_	DT	DT	_	4	det	_	_
4	issue	_	NN	NN	_	2	nsubj	_	_
5	with	_	IN	IN	_	4	prep	_	_
6	on	_	IN	IN	_	5	pcomp	_	_
7	line	_	NN	NN	_	8	nn	_	_
8	reservation	_	NN	NN	_	6	pobj	_	_
9	and	_	CC	CC	_	5	cc	_	_
10	within	_	IN	IN	_	5	conj	_	_
11	minutes	_	NNS	NNS	_	10	pobj	_	_
12	of	_	IN	IN	_	11	prep	_	_
13	my	_	PRP$	PRP$	_	14	poss	_	_
14	email	_	NN	NN	_	12	pobj	_	_
15	to	_	TO	TO	_	2	prep	_	_
16	the	_	DT	DT	_	17	det	_	_
17	company	_	NN	NN	_	15	pobj	_	_
18	,	_	,	,	_	0	erased	_	_
19	the	_	DT	DT	_	20	det	_	_
20	owner	_	NN	NN	_	21	nsubj	_	_
21	called	_	VBD	VBD	_	0	root	_	_
22	me	_	PRP	PRP	_	21	dobj	_	_
23	to	_	TO	TO	_	24	aux	_	_
24	resolve	_	VB	VB	_	21	xcomp	_	_
25	it	_	PRP	PRP	_	24	dobj	_	_
26	and	_	CC	CC	_	24	cc	_	_
27	even	_	RB	RB	_	28	advmod	_	_
28	upgrade	_	VB	VB	_	24	conj	_	_
29	my	_	PRP$	PRP$	_	30	poss	_	_
30	reservation	_	NN	NN	_	28	dobj	_	_
31	to	_	TO	TO	_	32	aux	_	_
32	make	_	VB	VB	_	30	vmod	_	_
33	sure	_	JJ	JJ	_	32	acomp	_	_
34	my	_	PRP$	PRP$	_	35	poss	_	_
35	family	_	NN	NN	_	37	nsubj	_	_
36	will	_	MD	MD	_	37	aux	_	_
37	have	_	VB	VB	_	33	ccomp	_	_
38	a	_	DT	DT	_	40	det	_	_
39	good	_	JJ	JJ	_	40	amod	_	_
40	experience	_	NN	NN	_	37	dobj	_	_
41	on	_	IN	IN	_	40	prep	_	_
42	father	_	NN	NN	_	44	poss	_	_
43	's	_	POS	POS	_	42	possessive	_	_
44	day	_	NN	NN	_	41	pobj	_	_
45	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
2	are	_	VBP	VBP	_	3	aux	_	_
3	looking	_	VBG	VBG	_	0	root	_	_
4	forward	_	RB	RB	_	3	advmod	_	_
5	to	_	TO	TO	_	3	prep	_	_
6	the	_	DT	DT	_	8	det	_	_
7	boat	_	NN	NN	_	8	nn	_	_
8	experience	_	NN	NN	_	5	pobj	_	_
9	.	_	.	.	_	0	erased	_	_

1	Great	_	JJ	JJ	_	3	amod	_	_
2	customer	_	NN	NN	_	3	nn	_	_
3	support	_	NN	NN	_	4	nsubj	_	_
4	follow	_	VBP	VBP	_	0	root	_	_
5	up	_	RP	RP	_	4	prt	_	_
6	.	_	.	.	_	0	erased	_	_

