1	There	_	EX	EX	_	5	expl	_	_
2	is	_	VBZ	VBZ	_	5	aux	_	_
3	no	_	DT	DT	_	4	neg	_	_
4	better	_	RBR	RBR	_	5	advmod	_	_
5	feeling	_	VBG	VBG	_	0	root	_	_
6	than	_	IN	IN	_	5	prep	_	_
7	leaving	_	VBG	VBG	_	6	pcomp	_	_
8	a	_	DT	DT	_	9	det	_	_
9	hotel	_	NN	NN	_	7	dobj	_	_
10	knowing	_	VBG	VBG	_	9	vmod	_	_
11	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
12	as	_	RB	RB	_	13	advmod	_	_
13	well	_	RB	RB	_	15	cc	_	_
14	as	_	IN	IN	_	13	mwe	_	_
15	remembering	_	VBG	VBG	_	10	dep	_	_
16	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
17	the	_	DT	DT	_	18	det	_	_
18	names	_	NNS	NNS	_	10	dobj	_	_
19	of	_	IN	IN	_	18	prep	_	_
20	those	_	DT	DT	_	19	pobj	_	_
21	who	_	WP	WP	_	22	nsubj	_	_
22	helped	_	VBD	VBD	_	18	rcmod	_	_
23	make	_	VB	VB	_	22	xcomp	_	_
24	your	_	PRP$	PRP$	_	25	poss	_	_
25	stay	_	NN	NN	_	23	dobj	_	_
26	that	_	IN	IN	_	29	mark	_	_
27	much	_	RB	RB	_	29	advmod	_	_
28	more	_	RBR	RBR	_	29	advmod	_	_
29	enjoyable	_	JJ	JJ	_	23	dep	_	_
30	.	_	.	.	_	0	erased	_	_

1	Tracy	_	NNP	NNP	_	14	nsubj	_	_
2	,	_	,	,	_	0	erased	_	_
3	Ronnie	_	NNP	NNP	_	1	conj	_	_
4	and	_	CC	CC	_	1	cc	_	_
5	Janita	_	NNP	NNP	_	1	conj	_	_
6	were	_	VBD	VBD	_	14	cop	_	_
7	by	_	IN	IN	_	14	prep	_	_
8	far	_	RB	RB	_	14	advmod	_	_
9	,	_	,	,	_	0	erased	_	_
10	the	_	DT	DT	_	14	det	_	_
11	best	_	JJS	JJS	_	14	amod	_	_
12	front	_	NN	NN	_	14	nn	_	_
13	desk	_	NN	NN	_	14	nn	_	_
14	employees	_	NNS	NNS	_	0	root	_	_
15	I	_	PRP	PRP	_	18	nsubj	_	_
16	have	_	VBP	VBP	_	18	aux	_	_
17	ever	_	RB	RB	_	18	advmod	_	_
18	come	_	VBN	VBN	_	14	rcmod	_	_
19	across	_	RP	RP	_	18	prt	_	_
20	in	_	IN	IN	_	18	prep	_	_
