1	Such	_	PDT	PDT	_	4	predet	_	_
2	a	_	DT	DT	_	4	det	_	_
3	cool	_	JJ	JJ	_	4	amod	_	_
4	way	_	NN	NN	_	6	nsubj	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	see	_	VB	VB	_	0	root	_	_
7	some	_	DT	DT	_	8	det	_	_
8	highlights	_	NN	NN	_	6	dobj	_	_
9	of	_	IN	IN	_	8	prep	_	_
10	the	_	DT	DT	_	11	det	_	_
11	city	_	NN	NN	_	9	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	Our	_	PRP$	PRP$	_	2	poss	_	_
2	guide	_	NN	NN	_	7	nsubj	_	_
3	,	_	,	,	_	0	erased	_	_
4	Damian	_	NNP	NNP	_	2	appos	_	_
5	,	_	,	,	_	0	erased	_	_
6	was	_	VBD	VBD	_	7	cop	_	_
7	awesome	_	JJ	JJ	_	0	root	_	_
8	!	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	went	_	VBD	VBD	_	0	root	_	_
3	at	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	end	_	NN	NN	_	3	pobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	March	_	NNP	NNP	_	6	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	definitely	_	RB	RB	_	10	advmod	_	_
10	chilly	_	JJ	JJ	_	2	acomp	_	_
11	,	_	,	,	_	0	erased	_	_
12	but	_	CC	CC	_	10	cc	_	_
13	so	_	RB	RB	_	15	advmod	_	_
14	much	_	RB	RB	_	15	advmod	_	_
15	fun	_	JJ	JJ	_	10	conj	_	_
16	!	_	.	.	_	0	erased	_	_

1	Highly	_	NNP	NNP	_	2	nsubj	_	_
2	recommended	_	VBD	VBD	_	0	root	_	_
3	!	_	.	.	_	0	erased	_	_

