1	My	_	PRP$	PRP$	_	2	poss	_	_
2	friends	_	NNS	NNS	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	went	_	VBD	VBD	_	0	root	_	_
6	on	_	IN	IN	_	5	prep	_	_
7	the	_	DT	DT	_	8	det	_	_
8	tour	_	NN	NN	_	6	pobj	_	_
9	yesterday	_	NN	NN	_	5	tmod	_	_
10	with	_	IN	IN	_	5	prep	_	_
11	Johnson	_	NNP	NNP	_	10	pobj	_	_
12	as	_	IN	IN	_	11	prep	_	_
13	the	_	DT	DT	_	14	det	_	_
14	guide	_	NN	NN	_	12	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	root	_	_
3	an	_	DT	DT	_	5	det	_	_
4	amazing	_	JJ	JJ	_	5	amod	_	_
5	time	_	NN	NN	_	2	dobj	_	_
6	!	_	.	.	_	0	erased	_	_

1	Not	_	RB	RB	_	2	neg	_	_
2	only	_	JJ	JJ	_	5	preconj	_	_
3	did	_	VBD	VBD	_	5	aux	_	_
4	we	_	PRP	PRP	_	5	nsubj	_	_
5	have	_	VB	VB	_	0	root	_	_
6	great	_	JJ	JJ	_	8	amod	_	_
7	Chicago	_	NNP	NNP	_	8	nn	_	_
8	food	_	NN	NN	_	5	dobj	_	_
9	,	_	,	,	_	0	erased	_	_
10	but	_	CC	CC	_	5	cc	_	_
11	we	_	PRP	PRP	_	12	nsubj	_	_
12	learned	_	VBD	VBD	_	5	conj	_	_
13	a	_	DT	DT	_	14	det	_	_
14	lot	_	NN	NN	_	12	dobj	_	_
15	about	_	IN	IN	_	12	prep	_	_
16	the	_	DT	DT	_	17	det	_	_
17	city	_	NN	NN	_	15	pobj	_	_
18	!	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	5	nsubj	_	_
2	is	_	VBZ	VBZ	_	5	cop	_	_
3	highly	_	RB	RB	_	5	advmod	_	_
4	recommended	_	VBN	VBN	_	5	amod	_	_
5	!!	_	NNS	NNS	_	0	root	_	_

