1	Well	_	UH	UH	_	7	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	this	_	DT	DT	_	7	nsubj	_	_
4	may	_	MD	MD	_	7	aux	_	_
5	be	_	VB	VB	_	7	cop	_	_
6	a	_	DT	DT	_	7	det	_	_
7	review	_	NN	NN	_	0	root	_	_
8	of	_	IN	IN	_	7	prep	_	_
9	a	_	DT	DT	_	11	det	_	_
10	different	_	JJ	JJ	_	11	amod	_	_
11	sort	_	NN	NN	_	8	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	see	_	VBP	VBP	_	8	ccomp	_	_
3	,	_	,	,	_	0	erased	_	_
4	I	_	PRP	PRP	_	8	nsubj	_	_
5	actually	_	RB	RB	_	8	advmod	_	_
6	did	_	VBD	VBD	_	8	aux	_	_
7	n't	_	RB	RB	_	8	neg	_	_
8	stay	_	VB	VB	_	0	root	_	_
9	at	_	IN	IN	_	8	prep	_	_
10	the	_	DT	DT	_	11	det	_	_
11	hotel	_	NN	NN	_	9	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	booked	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	4	det	_	_
4	room	_	NN	NN	_	2	dobj	_	_
5	at	_	IN	IN	_	2	prep	_	_
6	this	_	DT	DT	_	7	det	_	_
7	hotel	_	NN	NN	_	5	pobj	_	_
8	via	_	IN	IN	_	7	prep	_	_
9	Priceline	_	NNP	NNP	_	8	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	My	_	PRP$	PRP$	_	2	poss	_	_
2	flight	_	NN	NN	_	4	nsubjpass	_	_
3	was	_	VBD	VBD	_	4	auxpass	_	_
4	canceled	_	VBN	VBN	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	which	_	WDT	WDT	_	9	nsubj	_	_
7	did	_	VBD	VBD	_	9	aux	_	_
8	not	_	RB	RB	_	9	neg	_	_
9	allow	_	VB	VB	_	4	ccomp	_	_
10	me	_	PRP	PRP	_	9	dobj	_	_
11	to	_	TO	TO	_	12	aux	_	_
12	get	_	VB	VB	_	9	xcomp	_	_
13	in	_	RP	RP	_	12	prt	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	utilize	_	VB	VB	_	12	xcomp	_	_
16	this	_	DT	DT	_	17	det	_	_
17	reservation	_	NN	NN	_	15	dobj	_	_
18	on	_	IN	IN	_	15	prep	_	_
19	time	_	NN	NN	_	18	pobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	very	_	RB	RB	_	4	advmod	_	_
4	nervous	_	JJ	JJ	_	0	root	_	_
5	about	_	IN	IN	_	4	prep	_	_
6	how	_	WRB	WRB	_	9	advmod	_	_
7	this	_	DT	DT	_	9	nsubj	_	_
8	would	_	MD	MD	_	9	aux	_	_
9	work	_	VB	VB	_	5	pcomp	_	_
10	out	_	RP	RP	_	9	prt	_	_
11	,	_	,	,	_	0	erased	_	_
12	and	_	CC	CC	_	4	cc	_	_
13	called	_	VBD	VBD	_	4	conj	_	_
14	Priceline	_	NNP	NNP	_	13	dobj	_	_
15	only	_	RB	RB	_	13	advmod	_	_
16	to	_	TO	TO	_	18	aux	_	_
17	be	_	VB	VB	_	18	auxpass	_	_
18	told	_	VBN	VBN	_	13	vmod	_	_
19	they	_	PRP	PRP	_	22	nsubj	_	_
20	could	_	MD	MD	_	22	aux	_	_
21	n't	_	RB	RB	_	22	neg	_	_
22	do	_	VB	VB	_	18	ccomp	_	_
23	anything	_	NN	NN	_	22	dobj	_	_
24	for	_	IN	IN	_	22	prep	_	_
25	me	_	PRP	PRP	_	24	pobj	_	_
26	unless	_	IN	IN	_	28	mark	_	_
27	I	_	PRP	PRP	_	28	nsubj	_	_
28	called	_	VBD	VBD	_	22	advcl	_	_
29	the	_	DT	DT	_	30	det	_	_
30	hotel	_	NN	NN	_	28	dobj	_	_
31	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	called	_	VBD	VBD	_	0	root	_	_
3	the	_	DT	DT	_	4	det	_	_
4	hotel	_	NN	NN	_	2	dobj	_	_
5	,	_	,	,	_	0	erased	_	_
6	and	_	CC	CC	_	2	cc	_	_
7	was	_	VBD	VBD	_	9	cop	_	_
8	pleasantly	_	RB	RB	_	9	advmod	_	_
9	surprised	_	JJ	JJ	_	2	conj	_	_
10	by	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	13	det	_	_
12	customer	_	NN	NN	_	13	nn	_	_
13	service	_	NN	NN	_	10	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	person	_	NN	NN	_	10	nsubj	_	_
3	that	_	IN	IN	_	5	mark	_	_
4	I	_	PRP	PRP	_	5	nsubj	_	_
5	talked	_	VBD	VBD	_	2	dep	_	_
6	to	_	TO	TO	_	5	prep	_	_
7	you	_	PRP	PRP	_	6	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	actually	_	RB	RB	_	5	advmod	_	_
10	looked	_	VBD	VBD	_	0	root	_	_
11	up	_	RP	RP	_	10	prt	_	_
12	my	_	PRP$	PRP$	_	13	poss	_	_
13	flight	_	NN	NN	_	10	dobj	_	_
14	online	_	NN	NN	_	10	prep	_	_
15	,	_	,	,	_	0	erased	_	_
16	and	_	CC	CC	_	10	cc	_	_
17	while	_	IN	IN	_	21	mark	_	_
18	It	_	PRP	PRP	_	21	nsubj	_	_
19	did	_	VBD	VBD	_	21	aux	_	_
20	not	_	RB	RB	_	21	neg	_	_
21	give	_	VB	VB	_	31	advcl	_	_
