1	Stayed	_	VBN	VBN	_	0	root	_	_
2	for	_	IN	IN	_	1	prep	_	_
3	NYE	_	NNP	NNP	_	2	pobj	_	_
4	2012	_	CD	CD	_	3	num	_	_
5	and	_	CC	CC	_	3	cc	_	_
6	it	_	PRP	PRP	_	3	conj	_	_
7	was	_	VBD	VBD	_	8	cop	_	_
8	great	_	JJ	JJ	_	6	rcmod	_	_
9	...	_	:	:	_	0	erased	_	_
10	outstanding	_	JJ	JJ	_	12	amod	_	_
11	customer	_	NN	NN	_	12	nn	_	_
12	service	_	NN	NN	_	3	conj	_	_
13	from	_	IN	IN	_	12	prep	_	_
14	every	_	DT	DT	_	15	det	_	_
15	employee	_	NN	NN	_	13	pobj	_	_
16	we	_	PRP	PRP	_	17	nsubj	_	_
17	encountered	_	VBD	VBD	_	15	rcmod	_	_
18	...	_	:	:	_	0	erased	_	_
19	great	_	JJ	JJ	_	20	amod	_	_
20	deal	_	NN	NN	_	3	conj	_	_
21	for	_	IN	IN	_	20	prep	_	_
22	the	_	DT	DT	_	24	det	_	_
23	new	_	JJ	JJ	_	24	amod	_	_
24	year	_	NN	NN	_	21	pobj	_	_
25	...	_	:	:	_	0	erased	_	_
26	the	_	DT	DT	_	27	det	_	_
27	room	_	NN	NN	_	24	dep	_	_
28	was	_	VBD	VBD	_	29	cop	_	_
29	beautiful	_	JJ	JJ	_	27	rcmod	_	_
30	&	_	CC	CC	_	27	cc	_	_
31	I	_	PRP	PRP	_	27	conj	_	_
32	def	_	NN	NN	_	33	nsubj	_	_
33	wanted	_	VBD	VBD	_	31	rcmod	_	_
34	to	_	TO	TO	_	35	aux	_	_
35	stay	_	VB	VB	_	33	xcomp	_	_
36	longer	_	JJR	JJR	_	37	amod	_	_
37	:-RRB-	_	NNS	NNS	_	35	dobj	_	_
38	I	_	PRP	PRP	_	40	nsubj	_	_
39	will	_	MD	MD	_	40	aux	_	_
40	be	_	VB	VB	_	37	rcmod	_	_
41	back	_	RB	RB	_	40	advmod	_	_
42	for	_	IN	IN	_	40	prep	_	_
43	a	_	DT	DT	_	45	det	_	_
44	few	_	JJ	JJ	_	45	amod	_	_
45	stay-cations	_	NNS	NNS	_	42	pobj	_	_
46	:	_	:	:	_	0	erased	_	_
47	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_

