1	Wow	_	UH	UH	_	7	discourse	_	_
2	!	_	.	.	_	0	erased	_	_
3	We	_	PRP	PRP	_	7	nsubj	_	_
4	actually	_	RB	RB	_	7	advmod	_	_
5	got	_	VBD	VBD	_	7	dep	_	_
6	`	_	``	``	_	0	erased	_	_
7	stuck	_	JJ	JJ	_	0	root	_	_
8	'	_	''	''	_	0	erased	_	_
9	in	_	IN	IN	_	7	prep	_	_
10	Chicago	_	NNP	NNP	_	9	pobj	_	_
11	due	_	JJ	JJ	_	10	amod	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	weather	_	VB	VB	_	11	xcomp	_	_
14	and	_	CC	CC	_	7	cc	_	_
15	all	_	RB	RB	_	7	advmod	_	_
16	the	_	DT	DT	_	18	det	_	_
17	airport	_	NN	NN	_	18	nn	_	_
18	hotels	_	NNS	NNS	_	20	nsubjpass	_	_
19	were	_	VBD	VBD	_	20	auxpass	_	_
20	booked	_	VBN	VBN	_	7	ccomp	_	_
21	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	was	_	VBD	VBD	_	3	cop	_	_
3	able	_	JJ	JJ	_	0	root	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	book	_	NN	NN	_	4	pobj	_	_
6	the	_	DT	DT	_	9	det	_	_
7	Dana	_	JJ	JJ	_	9	amod	_	_
8	last	_	JJ	JJ	_	9	amod	_	_
9	minute	_	NN	NN	_	5	dep	_	_
10	through	_	IN	IN	_	3	prep	_	_
11	Priceline	_	NNP	NNP	_	10	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	3	nsubj	_	_
2	was	_	VBD	VBD	_	3	cop	_	_
3	late	_	JJ	JJ	_	7	ccomp	_	_
4	,	_	,	,	_	0	erased	_	_
5	we	_	PRP	PRP	_	7	nsubj	_	_
6	were	_	VBD	VBD	_	7	cop	_	_
7	exhausted	_	JJ	JJ	_	0	root	_	_
8	,	_	,	,	_	0	erased	_	_
9	freezing	_	JJ	JJ	_	7	conj	_	_
10	and	_	CC	CC	_	7	cc	_	_
11	hungry	_	JJ	JJ	_	7	conj	_	_
12	after	_	IN	IN	_	7	prep	_	_
13	flying	_	VBG	VBG	_	12	pcomp	_	_
14	from	_	IN	IN	_	13	prep	_	_
15	San	_	NNP	NNP	_	16	nn	_	_
16	Diego	_	NNP	NNP	_	14	pobj	_	_
