1	Wow	_	UH	UH	_	3	discourse	_	_
2	!	_	.	.	_	0	erased	_	_
3	Talk	_	VB	VB	_	0	root	_	_
4	about	_	IN	IN	_	3	prep	_	_
5	getting	_	VBG	VBG	_	4	pcomp	_	_
6	special	_	JJ	JJ	_	7	amod	_	_
7	treatment	_	NN	NN	_	5	dobj	_	_
8	!	_	.	.	_	0	erased	_	_

1	Check	_	VB	VB	_	4	nsubj	_	_
2	in	_	RB	RB	_	4	advmod	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	easy	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	quick	_	JJ	JJ	_	4	conj	_	_
7	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	shared	_	VBD	VBD	_	0	root	_	_
3	that	_	IN	IN	_	5	mark	_	_
4	we	_	PRP	PRP	_	5	nsubj	_	_
5	were	_	VBD	VBD	_	2	ccomp	_	_
6	there	_	RB	RB	_	5	advmod	_	_
7	for	_	IN	IN	_	5	prep	_	_
8	a	_	DT	DT	_	10	det	_	_
9	birthday	_	NN	NN	_	10	nn	_	_
10	weekend	_	NN	NN	_	7	pobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubjpass	_	_
2	were	_	VBD	VBD	_	3	auxpass	_	_
3	given	_	VBN	VBN	_	0	root	_	_
4	a	_	DT	DT	_	6	det	_	_
5	great	_	JJ	JJ	_	6	amod	_	_
6	room	_	NN	NN	_	3	dobj	_	_
7	on	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	10	det	_	_
9	16th	_	JJ	JJ	_	10	amod	_	_
10	floor	_	NN	NN	_	7	pobj	_	_
11	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
12	could	_	MD	MD	_	14	aux	_	_
13	have	_	VB	VB	_	14	aux	_	_
14	had	_	VBN	VBN	_	3	parataxis	_	_
15	a	_	DT	DT	_	17	det	_	_
16	better	_	JJR	JJR	_	17	amod	_	_
17	view	_	NN	NN	_	14	dobj	_	_
18	,	_	,	,	_	0	erased	_	_
19	but	_	CC	CC	_	14	cc	_	_
20	were	_	VBD	VBD	_	23	cop	_	_
21	n't	_	RB	RB	_	23	neg	_	_
22	there	_	RB	RB	_	23	advmod	_	_
23	long	_	JJ	JJ	_	14	conj	_	_
24	so	_	IN	IN	_	27	mark	_	_
25	did	_	VBD	VBD	_	27	aux	_	_
26	n't	_	RB	RB	_	27	neg	_	_
27	care	_	VB	VB	_	23	advcl	_	_
28	much	_	RB	RB	_	27	dobj	_	_
29	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
30	.	_	.	.	_	0	erased	_	_

1	Later	_	RB	RB	_	6	advmod	_	_
2	in	_	IN	IN	_	6	prep	_	_
3	the	_	DT	DT	_	4	det	_	_
4	afternoon	_	NN	NN	_	2	pobj	_	_
5	we	_	PRP	PRP	_	6	nsubj	_	_
6	got	_	VBD	VBD	_	0	root	_	_
7	a	_	DT	DT	_	10	det	_	_
8	special	_	JJ	JJ	_	10	amod	_	_
9	cupcake	_	NN	NN	_	10	nn	_	_
10	delivery	_	NN	NN	_	6	dobj	_	_
11	to	_	TO	TO	_	6	prep	_	_
12	the	_	DT	DT	_	13	det	_	_
13	room	_	NN	NN	_	11	pobj	_	_
14	with	_	IN	IN	_	13	prep	_	_
15	a	_	DT	DT	_	16	det	_	_
16	note	_	NN	NN	_	14	pobj	_	_
17	from	_	IN	IN	_	6	prep	_	_
18	the	_	DT	DT	_	21	det	_	_
19	front	_	JJ	JJ	_	21	amod	_	_
20	desk	_	NN	NN	_	21	nn	_	_
21	staff	_	NN	NN	_	17	pobj	_	_
22	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	beds	_	NNS	NNS	_	3	nsubj	_	_
3	were	_	VBD	VBD	_	8	ccomp	_	_
4	comfy	_	RB	RB	_	3	advmod	_	_
5	,	_	,	,	_	0	erased	_	_
6	we	_	PRP	PRP	_	8	nsubj	_	_
7	all	_	DT	DT	_	8	advmod	_	_
8	slept	_	VBD	VBD	_	0	root	_	_
9	well	_	RB	RB	_	8	advmod	_	_
10	.	_	.	.	_	0	erased	_	_

1	Pillows	_	NNS	NNS	_	4	nsubj	_	_
2	could	_	MD	MD	_	4	aux	_	_
3	have	_	VB	VB	_	4	aux	_	_
4	had	_	VBN	VBN	_	0	root	_	_
5	a	_	DT	DT	_	7	det	_	_
6	firmer	_	JJR	JJR	_	7	amod	_	_
7	option	_	NN	NN	_	4	dobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	but	_	CC	CC	_	7	cc	_	_
10	overall	_	JJ	JJ	_	12	amod	_	_
11	great	_	JJ	JJ	_	12	amod	_	_
12	pillows	_	NNS	NNS	_	7	conj	_	_
13	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	had	_	VBD	VBD	_	3	aux	_	_
3	read	_	VBN	VBN	_	0	root	_	_
4	mixed	_	JJ	JJ	_	5	amod	_	_
5	reviews	_	NNS	NNS	_	3	dobj	_	_
6	about	_	IN	IN	_	3	prep	_	_
7	the	_	DT	DT	_	8	det	_	_
8	shower	_	NN	NN	_	6	pobj	_	_
9	and	_	CC	CC	_	8	cc	_	_
10	hot	_	JJ	JJ	_	11	amod	_	_
11	water	_	NN	NN	_	8	conj	_	_
12	,	_	,	,	_	0	erased	_	_
13	but	_	CC	CC	_	3	cc	_	_
14	our	_	PRP$	PRP$	_	15	poss	_	_
15	showers	_	NNS	NNS	_	18	nsubj	_	_
16	were	_	VBD	VBD	_	18	cop	_	_
17	plenty	_	RB	RB	_	18	advmod	_	_
18	hot	_	JJ	JJ	_	3	conj	_	_
19	and	_	CC	CC	_	18	cc	_	_
20	there	_	EX	EX	_	21	expl	_	_
21	were	_	VBD	VBD	_	18	conj	_	_
22	3	_	CD	CD	_	21	nsubj	_	_
23	of	_	IN	IN	_	22	prep	_	_
24	us	_	PRP	PRP	_	23	pobj	_	_
25	.	_	.	.	_	0	erased	_	_

1	Considering	_	VBG	VBG	_	10	prep	_	_
2	the	_	DT	DT	_	3	det	_	_
3	area	_	NN	NN	_	1	pobj	_	_
4	,	_	,	,	_	0	erased	_	_
5	the	_	DT	DT	_	6	det	_	_
6	room	_	NN	NN	_	10	nsubj	_	_
7	was	_	VBD	VBD	_	10	cop	_	_
8	a	_	DT	DT	_	10	det	_	_
9	great	_	JJ	JJ	_	10	amod	_	_
10	size	_	NN	NN	_	0	root	_	_
11	over	_	IN	IN	_	10	prep	_	_
12	what	_	WP	WP	_	16	dobj	_	_
13	I	_	PRP	PRP	_	16	nsubj	_	_
14	'd	_	MD	MD	_	16	aux	_	_
15	typically	_	RB	RB	_	16	advmod	_	_
16	expect	_	VB	VB	_	11	pcomp	_	_
17	in	_	IN	IN	_	16	prep	_	_
18	the	_	DT	DT	_	19	det	_	_
19	location	_	NN	NN	_	17	pobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	Wish	_	NNP	NNP	_	13	nsubj	_	_
2	we	_	PRP	PRP	_	4	nsubj	_	_
3	had	_	VBD	VBD	_	4	aux	_	_
4	had	_	VBN	VBN	_	1	rcmod	_	_
5	time	_	NN	NN	_	4	dobj	_	_
6	to	_	TO	TO	_	7	aux	_	_
7	experience	_	VB	VB	_	4	vmod	_	_
8	the	_	DT	DT	_	9	det	_	_
9	pool	_	NN	NN	_	7	dobj	_	_
10	as	_	IN	IN	_	7	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	view	_	NN	NN	_	10	pobj	_	_
13	looked	_	VBD	VBD	_	0	root	_	_
14	amazing	_	JJ	JJ	_	13	acomp	_	_
15	!	_	.	.	_	0	erased	_	_

1	Only	_	RB	RB	_	2	advmod	_	_
2	downside	_	NN	NN	_	9	nsubj	_	_
3	I	_	PRP	PRP	_	5	nsubj	_	_
4	will	_	MD	MD	_	5	aux	_	_
5	give	_	VB	VB	_	2	rcmod	_	_
6	is	_	VBZ	VBZ	_	9	cop	_	_
7	the	_	DT	DT	_	9	det	_	_
8	breakfast	_	NN	NN	_	9	nn	_	_
9	vouchers	_	NNS	NNS	_	0	root	_	_
10	which	_	WDT	WDT	_	11	nsubj	_	_
11	came	_	VBD	VBD	_	9	rcmod	_	_
12	with	_	IN	IN	_	11	prep	_	_
13	our	_	PRP$	PRP$	_	14	poss	_	_
14	price	_	NN	NN	_	12	pobj	_	_
15	of	_	IN	IN	_	14	prep	_	_
16	the	_	DT	DT	_	17	det	_	_
17	night	_	NN	NN	_	15	pobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	showed	_	VBD	VBD	_	0	root	_	_
3	up	_	RP	RP	_	2	prt	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	find	_	VB	VB	_	2	xcomp	_	_
6	out	_	RP	RP	_	5	prt	_	_
7	that	_	IN	IN	_	11	mark	_	_
8	only	_	RB	RB	_	9	advmod	_	_
9	Brunch	_	NNP	NNP	_	11	nsubjpass	_	_
10	is	_	VBZ	VBZ	_	11	auxpass	_	_
11	served	_	VBN	VBN	_	5	ccomp	_	_
12	on	_	IN	IN	_	11	prep	_	_
13	weekends	_	NNS	NNS	_	12	pobj	_	_
14	which	_	WDT	WDT	_	17	nsubjpass	_	_
15	is	_	VBZ	VBZ	_	17	auxpass	_	_
16	n't	_	RB	RB	_	17	neg	_	_
17	included	_	VBN	VBN	_	13	rcmod	_	_
18	in	_	IN	IN	_	17	prep	_	_
19	the	_	DT	DT	_	20	det	_	_
20	voucher	_	NN	NN	_	18	pobj	_	_
21	.	_	.	.	_	0	erased	_	_

1	Since	_	IN	IN	_	7	mark	_	_
2	we	_	PRP	PRP	_	7	nsubj	_	_
3	were	_	VBD	VBD	_	7	cop	_	_
4	only	_	RB	RB	_	5	advmod	_	_
5	there	_	RB	RB	_	7	advmod	_	_
6	one	_	CD	CD	_	7	num	_	_
7	night	_	NN	NN	_	10	advcl	_	_
8	,	_	,	,	_	0	erased	_	_
9	it	_	PRP	PRP	_	10	nsubj	_	_
10	got	_	VBD	VBD	_	0	root	_	_
11	us	_	PRP	PRP	_	12	nsubj	_	_
12	toast	_	NN	NN	_	10	xcomp	_	_
13	and	_	CC	CC	_	12	cc	_	_
14	fruit	_	NN	NN	_	12	conj	_	_
15	only	_	RB	RB	_	14	advmod	_	_
16	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	4	nsubj	_	_
2	were	_	VBD	VBD	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
