1	Such	_	PDT	PDT	_	2	predet	_	_
2	a	_	DT	DT	_	3	nsubj	_	_
3	deal	_	VBP	VBP	_	0	root	_	_
4	!	_	.	.	_	0	erased	_	_

1	Okay	_	UH	UH	_	6	discourse	_	_
2	the	_	DT	DT	_	4	det	_	_
3	old	_	JJ	JJ	_	4	amod	_	_
4	joke	_	NN	NN	_	6	nsubj	_	_
5	actually	_	RB	RB	_	6	advmod	_	_
6	applies	_	VBZ	VBZ	_	23	ccomp	_	_
7	here	_	RB	RB	_	6	advmod	_	_
8	-	_	,	,	_	0	erased	_	_
9	the	_	DT	DT	_	10	det	_	_
10	rooms	_	NNS	NNS	_	13	nsubj	_	_
11	are	_	VBP	VBP	_	13	cop	_	_
12	so	_	RB	RB	_	13	advmod	_	_
13	small	_	JJ	JJ	_	6	parataxis	_	_
14	,	_	,	,	_	0	erased	_	_
15	how	_	WRB	WRB	_	18	advmod	_	_
16	small	_	JJ	JJ	_	18	nsubj	_	_
17	are	_	VBP	VBP	_	18	cop	_	_
18	they	_	PRP	PRP	_	6	ccomp	_	_
19	,	_	,	,	_	0	erased	_	_
20	they	_	PRP	PRP	_	23	nsubj	_	_
21	are	_	VBP	VBP	_	23	cop	_	_
22	so	_	RB	RB	_	23	advmod	_	_
23	small	_	JJ	JJ	_	0	root	_	_
24	you	_	PRP	PRP	_	25	nsubj	_	_
25	have	_	VBP	VBP	_	23	ccomp	_	_
26	to	_	TO	TO	_	27	aux	_	_
27	go	_	VB	VB	_	25	xcomp	_	_
28	outside	_	RB	RB	_	27	advmod	_	_
29	to	_	TO	TO	_	30	aux	_	_
30	change	_	VB	VB	_	27	xcomp	_	_
31	your	_	PRP$	PRP$	_	32	poss	_	_
32	mind	_	NN	NN	_	30	dobj	_	_
33	.	_	.	.	_	0	erased	_	_

1	But	_	CC	CC	_	11	cc	_	_
2	for	_	IN	IN	_	11	prep	_	_
3	the	_	DT	DT	_	4	det	_	_
4	price	_	NN	NN	_	2	pobj	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	location	_	NN	NN	_	4	conj	_	_
7	,	_	,	,	_	0	erased	_	_
8	you	_	PRP	PRP	_	11	nsubj	_	_
9	ca	_	MD	MD	_	11	aux	_	_
10	n't	_	RB	RB	_	11	neg	_	_
11	beat	_	VB	VB	_	0	root	_	_
12	it	_	PRP	PRP	_	11	dobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	Staff	_	NNP	NNP	_	3	nsubj	_	_
2	is	_	VBZ	VBZ	_	3	cop	_	_
3	friendly	_	JJ	JJ	_	8	ccomp	_	_
4	,	_	,	,	_	0	erased	_	_
5	valet	_	NN	NN	_	6	nn	_	_
6	service	_	NN	NN	_	8	nsubj	_	_
7	promptly	_	RB	RB	_	8	advmod	_	_
8	gets	_	VBZ	VBZ	_	0	root	_	_
9	your	_	PRP$	PRP$	_	10	poss	_	_
10	car	_	NN	NN	_	8	dobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	Some	_	DT	DT	_	3	det	_	_
2	other	_	JJ	JJ	_	3	amod	_	_
3	reviewers	_	NNS	NNS	_	7	nsubjpass	_	_
4	have	_	VBP	VBP	_	7	aux	_	_
5	not	_	RB	RB	_	7	neg	_	_
6	been	_	VBN	VBN	_	7	auxpass	_	_
7	impressed	_	VBN	VBN	_	0	root	_	_
8	by	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	breakfast	_	NN	NN	_	8	pobj	_	_
11	-	_	:	:	_	0	erased	_	_
12	it	_	PRP	PRP	_	15	nsubj	_	_
13	's	_	VBZ	VBZ	_	15	cop	_	_
14	as	_	RB	RB	_	15	advmod	_	_
15	good	_	JJ	JJ	_	7	parataxis	_	_
16	as	_	IN	IN	_	15	prep	_	_
17	any	_	DT	DT	_	20	det	_	_
18	other	_	JJ	JJ	_	20	amod	_	_
19	free	_	JJ	JJ	_	20	amod	_	_
20	breakfast	_	NN	NN	_	16	pobj	_	_
21	.	_	.	.	_	0	erased	_	_

1	Plenty	_	NNP	NNP	_	0	root	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	yogurt	_	NN	NN	_	2	pobj	_	_
4	,	_	,	,	_	0	erased	_	_
5	bagels	_	NNS	NNS	_	1	appos	_	_
6	,	_	,	,	_	0	erased	_	_
7	etc.	_	FW	FW	_	1	appos	_	_
8	.	_	.	.	_	0	erased	_	_
9	Why	_	WRB	WRB	_	10	advmod	_	_
10	spend	_	VBP	VBP	_	7	rcmod	_	_
11	at	_	IN	IN	_	13	quantmod	_	_
12	least	_	JJS	JJS	_	13	quantmod	_	_
13	double	_	JJ	JJ	_	10	dobj	_	_
14	for	_	IN	IN	_	13	prep	_	_
15	anything	_	NN	NN	_	14	pobj	_	_
16	else	_	RB	RB	_	10	dep	_	_
17	comparable	_	JJ	JJ	_	16	dep	_	_
18	?	_	.	.	_	0	erased	_	_

