1	There	_	EX	EX	_	2	expl	_	_
2	are	_	VBP	VBP	_	0	root	_	_
3	multiple	_	JJ	JJ	_	5	amod	_	_
4	tour	_	NN	NN	_	5	nn	_	_
5	companies	_	NNS	NNS	_	2	nsubj	_	_
6	offering	_	VBG	VBG	_	5	vmod	_	_
7	``	_	``	``	_	0	erased	_	_
8	architecture	_	NN	NN	_	9	nn	_	_
9	tours	_	NNS	NNS	_	6	dobj	_	_
10	''	_	''	''	_	0	erased	_	_
11	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	've	_	VBP	VBP	_	3	aux	_	_
3	been	_	VBN	VBN	_	0	root	_	_
4	on	_	IN	IN	_	3	prep	_	_
5	several	_	JJ	JJ	_	4	pobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	but	_	CC	CC	_	3	cc	_	_
8	by	_	IN	IN	_	17	advmod	_	_
9	far	_	RB	RB	_	8	advmod	_	_
10	the	_	DT	DT	_	14	det	_	_
11	best	_	JJS	JJS	_	14	amod	_	_
12	and	_	CC	CC	_	11	cc	_	_
13	most	_	JJS	JJS	_	11	conj	_	_
14	informative	_	NN	NN	_	17	nsubj	_	_
15	is	_	VBZ	VBZ	_	17	cop	_	_
16	the	_	DT	DT	_	17	det	_	_
17	one	_	NN	NN	_	3	conj	_	_
18	run	_	VBN	VBN	_	17	vmod	_	_
19	by	_	IN	IN	_	18	prep	_	_
20	the	_	DT	DT	_	23	det	_	_
21	Chicago	_	NNP	NNP	_	23	nn	_	_
22	Architecture	_	NNP	NNP	_	23	nn	_	_
23	Foundation	_	NNP	NNP	_	19	pobj	_	_
24	.	_	.	.	_	0	erased	_	_

1	Do	_	VB	VB	_	3	aux	_	_
2	not	_	RB	RB	_	3	neg	_	_
3	settle	_	VB	VB	_	0	root	_	_
4	for	_	IN	IN	_	3	prep	_	_
5	anything	_	NN	NN	_	4	pobj	_	_
6	less	_	RBR	RBR	_	3	advmod	_	_
7	!	_	.	.	_	0	erased	_	_

