1	OK	_	UH	UH	_	7	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	this	_	DT	DT	_	4	det	_	_
4	place	_	NN	NN	_	7	nsubj	_	_
5	does	_	VBZ	VBZ	_	7	aux	_	_
6	n't	_	RB	RB	_	7	neg	_	_
7	look	_	VB	VB	_	0	root	_	_
8	like	_	IN	IN	_	7	prep	_	_
9	much	_	RB	RB	_	8	pobj	_	_
10	from	_	IN	IN	_	7	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	outside	_	NN	NN	_	10	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	But	_	CC	CC	_	5	cc	_	_
2	it	_	PRP	PRP	_	5	nsubj	_	_
3	's	_	VBZ	VBZ	_	5	cop	_	_
4	the	_	DT	DT	_	5	det	_	_
5	proverbial	_	NN	NN	_	0	root	_	_
6	``	_	``	``	_	0	erased	_	_
7	do	_	VBP	VBP	_	9	aux	_	_
8	n't	_	RB	RB	_	9	neg	_	_
9	judge	_	VB	VB	_	5	dep	_	_
10	a	_	DT	DT	_	11	det	_	_
11	book	_	NN	NN	_	9	dobj	_	_
12	by	_	IN	IN	_	9	prep	_	_
13	its	_	PRP$	PRP$	_	14	poss	_	_
14	cover	_	NN	NN	_	12	pobj	_	_
15	.	_	.	.	_	0	erased	_	_
16	''	_	''	''	_	0	erased	_	_

1	This	_	DT	DT	_	2	det	_	_
2	place	_	NN	NN	_	5	nsubj	_	_
3	is	_	VBZ	VBZ	_	5	cop	_	_
4	much	_	RB	RB	_	5	advmod	_	_
5	nicer	_	JJR	JJR	_	0	root	_	_
6	than	_	IN	IN	_	5	prep	_	_
7	places	_	NNS	NNS	_	6	pobj	_	_
8	for	_	IN	IN	_	12	prep	_	_
9	which	_	WDT	WDT	_	8	pobj	_	_
10	I	_	PRP	PRP	_	12	nsubj	_	_
11	've	_	VBP	VBP	_	12	aux	_	_
12	paid	_	VBN	VBN	_	7	rcmod	_	_
13	twice	_	RB	RB	_	12	advmod	_	_
14	as	_	IN	IN	_	12	prep	_	_
15	much	_	RB	RB	_	14	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	Best	_	JJS	JJS	_	8	nsubj	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	all	_	DT	DT	_	2	pobj	_	_
4	,	_	,	,	_	0	erased	_	_
5	the	_	DT	DT	_	6	det	_	_
6	staff	_	NN	NN	_	3	appos	_	_
7	is	_	VBZ	VBZ	_	8	cop	_	_
8	awesome	_	JJ	JJ	_	0	root	_	_
