1	Our	_	PRP$	PRP$	_	3	poss	_	_
2	limo	_	NN	NN	_	3	nn	_	_
3	driver	_	NN	NN	_	6	nsubj	_	_
4	was	_	VBD	VBD	_	6	cop	_	_
5	very	_	RB	RB	_	6	advmod	_	_
6	rude	_	JJ	JJ	_	0	root	_	_
7	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
8	especially	_	RB	RB	_	9	advmod	_	_
9	when	_	WRB	WRB	_	11	advmod	_	_
10	it	_	PRP	PRP	_	11	nsubj	_	_
11	came	_	VBD	VBD	_	6	parataxis	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	tipping	_	VB	VB	_	11	xcomp	_	_
14	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
15	and	_	CC	CC	_	6	cc	_	_
16	I	_	PRP	PRP	_	19	nsubj	_	_
17	did	_	VBD	VBD	_	19	aux	_	_
18	n't	_	RB	RB	_	19	neg	_	_
19	feel	_	VB	VB	_	6	conj	_	_
20	very	_	RB	RB	_	21	advmod	_	_
21	safe	_	JJ	JJ	_	19	acomp	_	_
22	because	_	IN	IN	_	25	mark	_	_
23	he	_	PRP	PRP	_	25	nsubj	_	_
24	was	_	VBD	VBD	_	25	aux	_	_
25	speeding	_	VBG	VBG	_	19	advcl	_	_
26	!!	_	NNS	NNS	_	25	dobj	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	do	_	VBP	VBP	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	recommend	_	VB	VB	_	0	root	_	_
5	using	_	VBG	VBG	_	4	xcomp	_	_
6	these	_	DT	DT	_	7	det	_	_
7	guys	_	NNS	NNS	_	5	dobj	_	_
8	!	_	.	.	_	0	erased	_	_

